we 	w i
aldyrmak	a l o r m a k
algydar	a l Z d a r
aman	e m e n
arabaglanyşygyny	a r a b a g l a 5 S y Z n
arheologlar	a r u o l o g l a r
arkalaşyklary	a r k o l o S a q
artdyrmagy	i t o r gy~
artykmaçlygyny	a r Th~ k ly~ Z n
arzalar	a r z a l a r
asmanynda	a s 5 nd~ a
aspirantlar	a s p i r a t a r
awtoduralgalar	a w t o d u r a l g a l a r
awtoulaglarynyň	a w t o l a g  i 5 a
azaldýar	t r o l d a r
azalmagyna	t r o l m y 3 n a
açarlaryny	a a l a hy~ n
aýalyň	a t a ly~ a
aýdylyp	a o ly~ p
aýdymçysy	a o m
aýdýaryn	a d a r
aýlarynyň	a  i 5 a
aýratynlygyna	a r a ty~ 3 n ly~ Z n a
baglanyşyklylykda	b o g l a 5 S a q ly~ ly~ k d a
baglaşmakdan	b o g l o S m a k d a n
bakalawr	b a k a l a w r
balansdan	b a l a s d a n
ball	b a l o
barlaghanalary	b a r o 8 a n a a n a l a r
barlaghananyň	b a r o 8 a n a a n a 5 a
barlagyndan	b a X l u y 3 nd~ a n
barylan	b a r y c
barylýandygyna	b a r u y a n dy~ Z n a
barýarka	b a r m a X a
bassyr	b a s e r a
bazalt	b a z a l t a s
baýdaklaryny	b a d a q
baýragyň	b a r a x y a a
baýraklaryna	b a r a q  i n a
başlyklary	b o S ly~ k
belentligi	b e l e n t l i g i
belgileriniň	b e l g i l e r i n i a
bellendi	b e l l e n d i
bergidarlaryň	b e r g i d a r  i a
berilýänçä	b E r e l a* d
berişleri	b E S l e r i
bermedi	b E r m e d i
bermeýän	b E d 3 n
beýanydyr	b e a 5 o r
beýlekisi	b e l e k i s i
bileleşiginde	b i l e l e S i g i d e
bilinýär	b i l i n 3 r
binagärligi	b i n a g r i e l i g i
binalarynda	b i n a l a hy~ nd~ a
binýadyň	b i t t a o a
birinjiliginde	b i r i n j i l i g i d e
birinjiligine	b i r i n j i l i g i n e
birleşmeleri	b 3 r l e S m e l e r i
bişirilen	b i S i r i l e n
bolanlarynyň	b o r a n  i 5 a
boşadyp	b o S a o p
bäsdeşi	b 3 s d e S i
daga	d o g o
dahyllylary	d a h y L y
daşamaga	d o S a m a g a
degişlidirler	d e g i S  dy~ l e r
dekabryna	d e k a b hy~ n a
delilleri	d e l i l l e r i
desgalaryndan	d e s g a l a cy~ nd~ a n
deňze	d e N z e
dikeldip	d i k e l d i p
dilinden	d i l i n d e n
diliň	d i l i a
diplomat	d i p xy~ u 7
diwarlyk	d i w ar ly~
diwersifikasiýalaşdyrmaga	d i w e r s i f i k a s i o l o S o r m a g a
doktor	d o k t o r
dokumentler	d o k u m e n
dollar	d o l l a r
dowamyndaky	d o w a m 3 n d a k
durkunyň	d u r k u 5 a
durnuklylygynyň	d u r y o p o l o ly~ ly~ Z 5 a
durulýar	d u r u l a r
duýgular	d u g u l a r
duýgulara	d u g u l a r a
duýmak	d u
dönderilendigi	d 3 d e r e l e n d i g i 7
döredijileriň	d a r e d i j i l e r i a
döretdik	d a r e t d i k
döwletlerimiziň	d k l   m i 5 a
döwrebaplaşdyrmakda	d k r e b a p l o S o r m a k d a
düzgüniň	d 3 z N n i a
düşmäge	d 3 S m 3 g e
düşündirip	d 3 S 3 nd~ i r i p
düşündirişler	d 3 S 3 nd~ i r i S l e r
edermenlik	e d e r m E n b u C o
edilýäni	e d i l 3 n i
edýäne	p i e d 3 n e
ejesi	j e s i
ekerançylar	e k e r a n y l a r
ekilýän	r l 3 n
eksportuny	e k s p o r t u n
eldegrilmesizligini	e l d e g r e l S i z l i g i n i
elýeter	e l e t e r
enjamlaşdyrmak	e n c a m o l o S o r m a k
ep	3 p
etdiriljekdigini	e t d i r i l x e k y a N i n i
etnografiýa	e t n o g r a f i a
federal	f e d e r a l
fewraly	f e w r a l u k
formasy	f o r m a s
fraht	f r a th~
futbolçylarynyň	f u t b o l u y o hy~ 5 a
gadyr	g a d e r a
gahrymanlarynyň	g a h ry~  i 5 n
gahrymançylykly	g a h cy~ y ly~ k kw~ a
galdyrmaga	g a u l d u z r m a g a
galyndy	g a ly~ a t a
galyndysy	g a ly~ ndy$
gap	g a p
gark	g a r
garşylyk	g a r S y ly~
gatlagy	g a L a j
gatnaşmaklary	g a t n 3 S m a q
gatnaşyja	g a t n 3 S i L a
gatnaşyklarymyzyň	g a t n 3 S a q  i m u z  y a
gazak	g a z a k
gazanylanlar	g a z a 5 a nz~ l a r
gazanylanlaryň	g a z a 5 a nz~  i a
gazetiniň	g a z e t i n i a
gaznasynda	g a z n a s 3 n d a
gaçyrmak	g a r m a k
gaçyrylmagy	g a y ry~ l m o g
gelenden	g e l e n d e n
gelenler	g e l e n l e r
gelerler	g e l e r l e r
getirilmegini	g e t e r e l a w a n i n i
geçeris	g  e r i s
geçiriliş	g  i r i l i S
geçiriljekdigine	g  i r i l x e k y a N i n e
geçirimler	g  i r i m l e r
geçirmeleri	g  i r m e l e r i
geçmegini	g  a w a n i n i
geçmişiň	g  m i S i a
geýim	g e i m a
gidiliş	g i d i l i S
gidişi	g i d i S i
girizilmegine	g i r i  l a w a n i n e
girizilmegini	g i r i  l a w a n i n i
giňişliginden	g i a i S l i g i n d e n
goldadylar	g o l d a o l a r
goldawynyň	g o l d a w 3 n 3 a
goldaýarlar	g o l d a a l a r
gollanmalarynyň	g o l l a n m a r  i 5 a
golunyň	g o l u 5 a
golçur	k o r u r
golýazmalar	k o r t b e r m a l a r
goraghana	g o r a x a n a
goragçy	g o r a g
goralmaga	g o r a l m o g o
gowulandyrmagyň	g o w u l a n dy~ r m a x y a a
goýberildi	g o k l d i
goýlandygy	g o l a n dy~ gy~
goýlandygyny	g o l a n dy~ Z n
goýulmalydygyny	g o u l m o l y o Z n
goşlary	g o S
goşulmagyny	g o S u l m o Z n
goşýandygyny	g o S a n dy~ Z n
gullugyny	g u l l o Z n
gullukçylara	g u L u k y l a r a
guralmagyny	g u r a l m y 3 n
gurluşlaryň	g u r l u S  i a
gurluşykçylarynyň	g u r l u S a q u y o ry~ 5 a
gurulmagynyň	g u r u l m o Z 5 a
gurulýandygyny	g l a n dy~ Z n
guryýer	g u r y e r
gutlagynda	g u L a x y a nd~ a
guwandyryjy	g u w a n dy~ cy~ hy~
guşlary	g u S
gytaklaýyn	gy~ k l o y n
gyzyklanmanyň	gy~ z a q a nz~ 5 a
gämisini	g 3 m i s i n i
göreşe	g a r e S e
görk	g a r
görkezijini	g a r k e z i j i n i
görlüşiniň	g a r 3 3 S i n i a
gülli	N L i
günäli	g i 3 l i
gür	g a r
güwänamasy	N w 3 n a m a k
güýz	N
güýçlerini	N l e r i n i
hadysanyň	h a t i s a 5 a
hakly	h a k kw~ a
hakykatdan	h a k k a t d a n
halyçylaryň	h a ly~ u y o ry~ a
hasabatda	h a s a b a t d a
hasaplanylyp	h a s a p l a 5 ly~ p
hasaplaşygyndaky	h a s a p l o S y Z h k
hasylly	h a s y L
hasyllylygy	h a s y L y ly~ gy~
hatyra	h a t r a
hemranyň	h e m r a 5 a
hepdeden	h e p d e d e n
hersiniň	h e r a h i a
heýkel	h e k
heňde	h e n d e
hojalygyň	h o x a ly~ Z a
hojalyklaryna	h o x a ly~ k l o hy~ n a
hoşallygyň	h o S a ly~ y Z a
hususylaşdyrmagyň	h u s u s u y o S o r m a x y a a
häkimine	h 3 u m i n e
häsiýetdäki	h a e S i e t 8 o r i k i
häsiýetler	h a e S i
hödürlenilen	h o p d 3 l e n i l e n
hünärlerini	h i r i e l e r i n i
hünärmene	h i r i e m E n E
hünärmençilik	h i 3 s a y m 3 n i l i k
ibn	i b n
idedilýän	d e d i l 3 n
ikisinden	i k i s i n d e n
ilçileri	i l i l e r i
indiwiduallaşdyryş	i n d i w i d u a l l o S o cy~ S
institutlarynda	s t i t u tL~ a X ry~ nd~ a
iýmitlik	i m i L i k
işewürleriniň	i S e v a l e r i n i a
jar	j a r
jaýlara	y a l a r a
jebisligini	h e t l i g i n i
jedeli	h e d e l i
jedelli	h e d e l l i
jemlemelidir	j e m l E m E l i d i r
jemlener	j e m l 3 n 3 q
jemlär	j e m l 3 r
jülgäniň	h l g 3 n i a
jümmüşine	j 3 m 3 S i n e
kafedrasynyň	k a f e d r a s 3 n 3 a
kanunlaryny	k a n u l i
kartyň	k a r T n
kazyýetinde	k a Z y e t i n d e
kepillendiriliş	k e p i l l e n d i r i l i S
kert	k e r
kesellän	k e s e m u S 3 n
kesgitlenendir	k e s g i L e n e n d i r
kesgitlenilip	k e s g i L e n i l i p
kesgitlenilmedik	k e s g i L e n i l m e d i k
kesileni	k e s i l 3 n i
kesmegi	k e s m E g i
kikboksçylarynyň	k i k b o k s u y o hy~ 5 a
kitaba	k i t a b a
klublary	k l u b
kommunikasiýa	k o m u n i k a s i a
kompýuteriň	m i p u t E r i a
kuraş	k u r o S
kämilleşdirmegi	k 3 m i l l e S d i r m E g i
käri	k 3 r i
köpdürlüligi	k o p d 3 E kw~ l i g i
köpeltmäge	k o p e l t m 3 g e
köpriniň	k o p r i n i a
köprüsini	k o p r 3 s i n i
köpsanlysyny	k o p s a* ly~ s
köçeleriň	k o e l e r i a
köşk	k o S
kükürtli	k 3 g u r L i
küreklemek	k 3 r e k l E m E k
küştçüleri	k 3 S t k e l e r i
lizinge	l i z i N a
lukmançylygynyň	l u k y ly~ Z 5 a
maglumata	m a g l u m a t a
maglumatly	m a h h a r a kw~ a
mahabatlandyrmak	m a h a b a L a n dy~ r m a k
maksatlardan	k sw~ tL~ a X n a d a n
maksatnamalarda	k s a t n 3 b o i d a
makullady	k u y a d
mallardan	m a l l a r d a n
maýy	m a y
maşgalalara	m o S g a l a l a r a
medeniýetde	m e d e n i e t d e
mekanyna	m e k a 5 n a
metri	m e t r i
meýdanynda	m e d a 5 nd~ a
meýiller	m e i l l e r
meýillerini	m e i l l e r i n i
meýletinçi	m e l e t i n i
meňzeýär	m e N 8 3 r
meşhurlygy	m e S w E kw~ a gy~
millimetr	m i ly~ i * tr~
ministrliklerinde	m i n i s t r l i k l e r i d e
mirasdarlar	m i r a s d a r l a r
mirasdarlara	m i r a s d a r l a r a
miwesini	w e s i n i
monitorlarda	m o n i t o r  d a
mugallymlarynyň	m u g a ly~ i m l E hy~ 5 n
muzeýlere	m u z i l e r e
myhmansöýerligi	m 3 t s o r xy~ E kw~ i g i
myhmansöýerligini	m 3 t s o r xy~ E kw~ i g i n i
myhmanyny	m 3 t 5 n
mübärekledi	m 3 b 3 r e k l e d i
mümkinçilikden	m m 3 3 5 i p e i l i k d e n
nagyşlar	n a x y a S
nazary	n a z a r
nerw	n e r
nesip	n e s i p
nirede	n i r e d e
notarius	n o t t a r i u s
nusgasynda	n u s g a s 3 n d a
nygtalýar	5 g t a l a r
närseleriň	n 3 r e l e r i a
närsesi	n 3 r e s i
obasyny	o b a s 3 n
ojaklarynyň	c a q  i 5 a
okalýar	o k a l a r
okan	o k a n
okuwçylaryna	o k u w u y o cy~ n a
olimpiadasyna	o l i m p i a d a s 3 n a
olimpiadasynda	o l i m p i a d a s 3 n d a
onlarçasyny	o  a s 3 n
oturdylyp	o t u r o ly~ p
oturdylýar	o t u r o l a r
oturtdy	o t u r t t a
owadanlygyny	o w a d a ly~ Z n
pasly	p a s l
paýtagtymyzdan	p a t o x ty~ my~ i n z d a
pensiýalarynyň	p e ns~ i a l a ry~ 5 a
pesdigini	p e S y a N i n i
puldaky	p u l d a k
pursatlara	p u r sw~ L a r a
pursatlaryny	p u r sw~ tL~ a X n a
päsgelçiliksiz	p a e S g e l i l i k i t e
radioýygylyk	r a d i o y Z ly~
rahatlygy	r E h a r ly~ gy~
raketa	r a k e t a
resmileşdirilip	r e s m i l e S d i r i l i p
reýestrinde	r E % r u z i d e
rowaýat	r o w a a t
ruha	r u h a
sadakalar	s a d a k a l a r
sagada	s a g a d a
saglygyňy	s a g ly~ Z a
saklaýja	s a q  j a
salynýar	s a ly~ n a r
salyp	s a ly~ p
salşyga	s a l S y g a
sanalan	s a n a l a n
sapaklaryň	s a p a q  i a
sazyny	s a z
saçýar	s a a r
saýlamagyň	s a  Z a
saýlawyň	s a l a w 3 a
saýlawçynyň	s a l a w y 5 a
seleňläp	s e l e N l 3 p
seljermäge	s e l x e r m 3 g e
seni	s e n i
sepgitlerine	s e p g i L e r i n e
serhedine	s e r h e d i n e
serkerdeleri	s e r k e r d e l e r i
sowala	s o a l a
sungatymyzyň	s u N a t i m u z  y a
suratlaryny	s u r a tL~ a X n a
suwsuz	s u w s u
syratly	s 3 r a L
syrynyň	s i m hy~ 5 n
syýahatçylary	s i m E h a r y
syýahatçylygynyň	s i m E h a r y ly~ Z 5 a
söhbetdeşligi	s o t d e S l i g i
söwdalary	s k d a l a r
söwdalarynyň	s k y e z i hy~ 5 a
sözlediler	s o 3 z l e d i l e r
sütün	s i o N
süýümini	s 3 3 m i n i
tabşyrygyny	t a b S y hy~ Z n
tabşyrygynyň	t a b S y ry~ Z 5 a
tagallalaryna	t a g a l l a l a hy~ n a
tagamlaryň	t a g a m l E hy~ a
takygy	t a k gy~
talabynyň	t a l a by~ 5 a
tamamladylar	t o m o m l E o l a r
tamamlamagyň	t o m o m l a m a x y a a
tamamlanmadyk	t o m o m a nz~ o
tapgyrlaryň	t a p Z r  i a
tarapyny	t a r a p 3 n
tassyklamaga	t a s a k l o m o g o
tassyklanmalydyr	t a s a q a nz~ m t a ly~ o r
tassyknamasy	t a s a k n a m a k
tatar	t a t a r
taýýarlamalar	t a a l o m o L a r
taýýarlananda	t a a l a n a n d a
teatryna	t e a t hy~ n a
tekliplerine	t e k 3 l i p i l e r i n e
telefonyň	t e l e f o 5 a
telekeçiliginiň	t e l e k  i l i g i n i n
temmileri	t a m l e r i
terbiýesiniň	t E r b i E y a h i a
terrorçylygyň	t e r ph~ y ly~ Z a
tertibindäki	t E r t i b i d 3 k i
tertipleşdirmek	t E r t e p l e S d i r w i t a
tertipnamalaryna	t E r t e p n o m o l o hy~ n a
tilsimleri	t i l b u p l e r i
tomaşaça	t o m o S a a
tomaşaçy	t o m o S a
topardaşy	t o p a r d o S
toplamalary	t o p l o m o l o r
toplumlar	t o p l u m l a r
toýlary	t o
tussaglykda	t u s s a g ly~ k d a
tutanýerlilik	t u t a n r xy~ E kw~ i l i k
tutmalary	t u t b o i
täjirler	t o h  r l e r
täsinlikleri	t 3 a h l i k l e r i
tölemelidir	h a l E m E l i d i r
tölenende	h a l e n e n d e
tölenenden	h a l e n e n d e n
tölenip	h a l e n i p
töwekgelçilik	h a e kw~ g e l i l i k
türgenlerden	m a n t r g e n l e r d e n
tüýjümek	m a n t m 3 k
ugradýan	t u g r a d
ugratmalydyr	t u g r a t m a t a ly~ o r
ugrundan	t u g r u nd~ a n
ugurlaryndaky	t u g u r  i h k
ukrain	u k r a i n
ulanyjylaryň	u l a 5 hy~  i a
ulanylmaýan	u l a 5 l m o
ulgamlardaky	u l g a m l a r d a k
umumydünýä	u m u m 3 8 i
uniwersitetleriniň	u n i w e r i t e u k a L e r i n i a
urmuş	u r S
urýar	u r a r
urşuna	u r S u n a
urşunda	u r S u n d a
ussatlaryny	u s sw~ tL~ a X n a
utdy	u t t a
utuklar	u t u k l a r
utuklaryň	u t u k l o cy~ a
uzaga	u c a G a
uzaldylan	u z a u l d u z c
uzaldylýar	u z a u l d u z l a r
uçarlar	u a l a r
uçastogynyň	u a s t o Z 5 a
wagonlaryň	w a g o n l a hy~ a
watandaşlarymyza	w a t a n S  i m c a
wekilini	w e k i l i n i
welaýata	w e l a a t a
welaýatlara	w e l a a L a r a
wezipämiz	e z i  p 3 7 m i z
ybaratdygyny	y bh~ a r a t o Z n
ykdysadyýetleriniň	y k o v o e t l e r i n i n
ylalaşygyny	y l o l o S y Z n
ylalaşyklara	y l o l o S a q l a r a
ylma	y l 3 m
yzysüre	y z y s 3
yň	y a
zalyň	z a ly~ a
zeýtun	z e t u n
zonasynda	z o n a s 3 n d a
zähmetsöýerligi	z E h t i l u s o r xy~ E kw~ i g i
zähmetsöýerlik	z E h t i l u s o r xy~ E kw~ i k
Änew	n i a
Ärdogan	r d o g a n
Çarymyrat	a r i m r a t
Çehiýa	e h i a
Çeper	e p e r
Çeşme	e S m e
Çykyşyň	y ky~ S y a
Öýjügiň	j 3 i a
Üpjün	ph~ o N
Ýerleriň	e r l e r i a
Ýetirilen	e t i r i l e n
Ýewraziýanyň	e w r i  a 5 a
Ýolbaşçy	o l b o S
Ýolöten	o l a N t e n
Ýylylyk	y ly~ ly~
ätiýaçlandyryja	3 t i a l a n dy~ cy~ j a
ätiýaçlandyrýanyň	3 t i a l a n dy~ r a 5 a
çagyryp	y 3 cy~ p
çapmak	a p
çeker	e k a r
çekilipdir	e k i l i p d i r
çemeleşmäni	e m e l e S m 3 n i
çempionatlary	3 mp~ i o n a tL~ a X n a
çeşmelerine	e S m e l e r i n e
çykarmakdan	y k a r m a k d a n
çykarylar	k  hy~ l a r
çyzykly	u z  a q kw~ a
çäkden	3 k d e n
çäklere	3 k l e r e
çärelerde	3 r e l e r d e
çärelerinde	3 r e l e r i d e
çözmegi	o z m E g i
ölüm	o l n 3 m
öndürijiliginiň	n d 3 r i j i l i g i n i a
önümli	n m 3 z d a
ösdürýärler	o s d a 3 r r i e l e r
öwrülendigi	k r k e l e n d i g i 7
öwüşginlere	k 3 S g i n l e r e
özenine	o z e n i n e
özge	o z g e
özüňe	o z 3 a e
öýjük	o j 3
öýjükleri	o j 3 k l e r i
üýtgetmegiň	3 t g e t a w a n i a
ýadygärligini	a o g r i e l i g i n i
ýakynynda	a ky~ 5 nd~ a
ýaponiýaly	a p o n i t a ly~
ýaprakly	a p r a k kw~ a
ýapylan	a py~ c
ýarmarkalar	a r m a r k a l a r
ýazgylarynyň	l Z  i 5 a
ýaý	a
ýaýdan	a d a n
ýaýradylmagyna	a r a o l m y 3 n a
ýelden	e l d e n
ýeliň	e l i a
ýetipdir	e t i p d i r
ýetirijisine	e t i r i j i s i n e
ýetirilmezligi	e t i r i l m e z l i g i
ýetişdirilende	 S d i r i l e n d e
ýetmeýän	e t d 3 n
ýeňijileriň	a g a i j i l e r i a
ýeňişlerini	a g a i S l e r i n i
ýigitleri	i g i L e r i
ýitirilmegi	i t i r i l m E g i
ýolbaşçynyň	o l b o S y 5 a
ýoldaşlyk	o l d o S ly~
ýygnaga	y g n a g a
ýygnan	y g n a n
ýygymlaryň	y Z m l E hy~ a
ýöredilmegini	a r e d i l a w a n i n i
ýöredilýän	a r e d i l 3 n
ýüklenilip	3 k l e n i l i p
ýüklenýär	3 k l e n 3 r
ýüwrük	3 w a s
ýüňi	3 a i
Şagadam	a g a d a m
Şahs	a h
Şahyryň	a h i hy~ a
Şikaýata	i k a a t a
şahamçalaryny	S a h a m a l a cy~ n
şahsyýetnamasy	S a 7 s y e t n a m a k
şekil	S e k i l
şertlenendir	S e r L e n e n d i r
şikaýatlara	S i k a a L a r a
şobada	S o b a d a
şony	S o n
şugundyryny	S u g u n t i cy~ n
şundan	S u nd~ a n
şypahanasynyň	S 3 p a h a n a s 3 n 3 a
şäherçesine	S 3 i* e s i n e
şöhle	S o L e
Adwokat	d w o k a t
Ady	d
Adyl	o
Akademiýasy	k a d e m i a s
Almaty	l m o t
Aman	m a n t a
Awiasiýa	w i a s i a
Awstraliýanyň	w s t r a l i a 5 a
Awtor	v t o r
Aýyplaw	y p l a w
Aýyň	y a
Bag	a g
Bankara	a n k a r a
Berk	e r
Bilýard	i l a r d
Biraz	i r a z
Boýko	o k o
Bäsleşikleriň	3 w t a S i k l e r i a
Dabaralar	a b a r a l a r
Dahyllylaryň	a h y L u y o ry~ n
Daňatar	a a a t a r
Dehistanyň	e h i s t a 5 a
Dil	i l
Diýarymyz	i i i m u z
Döwlete	k l e t e
Döwletgeldi	k l e t g e l d i
Engineering	N u S i n i N
Frankfurt	r a n k f u r
Garabogazköl	a r a b o g a z m a k
Garlykdaky	a r ly~ k d a k
Geçiriljek	 i r i lx~ k
Girewiň	i r e w i a
Giriş	i r i S
Gowaçanyň	o w a a 5 a
Goşulan	o S u l a n
Gurama	u r a m a
Guryýer	u r y e r
Guwanç	u y o u
Gämä	3 m 3
Gökderedäki	k d e r e d 3 k i
Gündogara	i d o g a r a
Haýyşnamanyň	a y S 5 a
Hojaýew	o j E n o
Höküm	k n 3 m
Ibn	b n
Ikinjiden	k i n j i d e n
Ile	l e
Internetiň	t E r n  a
Inçhonda	n o n d a
Kanundakydan	n u d a k i 8 a n
Kanunymyzy	n u m u z
Kanunymyzyň	n u m u z  y a
Katarda	E t E d i t d a
Kepil	a p i l
Konferensiýasynyň	o f e r a ns~ i i S k 5 a
Konwensiýa	o w e ns~ i a
Koreýada	o r e a d a
Kuboga	u b o g a
Kubok	u b o k
Kärendesine	3 r e n d e s i n e
Köpetdagda	o i l e n e d a y a
Köşgüň	o S N a
Latwiýa	a t w i a
Maksatnamany	a k s a t n 5
Maksatnamasy	a k s a t n a m a k
Malaýziýada	a l a 5 a d a
Maslahatlar	a s l a h a L a r
Merkel	E a X
Mihail	i h a i l
Minskiniň	s k i n i a
Mizan	i r a n
Mollanepes	o l l a n e p e
Moskwanyň	o s k w a 5 a
Mukam	t u k a m
Myhmanhananyň	y h a n a 5 a
Mälikguly	3 l i k 3 r
Norwegiýanyň	o r w e g i a 5 a
Operatora	p e r a t o r a
Ortaça	r t a a
Paraw	a r a w
Paryzdepede	a r y z d a e p e d e
Pekiniň	e k i n i a
Pes	m 3 s
Peýdalanylýan	e d a l a 5 l
Psihiki	s i h i k i
Radioýygylyk	a d i o y Z ly~
Raýatlarymyzyň	a t r a nz~ i i m u z  y a
Rowaýata	o w a a t a
Rumyniýanyň	u m 3 n i a 5 a
Sanawyň	a n a w 3 a
Seljerme	e l x e r m e
Serdarabat	e r d a r a b a t
Syýahat	y a h a t
Taýýar	a a r
Tohumlaryň	h u m l E hy~ a
Tokioda	o k i o d a
Toparlaýyn	o p a l a y n
Turkmen	u r k m e n
Tutuşlygyna	u t u S ly~ Z n a
Törebeg	o r e b e
Türkmengallaönümleri	3 r k m e N a l l a 3 m 3 l e r i
Uniwersiada	n i w e r s i a d a
Walentina	a l e n t i n a
Watançy	a t a n
Wesýetnama	e s e t n a m a
Zöhre	o r E
abadanlaşdyryldy	a b a d a n l o S o cy~ u l d u z
agajy	a g a j
agaçlar	a g a l a r
alabaý	a l a b a
alamatyna	a l a m a t 3 n a
alandan	a l a nd~ a n
aljak	a l h a k
alma	l 3 m
alnynda	a l 5 nd~ a
amatlylyk	a m a t ly~ ly~
anyklanan	5 k l a n a n
anyklaýjynyň	5 k l o hy~ 5 a
arabaglanyşygy	a r a b a g l a 5 S y gy~
arassalamagyň	a r a s s a l a m a x y a a
arassaçylygy	a r a s sw~ y ly~ gy~
artykmaçlyklar	a r T k ly~ k l a r
arçyn	a r
atanyň	a t a 5 a
atdan	a t d a n
atçylygy	a t y ly~ gy~
awiasiýasy	a w i a s i a s
awtobuslar	a w i s l a r
awtora	a w t o r a
awtordaşy	a w t o r d o S
awtorynyň	a w t o cy~ 5 a
aýlary	a
aýlawda	a l a w d a
aýlawy	a l a w 3
aýratynlygyny	a r a ty~ 3 n ly~ Z n
aýyndaky	a y h k
aňladýan	a a l a d
bagtyýarlygyny	b o g T a r ly~ Z n
bahanyň	b a h a 5 a
bankara	b a n k a r a
barlaghanasynda	b a r o 8 a n a a n a s 3 n d a
barlagçy	b a r g a b o
batalýonynyň	b a t a l 5 5 a
batyrgaý	b a t e r a a
bazara	b a z a r a
bazaryndaky	b o n d r o hy~ h k
baýdakly	b a d a k kw~ a
başarnyklary	b o S a r 5 k
başlanandan	b a S  n a nd~ a n
başlarlar	b a S  l a r
başlaýan	b a S
bedeniň	b e d e n i a
bedewlerini	b e d e w l e r i n i
belgilerini	b e l g i l e r i n i
bererler	b e r a i n l e r
bergisi	b e r g i s i
berijilik	b e r i j i l i k
beriljek	b E r e l h
beriň	b E a
berkligi	k l i g i
bezeýän	b e 8 3 n
beýlekilerde	b e l e k i l e r d e
bildirilýändigini	b i l d i r i l 3 nd~ i g i n i
bildiriş	b i l d i r i S
bildirýändigi	b i l d i r a* d d i g i 7
bildirýändiklerini	b i l d i r 3 nd~ i k l e r i n i
bildirýänleriň	b i l d i r 3 n l e r i a
bilimlere	b i l i m l e r e
biparh	b i a d a n
birikdirilýär	b i r i g d i r i l 3 r
birinjiligini	b i r i n j i l i g i n i
birleşikleriň	b 3 r l e S i k l e r i a
birleşmeleriniň	b 3 r l e S m e l e r i n i a
birligini	b 3 r l i g i n i
birliklerini	b 3 r l i k l e r i n i
bitaraplygynyň	b i t a r a p ly~ Z 5 a
bişen	b i S e n
bolanlary	b o r a n
bolmalydyrlar	b o l 3 m t a ly~ o l a r
bolýanyň	b o l a 5 a
borçnamasy	b o r n a m a k
bozulmagynyň	b o z u l m o Z 5 a
boýunda	b o u n d a
boýundaky	b o u nd~ a k
bugdaýdan	b u g d a d a n
buýrugyň	b u r o Z a
buýsanýar	b u s a* a r
bähbitlidir	b E h t i b i L i d i r
bölünendir	b u w o l i e n d i r
býujetinde	b u h e t i n d e
dahyllylar	d a h y L y l a r
damjasy	d a m y a s 3
daýhanlar	d a a n l a r
daşardaky	d o S a r d a k
degişlilik	d e g i S l i l i k
demirgazykdan	d e m i r a z a q d a n
deregine	d e r e g i n e
derejelerdäki	d e r e h e l e r 8 o r i k i
derýasy	d e r a s
derňewiniň	d e r a e w i n i a
desgalardan	d e s g a l a r d a n
dessury	d 3 s a
deňeçer	d e N  e r
dikuçar	d i k u a r
dogrulygy	d u g u r u ly~ gy~
dogrulygyna	d u g u r u ly~ Z n a
dogrulygyny	d u g u r u ly~ Z n
doktrina	d o i n a
dokumentleriň	d o k u m e n  a
dolduran	d o l d u r a
dor	d o r
duralgalarynyň	d u r a l g a l a cy~ 5 a
durmagy	d u r gy~
durýardy	d u r a r t a
dutarçylar	d u t a r y l a r
duýdansyz	d u d a s u z
duşuşarlar	d u S u S a l a r
duşuşyklaryny	d u S u S a q
duşuşyp	d u S u S y p
däbine	d 3 b 3 n i 7
dänesine	d 3 n e s i n e
dänäniň	d 3 n 3 n i a
däplerinde	d 3 p l e r i d e
dökmek	d k w i t a
döredilmelidir	d a r e d i l m e l i d i r
dörediş	d a r e d i S
düzümlerindäki	d 3 z 3 m l e r i d 3 k i
