ve 	v e
alandı	a l a n d 3
alayını	a l a y u n
alaşağı	o l o S o X k
alaşımlı	o l o S u m l 3 k
aldatmaya	a l d a t m a y a
aldıysa	a l d 3 y s a
aleme	a l 3 m 3
alevli	a l e b l i
alg	a l
algoritmaların	a l k o r e b o i 3 n
algıladığımız	a l k u l a d 3 X u m u z
algılanmıştır	a l k u l a n m u S t u r
algıları	a l k u l a r k
alkolizm	a l k o l i z m
alnına	a l n  n a
alnında	a l n  nd~ a
alsalar	a l s a l a r
altları	a l tL~ a X n a k
altyazı	a l T a z k
alçalır	a l o l u r
alınabileceği	o l u n a b i l e u X i
alınabileceğini	o l u n a b i l e u X i n i
alınmalı	o l u n m a l 3 k
alıntılanan	o l u nt~ u l a n a n
alışkanlıklar	o l u S  l 3 k k l a r
alışkanlığını	o l u S  l 3 k X u n
alışmaya	o l u S m a y a
amblemini	a m b l e m i n i
amir	a m i X
amirali	a m i X o l i
anakaradan	a N k a r a d a n
anakol	a n a k i
anakütlenin	a N k u t l e n i n
analizlerinde	a n a l i z l e r i d e
anan	a n a n
anarşizmin	a n a r S i z m i n
anaç	a n a
andı	a n d 3
anestezik	a n e s t a
anlamadığını	a n l a m a d 3 X u n
anlamaları	a n l o m o l o r k
anlamlılık	a n l a m l u l u
anlattılar	a n l a t u l a r
anlatılması	a n l a t u l s k
anlaşmalarla	a n l o S b o i l a
anlaşılabilmesi	a n l o S u l a b i l m e s i
anlaşılacaktır	a n l o S u l a k a k t u r
anlaşılmayan	a n l o S u l m E n
anormallikleri	a n o r m a ly~ i k l e r i
antijenleri	a n t i j E n l e r i
antioksidan	a n t i o k s i d a n
antisemit	a n t i s r e p e
anılırken	n  l 3 k r k e n
anın	n  n
anıta	n  t a
aralarını	a r a l a r u n
arayanlar	a r a y a n l a r
arayışları	a r a y u S  k
arazideki	a r a z i d e k i
araştırmalarından	a r a S t u r m a l a r u nd~ a n
araştırıldı	a r a S t u r u l d u
argon	a r g o n
aristokrasisi	a r i s t o k r a s i s i
arsındaki	a r S u nd~ a k i
artmasıdır	i t s u d 3 r
arttıracak	i t u r a k a k
arttırmada	i t u r m a d a
arttırılabilir	i t u r u l a b i l i r
arttırılarak	i t u r u l a r a
arttırırlar	i t u r u l a r
artıracaktır	i t u r a k a k t u r
artırmaktır	i t u r m a k t u r
artışında	i t u S u nd~ a
arşivde	a r S i v d e
askı	a s k k
asmalar	a s m a l a r
asılıdır	a s u l u d 3 r
atabilen	a t a b i l e n
atamaları	a t a m a l a r k
atamaya	a t a m a y a
atanmadan	a t a n m a d a n
atanmıştı	a t a n m u S t k
ataşesi	a t a S e s i
atfedildi	a t o a  l d i
atlamayı	a t l a m a y u
atlardan	a t l a r d a n
atlas	a t l a
atletlerden	a t l   d e n
atmadı	a t m a d 3
atomuna	a t u m u n a
atölyelerde	a t o l e l e r d e
atılınca	a t u l u C a
atıştan	a t u S t a n
avantajdır	a b a nt~ a d 3 r
avcıdır	a b k u d 3 r
avcılarının	a b k u l a r u n  n
avlanmaktadır	a b a nz~ a d 3 r
avukatlarının	N  tL~ a X n a u n  n
ayakkabılarını	a y a k n u w u l a r u n
ayarlamalar	a y a l o m o L a r
ayarlayarak	a y a l a y a r a
aydınlarının	a y d 3 l i  u n  n
aydınlığı	a y d 3 n l 3 k X k
aygıtının	a y g u t u n  n
ayinlerinde	y i*  l e r i d e
ayrılmalarını	a y r u l m o l o r u n
ayrılmasıdır	a y r u l s u d 3 r
ayrılsa	a y r u l s a
ayrıştırma	a y r u S t u r m a
azaldığında	t r o l d 3 X u nd~ a
azalmalar	t r o l m o l a r
açmasının	a s u n  n
açıdır	a u d 3 r
açıklanamaz	a u k l o n a m a z
açıklandıktan	a u k l a n d 3 a
açıklanmasından	a u k a nz~ s u nd~ a n
açıklarından	a u k  u nd~ a n
açıklıyordu	a u k l 3 k o r d u
ağabeyine	o X a b e y i n e
ağaçlarını	o X a  u n
ağaçlı	o X a l 3 k
ağırlamıştır	o X u l a m u S t u r
ağırlıklarına	o X u X l u x k  u n a
ağırlıksız	o X u X l u x k s u z
ağırlıktadır	o X u X l u x a d 3 r
ağırlığından	o X u X l u x X u nd~ a n
ağızlarına	o X u s   u n a
aşarsa	o S 3 y s a
aşağılamak	o S o X u l a m a k
aşma	o S m a
aşımı	o S u m k
babasız	b a b a s u z
bacaklarından	b a k a q  u nd~ a n
bahsederler	b a 7 s e d i n l e r
bakanlıktır	b a k a n l 3 k u r
bakir	b a k i r
bakla	b a k l a
bakteriye	b a k t e r i y e
balıkçılıkla	b a l u x k u l u b l e
banisi	b a n i s i
bankalardan	b a n k a l a r d a n
banknotların	b a n k n o t L 3  3 n
barajları	b a r 3 X  k
baro	b a r o
baryum	b a r y u m
barınakları	b a r u n a q  k
basamaklarında	b a s w  u nd~ a
basitleştirmek	b a s L e S t e s a y m 3
baskılarda	b a s k u l a r d a
baskından	b a s k u nd~ a n
bastırmış	b a s t u r m u S
basıklık	b a s u k l 3 k
basınının	b a s u n  n  n
batarken	b E t E d i t k e n
bataryalarının	b a t a cy~ a l a r u n  n
batmaya	b a t m a y a
bayrakların	b a y r a q  3 n
bağlanacak	b o X a nz~ a k a k
bağlanırken	b o X l o n  r k e n
bağlarken	b o X  k e n
bağlılıkları	b o X l u l u k  k
bağlıyordu	b o X l 3 k o r d u
bağımlılığına	b o X u m l u l u X u n a
bağımlılığının	b o X u m l u l u X u n  n
bağıran	b o X u r i
bağışık	b o X u S u
başarısıdır	b o S a r u s u d 3 r
başlangıca	b o S l a N u k a
başlanılan	b a S  n  c
başlanılmıştır	b a S  n  l m u S t u r
başlatması	b a S  t s k
başlatmışlardır	b a S  t m u S  d 3 r
başlıklarına	b o S l 3 k k  u n a
başvurma	b o S b u r m a
başvururlar	b o S  l a r
başyazarı	b o S y l a r k
başşehri	b o S S e h r i
bebeklerden	b e b e k l e r d e n
bebekte	b e b e k t e
bedevi	b e d e v i
bekleyerek	b e k l e y e r e k
bekçileri	b e kw~ i l e r i
bekçilik	b e kw~ i l i k
belediyeden	b e l e d i y e d e n
belgelendi	b e l g e l e n d i
belgeseldir	b e l g 3 s e l d i r
belgeselinde	b e l g 3 s e l i n d e
belirledikleri	b e l i l l e d i k l e r i
belirlenebilmektedir	b e l i l l e n e  l k  r
belirlenmelidir	b e l i l l e n m e l i d i r
belirlerler	b e l i l l e r l e r
belirliyor	b e l i l l i y o r o
belirmiş	b e l i r m i S
belirtildiğine	b e l i r t i l d i X i n e
belirtilmekteydi	b e l i r t i l k b d i
belirtisidir	b e l i r t i s i d i r
belirtiyorlar	b e l i l j o r l a r
benimsediler	b e n i m e d i l e r
benimsenir	b e n i m e n i r
benliği	b e n l i X i
benzerliklere	b e n z e r l i k l e r e
benzetilmiştir	b e n z e t i l m i S t i r
benzettiği	b e n z e t i X i
beraberindekiler	b E r a b e r i n d e k i l e r
bere	b e r e
besledi	b e s l e d i
best	b e s
besteleme	b e s t e l e m e
bestelerinde	b e s t e l e r i d e
bestelerine	b e s t e l e r i n e
betimlemeleri	b e t i m l e m e l e r i
beyinden	b e y i d e n
beze	b e z e
bezin	b e z i n
beğenmedi	b e X m e d i
bildirilmişti	b i l d i r i l m i S t e
bildiriye	b i l d i r i y e
bileşendir	b i l e S e n d i r
bileşiminden	b i l e S i m i n d e n
bileşimleri	b i l e S i m l e r i
bileşkesi	b i l e S k e s i
bilgilendirildi	b i l g i l e n d i r i l d i
bilgisayarlarını	b i l g i s a y a l a r u n
bilgisiz	b i l g i s i z
bilimadamları	b i l i m a d a m  k
bilinçlendirme	b i l i n l e n d i r m e
biliriz	b i l i r i z
binary	b i n a r
binlercesi	b i t t l E r e s i
binmeyi	b i t t m e y i
birikerek	b i r i k e r a
birikimlerini	b i r i g i m l e r i n i
birikmesini	b i r i g S i n i
birincileri	b i r i n i l e r i
birleşiminde	b 3 r l e S i m i n d e
bisikletçinin	b i s i k l e t i n i n
bitirdiğini	b i t i o n X i n i
bitiremeden	b i t i r E m E d e n
bitmesinin	b i t y a h i n
biyotik	b i y o t i k
biçimdeki	b i i l a b k i
biçimin	b i i m i n
blokaj	b l o
bloklara	b l o k l a r a
bloklarından	b l o k  u nd~ a n
bloğuna	b l o X u n a
bloğunu	b l o X u n u
bonservisi	b o n e r i s i
borunun	b o r u n u n
boyadığı	b o y a d 3 X k
boyalarla	b o y a l a l a
boyandı	b o y a n d 3
boyayarak	b o y a y a r a
boylarındaki	b o y  u nd~ a k i
boynundaki	b o y n u nd~ a k i
bozukluğunun	b o z u k l u X u n u n
bozulabilir	b o z u l a b i l i r
bozulmayı	b o z u l m o y u
boğazlar	b o X t r L a r
boğmak	b o X
boğuşan	b o X u S
boşalttı	b o S a l t k
boşanmanın	b o S a* m o n  n
boşanmayı	b o S a n m a y u
boşluğunun	b o S  X u n u n
boştur	b o S t u r
bugünden	b u N nd~ e n
bulabildikleri	b u l a b i l d i k l e r i
bulabilirler	b u l a b i l i l l e r
bulabilmektedir	b u l a b i l k  r
buldukça	b u l d u k a
bulduğuna	b u l d u X u n a
bulmaz	b u l m o
bulunamaması	b u l u n a m a m a k k
bulunanlardan	b u l u n a  d a n
bulunmasıydı	b u l u n s u y d 3
bulutlarının	b u l u tL~ a X n a u n  n
bunca	b u n k a
buraların	b u r a l a r 3 n
buzdolabında	b u z d o l 3 b u a u nd~ a
buzullarının	b u z u y a r u n  n
bypass	b 3 p a s
bölü	b u w o 3 3
bölünmesinden	b u w o l i S i n d e n
bölünmüşlerdir	b u w o l i m 3 S l e r d i r
bünyesi	b u 5 e s i
büst	b 3 s t
bütününde	b i i 3 nd~ e
büyücünün	b u y i k a r i o N
büyüklüklerine	b u m v 3 k 3 3 k l e r i n e
büyütülür	b u y i l 3 r
bırakmasıyla	b u r a k s u y l a
bırakılmaktadır	b u r a k u l a d 3 r
bırakılmasıyla	b u r a k u l s u y l a
caddelere	k a d d e l e r e
caddelerinden	k a d d e l e r i n d e n
camiada	k a m i a d a
canlandırıcı	k a* l a n d 3 r u k k
canlandırılmasına	k a* l a n d 3 r u l s u n a
canlanır	k a* l o n  r
casusları	k a s u s  k
cebirin	C E b 3 r i n
ceketi	k e k e t i
ceketini	k e k e t i n i
cenazesini	C E n a z e s i n i
cenazesinin	C E n a z e s i n i n
cenazeye	C E n a z e y e
cent	C E n t
cetvel	C E t v e l o
cevapta	C E v a p t a
cezadan	k d 3 s 3 r 3
cezaevindeki	C E z E e v i n d e k i
cezasıyla	C E z a s u y l a
cezbedici	k d b e d i k i
ciddiyeti	T i d i e z i
cihazıdır	i tr~ u ndr$ u d 3 r
cinayetlerinin	i n a y e t l e r i n i n
cinsiyetleri	k nsw$ i s i n i l e r i
cinsiyetçi	k nsw$ i s i n i i
coğrafyasını	k o X r a fy~ a s u n
cumhuriyetler	k u h u r i y i L e r
cumhuriyetlerde	k u h u r i y i L e r d e
cülus	k a l u s
cüzdanı	k a z d a o n
dalgalardan	d a l g a l a r d a n
dalıp	d o l u p
damarlardan	d a m a l a r d a n
damgaları	d a m g a l a r k
darbeleriyle	d a r b e l e r i y l e
darmadağın	d a r m a d o X 3 n
davalardan	d a v a l a r d a n
davalarını	d a v a l a r u n
davetlisi	d a b e  s i
dayalıydı	d a y a o l u y d 3
dayandırılmaktadır	d a y a a n d 3 r u l a d 3 r
dayandırır	d a y a a n d 3 r u r
dağlardaki	d o X  d a k i
dağılışı	d o X u l u S k
dağıtılmasına	d o X u t u l s u n a
dehliz	d e h l i z
delegasyon	d e l e g a s o n
deltanın	d e l t o n  n
demiryollarını	d e m i r o l l a r u n
demoları	d e m o l a r k
denemeyi	d e n i m e y i
deneyimlerden	d e n e y i m g u l e r d e n
deneyini	d e n e y i n i
deneylerinden	d e n e y l e r i n d e n
dengesine	d e N e s i n e
denilince	d e n i l i n k e
denirken	d e n i r k e n
denizinde	d e n i 5 d e
denklemine	d e Nkw$ l e m i n e
denklemlerde	d e Nkw$ l e m l e r d e
denmeye	d e n m e y e
departmanına	d e p i t m o n  n a
departmanının	d e p i t m o n  n  n
depolanmasını	d e p o r a n m a s u n
deposunu	d e p o s u n u
dereye	d e r e y e
derinliklere	d e r i n l i k l e r e
derinliğin	d e r i n l i X i n
derinliğindedir	d e r i n l i X i n d e d i r
derisiyle	d e r i s i y l e
derlemede	d e r l E m E d e
derlemeleri	d e r l e m e l e r i
derleyicisi	d e r l e y i k i s i
dermal	d e r m a l
dersinde	d e r s i n d e
destanlar	d e s t a n l a r
desteklemedi	d e s t a k l E m E d i
destekleyip	d e s t a k l e y i p
detaylarla	d e t o y  l a
devamsızlık	d e b E m s u s  l 3 k
devenin	d e b e n i n
devinim	d e v i n i m
devredeki	d e b r e d e k i
devresinin	d e b r e s i n i n
deyimle	d e y i m g u l e
değerleme	d e X e r l 3 m 3
değerlendirilirler	d e X r xy~ E kw~ e n d i r i l i l l e r
değerlendirmelerde	d e X r xy~ E kw~ e n d i r m e l e r d e
değişecek	d e X i S e k k
değişikler	d e X i S i k l e r
değişikliklerdir	d e X i S i k l i k l e r d i r
değişkenliği	d e X i S k 3 n l i X i
değiştirebilen	d e X i S t i r e  l e n
değiştirilmeden	d e X i S t i r i l m e d e n
değiştirmeler	d e X i S t i r m e l e r
dileğini	d i l e X i n i
dilimini	d i l i m i n i
diliyoruz	d i l i y o r o  u
dinidir	d i n i d i r
dinletti	d i n l e t i
dinleyicilerinin	d i n l b a i l e r i n i n
diplomasına	d i p xy~ u 7 s u n a
direndiler	d i r e n d i l e r
diriltme	d i r i l t m e
disiplininde	d i s i p l i n i n t e
dizgi	d i z g i
dizileriyle	d i  l e r i y l e
dizimi	d i z i m i
dişlerle	d i S l e r l e
doktrine	d o i n e
dokularında	d o k u l a r u nd~ a
dokusundan	d o k u s u nd~ a n
dolarını	t o r a r u n
dona	d o n a
donanmaları	d o n a n m a r  k
donması	d o* s k
doruğu	d o r u X u
dostudur	d o s t u d u r
dostunun	d o s t u n u n
dosyada	d o s y a d a
doğaldır	d o X a l d 3 r
doğrulanır	d o X r u l o n  r
doğrulayacak	d o X r u l a y a k a k
doğumun	d o X o r o u
doğurgan	d o X u r g a n
doğurma	d o X u r m a
dramatize	d r a m a t i z e
drop	d r o p
duba	d u b a
durağa	d u r o X a
durdurmuş	d u r d u r S
durdurulamaz	d u r
durumlardaki	d u r u m l a r d a k i
durumlardır	d u r u m l a r d 3 r
duyduklarında	d u y l u 7  u nd~ a
duyduğundan	d u y dw~ X u nd~ a n
duymadığı	d u y m a d 3 X k
duymaktaydı	d u y y d 3
duyulmamış	d u y u l m o m u S
duyurarak	d u y u r a r a
duyurusunu	d u y u r u s u n u
dökülmesini	d k l S i n i
döndürülen	d o nd~ 3 r k e l e n
dönel	d o*
dönmemesi	d 3 y o g o e s i
dönümüne	d 3 m 3 i e
dönüşlerde	d 3 3 S l e r d e
dönüşlerinde	d 3 3 S l e r i d e
dönüştürecek	d 3 3 S t 3 r E C E k
dönüştürülmesini	d 3 3 S t 3 r l S i n i
dörtgenin	d a r t g e n i n
dövmek	d o 3 m 3 k
dövüşleri	d o  S l e r i
dövüşçüdür	d o  S 3 d a r
dövüşün	d o  S o N
dükkânlarda	d 3 k k 3  d a
dükkânları	d 3 k k 3  k
dükkânların	d 3 k k 3  3 n
dükkânın	d 3 k k 3 3 n
dünyadır	d 3 5 a d 3 r
dürbünü	d 3 b i r e i 3
düzeltilir	d 3 z e l t i l i r
düzeltir	d 3 z e l t i r
düzenlemelerden	d 3 z e n l e m e l e r d e n
düzenlemesinin	d 3 z e n l e y a h i n
düzenlemişti	d 3 z e n l e m i S t e
düzenlenip	d 3 z e n l e n i p
düzenleniyor	d 3 z e n l e n i y o r o
düzenlerinin	d 3 z e n l e r i n i n
düzgünce	d 3 z N nC~ e
düzlemleri	d 3 z l e m l e r i
düğmeli	d 3 X m e l i
düğümlü	d 3 X m 3 3 3
düğünün	d 3 X i o N
düğününde	d 3 X i 3 nd~ e
düşmemesi	d 3 S y o g o e s i
düşsel	d 3 S e l
düşümü	d 3 S 3 m 3
düşüncelerden	d 3 S i s e l e r d e n
düşünürü	d 3 S i 3 a s
düşürürler	d 3 S 3 a s l e r
eddy	e d dy~
edebiyattaki	e d e b i y a t t a k i
edilebiliyor	e d i l e b i l i y o r o
edilebiliyordu	e d i l e b i l i y o r o  d u
ediniyor	e d i n i y o r o
edinmeyi	e d i e g w i t a i
ediş	e d i S
efsanelerden	i f s a n e l e r d e n
egemenliğin	E g E m E n l i X i n
ekipmanını	r p m o n  n
eklemişti	e k l e m i S t e
eklemlerde	e k l e m l e r d e
ekolünün	e k o l i o N
ekonomilerinin	e k o n o m i l e r i n i n
ekonomisindeki	e k o n o m i s i n d e k i
elektronlardan	e l e k tr~ u  d a n
elemelerin	e l e m e l e r i n
elementlere	l E l E m E n
eleştirildiği	e l e S t i r i l d i X i
eleştiriyor	e l e S t i r i y o r o
eleştirmenlere	e l e S t e s a y m 3 n l e r e
elçisinin	e l i s i n i n
embriyonun	e m b a r i y o n u n
emeğini	3 m 3 X i n i
emeğinin	3 m 3 X i n i n
emirlerinin	e m i X l u e r i n i n
enerjilerinin	e n e r j i l e r i n i n
enfeksiyonların	e n f k s i y o r o n  3 n
engellemeyi	g e l l e m e y i
engellendiği	g e l l e n d i X i
engelliyordu	g e l l i y o r o  d u
enstitüsünün	e n s i p 3 s i o N
enstrümanlarını	e n u z 3  u n
enternasyonalist	e n t E r n 3 s o o n a l i s
eritilmiş	r i t i l m i S
erişilir	r i S i l i r
erozyonun	e r o z o n u n
ertelenmesine	e r t e l e n S i n e
eskort	e s k o r
eskrimci	p i p 3 l 3 ry~ l i
esneme	e s n i m i
estetiğini	e s t e t i X i n i
eteklerinden	e t e k l e r i n d e n
eteğini	e t e X i n i
etiketlenir	e t i k e t l e n i r
etilen	e t i l e n
etkilemekte	e t k i l 3 m e k t e
etkilenmesine	e t k i l 3 n S i n e
etkiliyordu	e t k i l i y o r o  d u
etkindi	e t u n d i
etmedikçe	e t m e d i k e
etmeliyiz	e t m e l i y i z
etraflarındaki	a t 3 r a f  u nd~ a k i
ettirilmektedir	e t i r i l k  r
evlendirme	p i r l e n d i r m e
evlenecektir	p i r l e n e k Nw~ m 3 t i r
evlenirken	p i r l e n i r k e n
evlenmesinin	p i r l e n y a h i n
evreli	p i r r e l i
ezgilerini	d g i l e r i n i
ezme	d m e
eğimle	e X i m l e
eğitilir	e X i t i l i r
eğitmenin	e X i t m E n i n
eğitmenler	e X i t m E n l e r
eğrelti	e X " t i
eşitsiz	e S i c i t e
eşyaya	e S y a y a
faktörden	f a h a r d e n
faktörlerini	f a h a l e r i n i
faktörüne	f a h a a s n e
farelerin	f a r e l e r i n
farklılaşmalı	f a r k l u l o S m o l u
fayans	f a y a n
fazları	f a z l a r k
fazlasıdır	f a z l a s u d 3 r
fazlaysa	f a z l a y s a
fenomenler	f e n o p i N l e r
fenotipi	f e n o t 3 p i
fermanıyla	f e r m o n  y l a
feshedilmiş	f e S o  l m i S
feshetme	f e S o  m e
festivallerine	f e S t i v a l l e r i n e
fetihlere	f e t i L e r e
feudu	f o i d u N
fibröz	f i o* o
filolar	f i r o r a r
filolarının	f i r o r a r u n  n
filosundan	b i l o s u nd~ a n
filozoflarının	b i l o z o f  u n  n
filtrenin	b i l t r e n i n
firmalarına	f E i r m a l a r u n a
fitne	f i t n e
fizikçileri	f i z i k i l e r i
fizikî	f i z i k
fiziğine	f i 5 X i n e
fişeğin	f i S e X i n
flamenko	f l a m E n k o
fotonu	f o t o n u
fotoğrafında	f o  X r a f u nd~ a
frame	f r a m e
fransız	f r i s u z
frekanslarının	f r e k a s  u n  n
fünyeler	f 3 5 e l e r
fırlayan	f u l a y a n
fırtınasının	f u r t u n 3 s o u n  n
fıskiye	f u u r
fıçılarda	f u u l a r d a
galaksiyi	g a l a k S i y i
gard	g a r d
garnizonları	g a r n i z o n l a r k
garnizonuna	g a r n i z o n u n a
gaye	g a y e
gayrisafi	g a 3 r i s a f i
geceki	g e j e k i
gecen	g e j e n
gecikmedi	g e j i k m e d i
gelebildi	g e l e  l d i
gelebileceğini	g e l e  l e u X i n i
gelenlerine	g e l e n l e r i n e
gelinen	g e l i n e n
gelirden	g e l i l d e n
gelirine	g e l i r i n e
geliyorsa	g e l i y o r o  s a
gelişmez	g e l i S m e z
gelmeyecek	g e l m e y o j k
gelmişken	g e l m i S k e n
gemidir	g e m i d i r
genelinden	g e n e l i n d e n
genişlemektedir	g e n i S l E m E  r
genişlikteki	g e n i S  k t e k i
genomik	g e n o m i k
genomu	g e n o m u
gençti	g e n t i
gerekecekti	g e r a t a u 8 o k o k t i
gerekeni	g e r e k e n i
gereklerine	g e r e k l e r i n e
gereksinimlerin	g e r e k a h i m l e r i n
gereçlerin	g e r  l e r i n
gereğine	g e r a X i n e
gergedan	g e r g e d a n
gerilemesine	g e r i l 3 m e s i n e
gerilimini	g e r i l i m i n i
gerilimleri	g e r i l i m l e r i
gerçekleşiyordu	g e r e k l e S o r d u
gerçekleşmediği	g e r e k l e S  X i
gerçekleşmesinde	g e r e k l e S S i d e
gerçekleştiriliyor	g e r e k l e S t i r i l i y o r o
gerçekleştirilmesinde	g e r e k l e S t i r i l S i d e
gerçeklikten	g e r e k l i k t e n
gerçekti	g e r Nw~ t i
gerçekçiliği	g e r Nw~ i l i X i
gerçeğiyle	g e r e X i y l e
getirdiğinde	g e t e o n X i d e
getiremedi	g e t i r E m E d i
getirilirdi	g e t i r i l i l d i
getiriliyordu	g e t i r i l i y o r o  d u
getirilmek	g e t e r e l w i t a
getirilmesinde	g e t e r e l S i d e
getirmesinden	g e t e s a y m 3 s i n d e n
gevşer	g e b S e r
gezegenini	g e z e g e n i n i
gezilebilir	g e  l e b i l i r
gezinmek	g e  e g w i t a
geçinceye	g  m a e y e
geçirdim	g  3 r d i m a
geçirmekten	g  i r k
geçmeyecek	g  m e y o j k
gidilmiş	g i d i l m i S
gidişat	g i d i S a t
girebildi	g i r e  l d i
girenler	g i r e n l e r
girilmiş	g i r i l m i S
girişlerini	g i r i S l e r i n i
girişmek	g i r i S w i t a
girişmiş	g i r i S m i S
gitmektedirler	g i t k  r l e r
gitmemektedir	g i t y o g o k  r
giyilmektedir	g i y i l k  r
giysilerin	g i i l e r i n
gizlenmesi	g i z l e n m e s i
gizleyerek	g i z l e y e r e k
gollerine	g o l l e r i n e
grafiğe	g r a f i X e
gribi	g r i b i
griye	g r i y e
gökteki	g k t e k i
gölgeye	g o l g e y e
göllerden	g o L e r d e n
gölünde	g o 3 3 nd~ e
gönderileceğini	g 3 d e r e l e u X i n i
görenek	g a r e i k
görevindeyken	g a r e v i n d e y k e n
görevlendirilmesi	g a r E f l e n d i r i l m e s i
görevlilerinden	g a r E f l i l e r i n d e n
görmüşler	g a r m 3 S l e r
görseli	g a r s l 3 N
görülemeyen	g a r k e l e m e y e n
görülmektedirler	g a r l k  r l e r
görülmesinin	g a r l y a h i n
görüneceği	g a r i u 8 o k o X i
görünmedi	g a r i m e d i
görünmüyor	g a r i m 3 n i o z i
görünmüş	g a r i m 3 S
görüşten	g a r 3 S t e n
gösterebiliriz	g o s t E r e  l i r i z
gösterenler	g o s t E r e n l e r
gösterilerinden	g o s t E r e l e r i n d e n
gösterilip	g o s t E r i l i p
gözlerle	g o 3 z l e r l e
gözönünde	g o z 3 3 nd~ e
gözükmeye	g o z 3 k m e y e
göçerek	g o e r a
güdüm	N d n 3 m
günahlardan	g i a L a r d a n
güncelledi	N nC~ e l l e d i
güncelleştirmeleri	N nC~  e S t i r m e l e r i
günlükler	g i 3 3 k l e r
günlüğünde	g i 3 3 X 3 nd~ e
güreşmiştir	N r e S m i S t i r
gürültüler	N r l t 3 l e r
güvenilirdir	N f e n i l i l d i r
güvenlikle	N f e n l i k
güvenliğe	N f e n l i X e
güvenmeyen	N e e g w i t a e n
güvertesi	N e r t e s i
güzelce	g 3 z e l j e
haberdardır	h a b e r d a r d 3 r
hacker	h a k k a r
hadiseler	h a Z u e l e r
hafızasına	a f u s  a s u n a
