li 	l i
Iżlamiku	l a m i k u
Iżraeljan	r a e l a d " a
Jahasra	a h a s r a
Jerry	e r
Jinsisti	s i s t i
Johan	o h a n
Kapuccin	a p u k C i g i
Katanja	a t a n j a
Katekeżi	a t e k e i
Kitbiet	i t py~ e t
Kodiċi	o d i
Konservazzjoni	o* s e r v a z z y a r o n i
Konventwal	o f e n tw~ a l
Koperazzjoni	o p e r a z z y a r o n i
Koppji	o p ph~ i
Kornelju	u r n e l C u
Kristian	r i s t i a n
Kron	r o n
Kulfejn	u x t o a  n
Kunċett	u n e t
Labini	a b i n i
Laus	a u s
Layn	a
Lehman	e h m a n
Letteratura	e t t E r a t u r a
Lions	i o* s
Little	i t
Ludvik	u d v i k
Maggiore	y i o r e
Magistrat	y i s t r a t
Mano	a n o
Marketing	a r k e t i N
Martino	i t i n o
Martinu	i t i n u
Marx	a r 7
Massimiljan	n i m i l a d " a
Matteo	a t t e o
Mawmettu	t e t u
McCann	k a* n
Medical	e d i k a l
Meilak	e i l a k
Memorial	e m o r i a l
Merħba	e r b a
Metropolitan	a t 3 r o p o r i t a n
Mgr	g r
Miceli	C " e l e l i
Micheal	i C e a l
Microsoft	i k r o
Migration	i g r a t i o n 3
Miljuni	i l C i x u n i
Mill	i l
Minnhom	i n 5 o m
Mixja	i S j a
Monopoly	n o p o r
Montalto	o* t a l t o
Monument	n u m e n t
Moran	o r a
Mowgli	o w L i
Nada	a d a
Nations	a t i o* s
Neri	e r i
Ngliża	g l i a
Nicolò	i k o l
Nightshadow	i t  S a d o
Nippruvaw	i p p r u b a w
Nisel	a s l 3
Nistħajjel	i s t a h o x e l
Num	u m
Officers	f C " e l e g i
Pa	a
Pandora	a n d o r a
Parisio	a r i s i o
Parma	a r m a
Partners	i t n e r
Pawlist	a w C i w
People	e L l e
Pharaoh	h a r a o
Pinar	i n a r
Place	l a k e
Players	l a y e r
Police	o l i k e
Polo	o l o
Portomaso	u r t o 7 s o
Pressjoni	r e s cx~ o* n i
Pretty	r e t
Prevenzjoni	b e b e n z y o n i
Pro	r o
Prodotti	r o d o t t i
Products	r o C u k c
Provincjali	r o v i Sx~ a l i
Pubblici	u b bl~ i C i
Putirjal	u t i r q
Qam	a m
Qrati	r a t
Ra	a
Records	e k o r d
Regolament	E k o l a m E n t
Religjuz	e l i gy~ u
Resaq	e s a q
Review	p i r i e w
Reġjun	e N g h u n
Rieti	i e t i
Riċentament	i e n t a m E n t
Rocco	o kh~  o
Rosario	o s a r i o
Ruggier	u m i e r
Rull	u l o
Rumeni	u m e n i
Rħula	u l a
Saint	i nt~
Sara	a r a
Saċerdot	a e r d o t
Sciortino	i o r t i n o
Segretarja	g r e t a r j a
Sehem	e h e m
Semmejt	e m j
Sempliċiment	3 mp~ l i m E n t
Sfida	f i d a
Shipyards	h i p y a r d
Sigmund	i g nd~
Sindki	i n d k i
Sistina	i s t i n a
Sites	i t e
Siġġiewi	i i X i a e i
Skolasport	k o l a s p o r
Skuzawni	k u z o N i
Sor	o r
Spiċċajna	p y a x n a
Spiċċajt	p y a
Stajna	t a h n a
Standard	t a n r d
Storiċi	t o r i
Strateġija	tr~ a t e X i a h a
Subien	u b i e n
Summer	l u m m e r
Superjuri	u p e r h u r i
Svizzera	v i z r i ly~ a
Tagliaferro	y l i a f e r o
Tama	a m a
Tarbija	a r b i j a
Tartarni	i t a r n i
Tazza	a z c a
Terga	e r g a
Therapy	h e r a p y
Tifkira	f k i r a
Tlaqna	l a q l a
Tlaqt	l a q
Tmexxija	m e S S i j a
Tong	o N
Toskan	o s k a n
Trentu	r e n t u
Turu	u r u
Two	w o
Uncategorized	5 u k a th~ a p 3 e g o r i z e d
Ursula	r s u l a
Vitale	i t a l e
Volkswagen	o l k s o g e n
WasteServ	a s t i 3 r v
Web	e
Wolfgang	o l f g a N
Xagħra	y r a
Xahrejn	a h r e y o n
Xara	a r a
Xebba	e b b a
Xellugi	 g i
Zeppi	a p p i
abitant	a b i t a nt~
accettata	a k C E t t a t a
accettati	a k C E t t a t i
acquis	a k k i s
affarijet	a f f a r i y e t
affezzjoni	a f f E z z y a r o n i
agħtini	y t i n i
akkademja	a k c i n a l a j a
akkreditati	a k r e d i t a t i
akkużata	a k k u a t a
akkwistata	a k kw~ i s t a t a
alkoholiku	a l k o h o l i k u
allokata	k a d r a t a
andna	a nd~ n a
animat	a n i m a t
anzjanità	a n z y a n i t 7
appliances	a p p l i a*  m 3 s
arrangamenti	a r a N a m e n t i
artiktlu	i t i k L u
assorbiti	n i o r b i t i
astjenew	a s th~ i N o
astronomiċi	a s t r o n o m i
attwata	a t tw~ a t a
avventuri	a b f e n t u r i
avżat	m a v a t
awtorizza	a w t o r i z c a
bag	b a g
baghdan	b a gh~ d a n
bagħatli	b a g a t l i
bambin	b a m b i n
baqra	b a q r a
barokka	b a r o k
basktijiet	b a s k t e
bazici	b a z i C i
benefit	b i n i f i t
benniena	b e n o N a
bilingwali	b i l i N w a l i
bintek	b i n t e k
bniha	b g u g a
bomblu	b o mb~ l u
borka	b o r
bottijiet	b o t t e
bramel	b r a m e l
briganti	b r i x a n t i
brijużi	b r i j i
btajjel	b t a h o x e l
bzajt	b z a
bzonnha	b z o n h a
bżonnjużi	b o n nj~ u i
cables	k a b l e
cekk	k Nw~
centinarju	C E n t i n a r C u
certificate	C E r   k a t e
chairperson	C a i r p e r o*
ckejknin	k k j k n i n
code	k o t e
containers	r o n t a i n e r
cucata	k u k a t a
daqqaqa	d a k " o u k a
daħlux	d a l u S
ddejqu	d j k
definita	d e f i n i t a
definittiv	d e f i n i t i
dehbi	d e h b i
dehrux	d e h r u S
delitti	d e l i t t i
demokratikament	d e m o k r a t i k a m E n t
den	d e n
denn	d e n n
dielja	d i e l j a
difnuh	d i f n u
dija	d i j a
dingi	d i N i
dioxide	d i o X i d e
disgrazzja	d i s b o ch~ z z y a r m
diskoteka	d i s k o t e k a
diskutibbli	d i s k u t i b bl~ i
djakni	d n i 5 n i
dmija	d m i j a
dottrinali	d o t i n a l i
dressing	d r e s s i N
driegħ	d r i
drinks	d r m
dubjuż	d u b C u
dun	d u n
dwardu	d w ar d u
editjat	e d i y a t
edukatur	e d u k a t u r
ekkleżjastika	e k k j s t i k a
ekri	e k r i
elaborat	e l a b o r a t
elettriċi	e l e t i
elevat	e l e v a t
emigrazzjoni	e m i g r a z z y a r o n i
emmnuni	e m m n u n i
emozzjonalment	e m o z z y a r o n a l m E n t
entratura	e n t r a t u r a
erħilhom	r i L o m
esibizzjoni	e s i b i s z y a r o n i
esibizzjonijiet	e s i b i s z y a r o* e
eskluża	p i p 3 l 3 i
esperjenzaw	e s p e r o x e n z a w
espliċitament	e s p l i t a m E n t
est	e s t
estate	e s t a t e
estensjonijiet	3 S t a n cx~ o*  e
ezistenti	a  s t e n t i
face	f a k e
fahhru	f a h r u
fallimenti	f a ly~ i * nt~ i
farmaċewtiċi	f a r m a e w t i
faħxi	f a x i
ferghat	f e r g a t
feroċi	f e r o i
feġġew	f e NG~ x
fic	f i k
finalizzat	f i n a l i z z a t
flieles	f l i e l e
flora	f l o r a
folk	f o l
fommhom	f o m o m
fornituri	f o r n i t u r i
fors	f o r
fotokopja	f o t u k u p j a
frustrati	f r u s t r a t
ftiehem	f t i e h e m
fula	f u l a
funerali	f u n e r a l i
fxi	f x i
gamimiet	g a m i m i e t
garrew	g a r r E f
gazetti	g a z e t i
genb	g e n
generazzjonijiet	g e n e r a z z y a r o* e
generuza	g e n e r u w Z a
ghaddha	x a d d a
ghajxien	x a S i e n
ghalix	x a l i S
ghallura	g i s k a d u r a
ghamluha	x a m  a
ghamlulu	x a m l u l u
ghanjiet	x a n j i e t
gharfet	x a r f e t
gheruq	g h e r u w
ghidtu	w i d t u
ghonq	x o
gibna	g i b n a
gotiku	g o t i k u
gozz	g o z
gradilja	g r a d i l j a
gralha	g r a L a
grams	g r a m
green	g r e n
guf	g u f
gum	g u m
gustifikat	g u s t i i S t i m a
gustifikazzjoni	g u s t i f i k a Z z y a r o n i
għaddha	g a d d a
għajnu	g a x n u
għalli	g a ly~ i
għamlilna	g a m t o n a
għamlulu	g a m l u l u
għarkubbtejh	g a r kh~ 3 7 b w b 3
għebu	g E m u
għeleb	g e l e
għena	g e n a
għeneb	g e n e
għerqu	g e r X u
għidilhom	g i d i L o m
għidli	g i d l i
għollew	k o r r e w a
hakem	h a k e m
halliex	h a ly~ i e 7
halqhom	h a q o m
hamrija	h a m r i j a
harigx	h a r i x 7
harrub	h a r u b
hdimna	h d i m n a
henjin	h E n j E t i n
hero	h e r o
hlejjaq	L e h j a q
hmerija	h * i j a
hour	h o u r
hoxnin	h o n i n
ibidu	i b i d u
ibieghu	i b i e x u
iccelebrata	i kh~  e l e b r a t a
iddaħħlu	i d l u
iddecidejt	i d a k 3 r i d e h a
iddejjaq	i d a j j a q
iddiskutejna	i d i s k u t e h n a
idduru	i d
idejjaqni	d e h a j a q l
ideoloġija	d e o l o X i a h a
idoli	d o l i
iduqu	d 3 k
iffinanzjata	f f i n a n c~ j a t a
igergru	i g e r g r u
ikattar	i k a t t a r
ikkaratterizzata	i k k a r a t t E r i z z a t a
ikkawża	i k b u k a w a
ikkompona	i k i m p o n a
ikkuntattja	i k k u n t a t y a
iklieb	i k l i e
ilsienna	i l s i e
imaqdar	i m a q d a r
imbarazzat	i m b a r a z z a t
imbotta	e mb~ o tw~ e t a
imbuttat	i m b u t
imbuttatura	i m b u t t a t u r a
imdaħħla	i m y e z i
imexxina	i m e S C i n a
imfittxija	i m f i 5 i* j a
imissha	i m i s a
imissni	i m i 7 n i
imlew	i m r e w a
immarkati	i m m a a t i
imnebbaħ	i m i b b a
imponenti	i m p o n e n t i
impressjona	i m p r e s cx~ o* n a
imseħbin	i m e b i n
imsieħeb	i m X a p
imtellgħa	i m t e l a g a
imwejjed	i m w e
imġedded	i m x 8 3 d
inawgurati	i n a w g u r a t
indahal	i n d a h a l
indeċiż	i n d e i
indunajna	i d u n a x n a
indurat	i d u r a t
industrijalisti	u z i j a l i s t i
infasslu	i n y 7 l u
infaħħar	i n f a r a
infethu	i n f e t u
infettat	i n f e t
infila	i n f i l a
infurzata	i n f u r a t a
ingannati	i N a n a t i
inghad	i N h a
ingusta	i N u s t a
inizzjattiva	i n i z z y a t t i v a
inizzjattivi	i n i z z y a t t i b i
injuries	r o n o x u r i
inkarigu	m a r i x u
inkorporati	m i p o r a t
inpinġi	m a  i
inqajjem	i n q a
inqalgħu	i n q a l g u
inqumu	i n ky~ m u
inserrħu	s E r u
installata	s t a l l a t a
insteraq	s t E r a q
intbghatu	i n t b x a t u
intebħu	i n t e b u
intelqet	i n t e l E
intesa	i n t 3 s a
intlaqgħet	i n a q k
intlaqgħu	i n a k u
intraprendituri	i n t r a p r e n d i t u r i
inwieġeb	i n w k x
inxandru	i n a nd~ r u
inġinier	i n i i n i e r
inġiniera	i n i i e r a
inħalluh	i n a l l u
inħalluhom	u r t " u h o m
inħarġet	i n a r x
inħatru	i n a t r u
inħobbhom	i n o b i k o m
ipparteċipa	i p p i t e i p a
ippretenda	i p p r e t e n d a
ipproċessat	i p p r o e s
iridna	i r i d n a
irnexxa	i r S T T a
irregolarità	i r e g o l a r i t 7
irreparabbli	i r e p a r a b bl~ i
irrifjutat	i r fy~ u t a t
irrispondew	i r a  d i a
irziezet	i r  e z e t
irħis	i r i s
isarraf	i s a r a f
iserrah	i s E r o h
isibuh	s i b u
isptar	i s p t a r
issajjar	i s v u j a r
issirilhom	i s s i r i L o m
itik	i t i k
itineranti	i t i n e r a n t i
itlaq	i L a q
ivvotaw	i v v o t a w
iwaħħlu	i w a l u
iwebbes	i w o r b e sy~ s
ixxerred	i S f e r
izuru	i r u r u
izzur	i r z u r
iċedu	i e d u
iċċaqlaq	i a q l a q
iġedded	i x 8 3 d
iġġustifikat	i i i u s t i i S t i m a
iħaddimhom	i a d i m o m
iħammġu	i a m NG~ u
iżolata	i o l a t a
jafferma	y a f e r m a
jaghmillek	h a n a m i l l e k
jaghmilna	h a n a m e L n a n
jaghtix	h a n a t iT
jaghtuha	h a n a hy~ a a
jagħfsu	h 3 g g f s u
jahsbhom	y a 7 s b o m
jahsiba	y a 7 s i b a
jahtaf	y a k i a f
jahtfu	y a k i w u
jaħleb	y a l e
jaħtu	h a t u
jbaqbaq	h b a q b a q
jdejjaqni	n d e h a j a q l
jeffettwa	h e f e t t w a
jeliminaw	j e l i m i n a w
jeħduhom	h e d u h o m
jfahhar	h f a h a r
jfeġġ	h f NG~ i
jfittxuh	h f i t qy~
jgergru	h g e r g r u
jghozzu	h x o z z u
jghumu	h w u m u
jgħaddili	h g a d i l i
jgħajjtu	h g a t u
jgħallmuna	h g a ly~ m u n a
jgħammed	h g a m t
jgħasses	h g a s e
jgħassu	h g a s s u
jgħidux	h g i d u S
jgħinha	h Ng~ i h a
jgħinx	h i !
jhewden	h h e w d e n
jhobbna	h o b w n a
jibatli	h i b a L i
jibbukkjaw	h i b b a t u j a w
jibqu	h i b k
jiddejqux	h i d a j k 7
jiddentifika	h i d a e n t i f i k a
jiddispjacih	h i d i s p j a c i
jidfnu	h i d f n u
jidholx	h i d o l 7
jidħku	h i d k u
jieħux	h i e S
jifirxu	h i f i E b
jighdu	h i t d u
jikkalkulaw	h i k k a l e l a w
jikkonfermawh	h i k k o* f e r m a l
jikkonsla	h i k k o s l a
jikkonsolida	h i k k o s o l i d a
jikkontradixxi	h i k k o nt~ r a d i S x i
jikkonvertu	h i k k o* e r t u
jilqagħhom	h i l q o x o m
jilqax	h i l k a X
jilqgħek	h i l k k
jimita	h i m i t a
jimmarċjaw	h i m m a r j a w
jimmatura	h i m m a t u r a
jindaga	h i d a g a
jindokra	h i d o k r a
jingiebu	h i N a 5 a u
jinhatar	j i n a t a r
jinhelsu	h i h e l s u
jinnutaw	j i n 3
jintbaghat	h i t b a x a t
jintbghatu	h i t b x a t u
jintlibsu	j i n b s u
jintmess	h i t S
jintużawx	j i n t u a w S
jinvistaw	j i n i s t a w
jinġema	j i n x m a
jinħasel	j i n 3 s o
jinħażen	j i n a e n
jinħeles	j i n e l e
jinża	j i n a
jippresiedi	h i p p r e s i e d i
jipprevedi	h i p p b e b e d i
jipprivatizza	h i p p r i v a t i z c a
jipprofessaw	h i p p r o f i S s a w
jipprogetta	h i p p r o g e t t a
jipproklama	h i p p r o k l o m a
jipproċedi	h i p p r o e d i
jippuntaw	h i p p u n t a w
jiret	h i r
jirraprezenta	h i r a p r e z e nt~ a
jirsistu	h i r s i s t u
jisimgħuh	h i s i m gy~ i h
jissellfu	h i s e ly~ f u
jisserva	h i s e r v a
jissorveljaw	h i s s o r v e l o v e j a w
jissugraw	h i 7 e l a w
jistampa	h i s t a m p a
jistaqsini	h i s t a q s i n i
jistaqsuni	h i s t a q a n
jisthi	h i s t i
jistiednek	h i s t a o i k
jistimula	h i s t i m u l a
jistħarreġ	h i s t a r  i
jitfaw	h i t f a w
jitgħaxxaq	h i t g a T T a q
jitkaxkru	h i t k a T k r u
jitkaża	h i t k a
jitlaqqa	h i L a k " o a
jitmermer	h i t * a m e
jitnizzel	h i t n i z z e l
jitqabblu	h i t k mp~  l u
jitqieghed	h i t g w i e x 3 d
jitranġaw	h i   a w
jittradih	h i t tr~ a d i
jitwahhlu	h i t w a h L u
jitwemmen	h i t w e m e n
jitħaffef	h i t a f f f
jixba	h i S b a
jizen	h i z a n
jiġrilu	h i NG~ r e l e
jiżbaljaw	h i C i C j a w
jmaqdar	h m a q d a r
jmerih	h m e r i
joffendu	j o f e n d u
joffrulna	j o f r u L n a n
joghla	h t l a
johorgux	j o h o r g S
jolqtok	j o l k t o k
jonqosha	j o n pw~ o s a
joqodulna	j o x o d u L n a n
jqarrqu	h q o m i 7 r X u
jsawwar	h ph~ o n b u l w a r
jsebbaħ	h e b b a
jsejhulu	h sx~ e xe h u l u
jsejħilha	h sx~ e xe i L a
jurta	x u r t e
juruk	x u r
juzawh	x u z a l
jużawx	w a w S
jwasslek	z u l a w t a
jwaħħlu	fw~ a l u
jzejnu	h 8 t u
jġarrbu	h X i a r b u
jġedded	h x 8 3 d
jħabbru	y a b o* u
jħobbux	j o b 7
jħoll	j o l o
jżommx	j o m 7
kabbret	k a b o*
kadavri	k a d a b r i
kagun	k a g u n
kantanta	k a n t a nt~ a
kanun	k a n u n
kapaċita	k a p a i t a
kattiva	k a t t i v a
kawtela	k a w t e l a
kellimhom	k e ly~ i m o m
kellkom	k e l l k o m
kexxun	c " S u n
king	k i N
kirjiet	l
kitiblu	k i t i b l u
kkawżat	k b u k a w a t
kkontesta	k k o nt~ e s t a
kliemha	k l i e m a
kollass	q u L a s
kompetenzi	m i p e t e n z i
kompetittività	m i p e t i t t i b i t 7
komplessa	m i p l 3 s a
konkos	k o nk ~ o b
konsensus	q o n i k w o u s
konċentrat	k o n e n t r a t
konċessjonijiet	k o n e s cx~ o*  e
koordinament	k o r d i n a m E n t
koordinat	k o r d i n a t
koperta	k o p e r t e
koppi	k o p p i
korrezzjoni	k o r d z y a r o n i
korrispondenti	k o r a  d e n t i
korsi	k o r S i
kreattivita	k r E a t t i b i t a
kreaturi	k r E a t u r i
krejnijiet	k r E t e
kripta	k r i p t a
kugin	k u g r e i n
kulleġġ	k u l l e NG~ i
kullhadt	k u l u L a d
kumditajiet	k u m d i t a
kuncerti	k u n z i r t i
kunjomijiet	k u n j o m e
kunsidrat	k u n i d r a t
kuntrarja	k u n t r i j a
kuridur	k u r i d u r
kurċifiss	k u r i f i s
kustodju	k u s t o d o C u
laburist	l a b u r i s
laghab	o 8 a n a a b "
landa	l a n d a
language	l a N u a j
laqax	l a q a
laqgħuh	l a q gy~ i h
laqtuni	l a q t u n
late	l a t e
laxka	a g
lehinhom	l e h i n o m
lej	j
liberalizzazzjoni	b e r a l i z z l z y a r o n i
libertajiet	b e r t a
libsu	b s u
liezejt	l i e z d j
lin	l i n t u
liner	l i n 3 q
ll	l o
magic	m a g i k
magħmudija	m a h m u d i j a
mahluqa	m a L b a
mahzen	m a h z a n
mahzun	m a h z u n
maktur	k r u t a
mandix	m a n d i S
maniġer	n i x r
manuvra	m a n u  r a
maqtugha	m a q t u x a
maqtughin	m a q t u x i n
market	m a* r k e t
materjalment	m a t e r q  m E n t
mazz	m a z
mazzun	m a z z u n
maħlul	m a l u l
maħmuġin	m a m u X i a n
mdawwrin	m d a w r a n
mdemmija	l a b  m i j a
mdorrija	m d o r i j a
means	m e a*
mehudin	m e h u d i n
melh	m e l
merħla	m e r l a
metal	m e t a l
meters	m e t e r
mghammra	m x a m r a
mghandux	m x a nd~ u S
mgħotija	hwy$ o t i j a
mhejjija	m h e h j i j a
mibgħeda	m i b g e d a
mibnijin	m i b n i j i n
million	m i l l i o n
minghalih	m i N a l i
minghalija	m i N a l i j a
mirja	m i r j a
mishuta	m a S a S u t a
missirijiethom	m i s s i r e  o m
mistħarrġa	m i s t a r NG~ a
mistħi	m i s t i
mitfugh	m i t f u g w
mixlija	m i S l i j a
mmedjata	m  j a t a
mnebbħa	m i b b a
modifikati	m o d i f i k a t i
moghni	m o x n i
mohqrija	o* h e r i j a
molol	o l o l
moqżieża	m o x i e a
moħbijin	m o b i j i n
mpinġi	u k  i
mpressjonanti	p r e s cx~ o* n a n t i
mqiegħda	m g w i e g d a
mqiegħed	m g w i e g 3 d
msallbin	m s a ly~ b i n
msejkna	m sx~ e xe k n a
mtlew	m t r e w a
muġugħa	m u X i u g a
mħallas	m a l l a
mħarreġ	m a* r  i
mżewwaq	w e w a q
naffaċċjaw	n a f s u
naghmluhom	n a g hm~  o m
naghtikom	n a gh~ t i k o m
nagħaġ	n a g a i
nakkwista	n a k l a w s t a
naqilghu	n a q i l x u
narahx	n a r a h 7
narmi	n a r m i
nati	n a t i
natural	n a t u r a l
navvanzaw	n a b v a n c~ 3
ndenja	n a n j a
ndividwi	n t i v i d w i
ndunawx	d u n a w S
nduqu	d u k
nenfasizza	n e n f a s i z c a
nenfasizzaw	n e n f a s i z z a w
nersaq	n e r s a q
nestendu	n e s t e n d u
nevita	n e b i t a
newtralità	n e w tr~ a l i t 7
neħduha	n e d u h a
ngerger	g e r g e r
ngergru	g e r g r u
nghidilkhom	N i d i l o m
ngib	N u
ngiebu	N a 5 a u
ngħatajt	g a t a h
nibet	n i b e t
niddedikaw	n i d a  k a w
niddeskrivi	n i d a p i p 3 l 3 r i v i
niddikjara	n i d i k y a r a
niffaċilitaw	n i f a i l i t a w
nigenen	n i g 3 n e n
nighd	n E i t d
nigru	n i g r u
nikkontribwixxi	n i k k o nt~ b w i S x i
nikkumbattu	n i k sw~ i a t u a n
niktiblek	n i k t b r a
nilaghab	n i o 8 a n a a b "
nillimita	n i l l i m i t a
nilmħu	n i l m u
ninqabad	n i n q a b a d
nintilef	n i n t i l e f
nipprezentaw	pw~ p r e z e n t a w
nipreferi	n i p r e f e r i
nirrakkonta	n i r a k k o nt~ a
nismagħhom	n i S t o m
nissaħħu	n i 7 a u
nissieħbu	n i 7 a 5 a u
nistaqsihom	n i S th~ a q s i h o m
nistrieħu	n i s t r e e u
nixfet	n i S f e t
nixfu	n i S w u
nizlin	n i z l i n
niċċaqlaq	n i a q l a q
niċħdu	n i d u
njam	j a m
nkanta	Nk~ a nt~ a
nkejlu	k j l u
nkisbu	k i s b u
nkixfu	k i S w u
nnutaw	n 3
nobdi	n o b d i
nofsijiet	n o p C e
nofsillejl	n o p i l l E l
nominata	n o m i n a t a
nominazzjoni	n o m i n a z z y a r o n i
novizz	n o v i z
npoggu	n p o m u
nsegwih	s e gw~ i
nsellmu	s m u S m u
nsiefer	s i e f e r
nsistew	s i s t i a
nsolvu	s o l b u
nstabitx	s t a b i t 7
nstallat	s t a l l a t
ntbahtx	nt~ b a k i 7
ntegrali	t e g r a l i
ntlaqgħu	tL~ a nz~ i k u
ntrodott	t r o d o t
ntuzaw	t u z a w
nvestew	n v e s t i a
nvestigat	n v e s t i g a t
nwieġeb	l a n u i e x
nzul	cy~ u l
nħallas	n a l l a
nħobbok	n o b b o k
nħobbuh	n o b
obbligazzjonijiet	o b bl~ i g a z z y a r o* e
offensiva	o f k u b a
offrielu	o f r i e l u
ohtna	o h E t n a
okkażżjoni	o k k a x o n i
onestament	n e s t a m E n t
oranġjo	o r a  h o
orgni	u r g i E 5
over	o v e r i
pairing	p a i r i N
pajzana	p a h u k a n a
palm	p a l m
paragrafi	p a r a g r a f i
parametri	p a r a m E t r i
parliament	p a l i m E n t
parts	p e r t
pavaljun	p a v a l h u n
paċifika	p a i f i k a
pellegrin	p e l l e g r i n
pesta	p e S t a
petizzjonijiet	p e t i z z y a r o* e
pjacevoli	ph~ k a 5 i r a v o l i
pjanu	ph~ a n u
points	pw~ a c
popolarita	p o p o r a r i t a
portiku	p o r t i k u
posizzjoni	p o s i z z y a r o n i
posposta	p o s p o s t a
possibiltà	p o s s i b i l t 7
ppersegwitati	p p e r g w i t a t i
ppreparata	p p r e p a r a t a
pprovaw	p p r o w a w
ppublika	p p u b l i k a
practices	p r a k 7 o t i k m 3 s
prattikata	p r a t t i k a t a
preparata	p r e p a r a t a
preparatorju	p r e p a r a t o r C u
presedut	p r e s e d u t
prezentat	p r e z e n t a t
profil	p r o f i l
promotion	p r o m o t i o n 3
promotur	p r o m o t u r
proporzjonali	p r L o k z y a r o n a l i
prostituti	p r o s t i t u t i
proviżorja	p r o v i o r j a
provvediment	p r o w b e d i m E n t
psikologu	p i k o l o x u
pubblikatur	p u b b l k a t u r
pubblikaturi	p u b b l k a t u r i
pupa	p u p a
qabduh	q a b dw~
qacctu	q a k k t u
qallha	q a l l a
qaqoċċa	q a q o a
qedem	E b
qerd	E r d
qlubkom	q l u b k o m
qrat	q n a
qribu	q r i b u
qrun	q n u m
qtajna	q t a x n a
qtar	q t a r
rabba	r a b b a
rabbejt	r a b w j
rabbiet	r a b e k u e t
raising	r a i s i N
rajtom	r a h t o m
rappurtata	r a p p i r t a t a
records	r E c o r d
regolatorja	r E k o l a t o r j a
regularment	r e g u l a s a y m 3 n t
rekords	r e k o r d
remota	r E m o t a
restorant	r e s t o r a nt~
rezistenza	r a  s t e n z a
rgħajja	r g a a
ribelli	b e l l i
riceviment	r i C E g o y e n t
riedha	r i e d a
riedhom	r i e d o m
riferut	r i b u Ng~ e r u t
rifuġju	r i b u Ng~ o i C u
rikba	r i k b a
rikjesti	r i k o x e s t i
rilevanza	r i l e v a n c a
rimors	l i m o r
risorsi	r i S o r S i
rivelat	r i v e l a t
riċiklata	r i i k l o t a
road	r o a d
rounds	r o u n d
rovina	r o v i n a
