eta 	e t a
exekutatua	" e k u t a t u a
ezagupenak	d a g u b e n a k
ezinegon	n k a  i g o n
ezkatak	d k a t a k
ezkertiarrak	d k e r  a r a k
ezkongabea	d k o N a b e a
ezkontide	d k o nt~ i d e
ezkontidea	d k o nt~ i d e a
ezpainetan	d p a i N 3 t a n
ezponda	d p o n d a
eztabaidatuak	d t a b a i d a t u a k
fabrikazioan	f a b r i k a Z  o a n
faktorek	f a k t o r e k
faktorizazioa	f a k t o r i z a z i o a
fantastikoa	f a nt~ a s t i k a
fasearen	f a s u a r e
faseen	f a s e n
fasera	f a s E r a
federazioak	f e d e r a z i o a k
fenomenoaren	f e n o m e n o a r e
fenotipo	f e n o t 3 p o
ferus	f e r u s
festibal	f e S t i b a l
feudalaren	f o i d 3 a l a r e
fideltasuna	f i d e l t a s u n a
fikzioan	f i k L o a n
fikzioaren	f i k 5 o a r e
filial	b i l i a l
finkatua	f i n k a t u a
fisiologia	f i S i o l o g i a
fluxuak	f l u X u a k
formularen	f o r m u l a r e
foroaren	f o r o a r e
frantseseko	f r a nc~ o w k o
frantsesera	f r a nc~ o w r a
frantziskotarren	f r a n t a k o t a r
frekuentziak	f r e k u e n t a a k
frogen	f r o g 3 n
frontera	f r o n t E r a
fundatzaileetako	f u nd~ a c a i l a  k o
funtsik	f u n c i k
funtzionarioa	f u n t a o n a r i o a
gabon	g a b o n
gaiez	g a i e z
gainaldeko	g a i n a l d e k o
gairen	g a i r
gaitzesteko	g a i c 3 S t a k o
galtzerdi	g a l t r i ly~ d i
galtzerdiak	g a l t r i ly~ dy~ a k
ganberak	g a n k a k
garagardoaren	g a r a g a r bw~ a r e
garaienean	g a r a i i n i
garaikideko	g a r a i k i d e k o
garaipenean	g a r a i p e n e
garbiagoa	g a r  a  a
garbiko	g a r b i k o
garestiago	g a r e s t a
gariaren	g a r i a r e
garrantziagatik	g a r a n t a a g a t i k
garrasi	g a r a s i
garunera	g a r u n e r a
gatazkarik	g a t a z k a r i k
gatazketan	g a t a z k 3 t a n
gatzaga	g a c a g a
gazteegia	g a z % t e x i a
gaztelaniaren	g a z t e l a n i a r e
gehiagokoak	g e h i a g o k o a k
gelaren	g e l a r e
gelditzean	g e l d i c e
geldo	g e l d o
geltokietan	g e l t u 7 i 3 t a n
geralekua	g e r a l e k u a
geratutako	g e r a t u t a k o
gerrarekin	g e r a r e k i N
gerrarik	g e r a r i k
gertakariei	g e r k a r i e i
geruzatan	g e r u w Z a t a n
gezaren	g e z a r e
gibelean	q a i v e l e
gidariaren	g i d a r i a r e
gidoiaren	g i d o a r e
gingil	g i N i l
gira	g i r a
glaziarrak	g l a  a r a k
globalean	g l o b a l e
gluten	g p e r o k
goarnizio	g o a r n i L o
gogorrago	g o g o r ch~
goikoak	g o i k o a k
gonbidatua	g o* b i d a t u a
gorabeheratsua	g o r a b e h e r a c u a
goraldi	g o r a l d i
gordeleku	g o r d e l e k u
gorderik	g o r d e r i k
gorpuen	g o r p u e n
gorpuztu	g o r p u z t u
gorteetan	g o r t i 3 t a n
gotikoaren	g o t i k o a r e
gotortua	g o t o r t u a
goxo	g o g o
grabatzera	g r a b a c e r a
grabitatorioa	g r a b i t a t o r i o a
gramatikala	g r a m a t i k a l a
gramatikalak	g r a m a t i k a l a k
grekoz	g r e k o
greziarraren	g r a  a r a r e
greziera	g r a  e r a
guneko	g u n e k o
gurean	g u r e a n
guruinak	g i n a k
gutxiagok	g u 5 i* a g o k
haitzuloaren	h a i c  a r e
handientzat	h a n d i w o c a t
handietatik	h a n d i e t a t i k
handiren	h a n d i r
hanketako	h a n k e t a k o
harmaila	h a r m a i l a
harmailadi	h a r m a i l a d i
harmonikoak	h a r m q l o d a a k
harresiko	h a r  i k o
harresitik	h a r e s i t i k
harribitxiak	h a r b i 5 i* a k
harrobiak	h a r o b i a k
harrotasun	h a r o t a s u n
harrotasuna	h a r o t a s u n a
harteko	h a r t e k o
harturiko	h a r t u r i k o
hartzearekin	h a r c e a r e k i N
hartzekoak	h a r c Nw~ 3 a k
haserreak	h a s E r  a k
hastapen	h a s t a p e n
hastearekin	h a s t e a r e k i N
haurdunaldia	h a g o n a l d i a
hedakuntza	h e d a k u n c a
helburuko	h e l b u r u k o
helduaroan	h e l d u a r o a n
heroien	h e r o i e n
herrialdeetatik	h e r a l d E r e t a t i k
herrialdera	h e r a l d e r a
herrialdetara	h e r a l d e t a r a
herriarentzat	h e r a d e c a t
herrixkako	h e r i S m a k o k
hesiaren	h e s a r e
higikor	h i x i k o r
higikunde	h i x i k u n d e
hilabeterik	h i l a b e t e r i k
hildakoei	h i l d a k o e i
hilekoa	h i l e k o
hilerriko	h i l e r k o
hilkortasun	h i l k o r t a s u n
hiltzat	h i l c a t
hindu	h i n d u
hiribilduak	h i r i b i l d u a k
hiriguneetan	h i r i g u n i 3 t a n
historikoek	h i s t o r i k o k
hitzari	h i c a r i
hitzegiten	h i c e g i t e n
hitzordu	h i t z o r d u
hizkia	h i z k i a
hizkuntzekin	h i z k u n c e k i N
hobeagoa	h o b e a g o a
hoberenetakoa	h o b e r e n e t a k a
hodeian	h o d e i i a n
hodien	h o d e s i e n
homogeneoak	h o m o g 3 n 3 q o a k
hondarra	h o n r a
honez	h o n e z
horientzat	h o r c a t
hormek	h o r w i t a
hotelaren	h o t e l a r e
hotelean	h o t e l e
hotsen	h o c e n
hotzeko	h o c e k o
hurbilak	h u r b i l a k
hurbilpen	h u r  l p e n
hurbiltasun	h u r b i l t a s u n
hustua	h u s t u a
iada	i a d a
idazkeraren	i d a z k e r a r e
idazlerik	i d a z l e r i k
idazterakoan	i d a z t E r a k a
ideiekin	d e i e k i N
identifikatuta	d e n t i f i k a t u t a
identifikatuz	d e n t i f i k a t u s
identitateak	d e n t i t a t e a k
igarotzera	i N a r o c e r a
igerilekua	i g e r i l 3 k u a
igoeraren	l i m e r a r e
igortzea	i g o r c e a
iheslariak	i h e s  a k
ikasiz	i k a s i z
ikaskide	i k a s k i d e
ikaskideen	i k a s k i d e n
ikasleekin	i k a s l e m e k i N
ikastolaren	i k a s t o l a r e
ikerketekin	i k e r  e t e k i N
ikerlarien	i k e r l a r i e n
ikertuko	i k e r n a
ikuskizunean	i k u s k i z u n e
ikusteak	i k u s t e a k
ikutu	i k u t u
ilegabeak	i l e 7 a b e a k
ilunabarrean	i l u n a b a r d i
imajina	i m a j i n a
inbasioak	i n b a s i o a k
inbertsore	i n k c o r e
indartsuaren	i n d a r e c u a r e
independentearen	i n d e p e n d e n t e a r e
indibidualki	b i d u a l k i
infanteriaren	i n f a nt~ e r i a r e
infernu	i n f e r tn~ a
ingelesarekin	i N e l e s a r e k i N
inkubatzen	m u b a c e n
inorekin	i n o r e k i N
inposatzen	i n p o s a c e n
inpresio	i n p r e s i o
inpresioa	i n p r e s i o a
instalatzen	s t a l a c e n
instalazioaren	s t a l a z i o a r e
instalazioen	s t a l a z i o e n
instrumentuaren	s t r u m e n t u a r e
intelektualaren	i n t e l e k t u a l a r e
interaktiboa	i n t E r a k t i b o a
interesatuta	i n t e r e s a t u t a
internazionalean	i n t E r n a z i o n a l e
intimo	i n t i m o
iparraldearen	i p a r a l d e a r e
iparraldekoak	i p a r a l d Nw~ 3 a k
irabaztean	i r a b a z
irabazteaz	i r a b a z a z
iradokizunak	i r a d o k i z u n a k
iragankorrak	i r a g a n k o r a k
iragarriko	i r a g a r k o
irakiten	i r a k i t e n
iraultzaileek	i r a u l w i i l E k
iritsiera	i r i i e r a
ironiko	i r o n i k o
irratietan	i r a t i 3 t a n
irrikitan	i r k a m i
irudiarekin	i r u d i a r e k i N
irudikatuko	i r u d i k a t u k o
irudirik	i r u d i r i k
isabeldar	i s a b e l d a r
isiltasun	i s i l t a s u n
islada	i s d a d a
islamista	i s l a m i s t a
isolatzeko	i s o l a c e k o
isurialdean	i s u r i a l d e
itsatsi	t i a c i
itsatsitako	t i a c i t a k o
itxaropenarekin	C a r o p e d a r e k i N
itxaropenez	C a r o p e d e z
itxitako	C i t a k o
itzalean	i c a l e
itzalpean	i c a l p e a n
itzulezina	i c l e z i n a
itzulezinak	i c l e z i n a k
itzulpengintzan	i c u l p e N i nt~ n d r o
izaeran	i r o e r i
izendapenarekin	i z e n d a p e n a r e k i N
izotzetan	i t i c 3 t a n
iztai	i r t a i
jainkosen	y a i N kp~ i s e n
jaiotzetik	y a i o c e t i k
jaitsiz	y a i c i t e
jakitera	k i t E r a
jangela	h a n g e l a
jardunaren	h a r d u n a r e
jarreraren	y a r m e r a r e
jaulkitzen	y a u l k i c e n
jauntxoek	y a u n t S o k
jaurerria	y a u r E r i a
jaurtiketak	y a u r t i k e t a k
jaurtiz	y a u r t i z
jeinu	h e i n u
joa	j o a
jokalariari	j o k a l a r i a r i
jokaldia	j o k a l d i a
jotzaileak	j o c a i l e a k
jotzeaz	j o c e a z
jubilatu	x u b i l a t u
kaba	k a b a
kakaoa	k a k a o a
kalko	k a l o
kanpaiak	k a n p a i a k
kanpamentu	k a n p a m e n t u
kanporatuko	k a n p o r a t u k o
kantatzea	k a n t a c e a
kantuarekin	k a n t u a r e k i N
kapaz	k a p a z
kargatuta	k a r g a t u t a
kargugabetu	k a r g u g a b e t u
kariaz	a r i a z
kartzelako	k a r c e l a k o
kaskarra	k a s k a r a
kelvin	k e l v i n
kendua	k e nd~ i
kezkaturik	k e z k a t u r i k
kilometroak	k i l 3 e t r o a k
kiroldegian	l o l d e g i j a
klaneko	k l o n e k o
klasean	k l o s
klasikoetan	k l o i k o 3 t a n
klimatiko	k l i m a t i k o
kloruro	k l o r u r o
klubetan	k l u b 3 t a n
kobazuloak	k o b a z u l o a k
kobazuloetan	k o b a z u l u 3 t a n
kobratzeko	k o b r a c e k o
kodean	k o b
kognitiboaren	k o g i E 5 i t i b o a r e
koherente	k o h e r e n t e
kohesioa	k o h e s i o a
kolonialaren	k o l o n i a l a r e
kolonialismoaren	k o l o n i a l i s y a r e
koloniek	k o l o k
koloreek	k o l o r e k
komandantearen	k o m a n d a n t e a r e
kometen	m i e t e n
komunaren	m i u n a r e
komunikazioen	m i u n i k a Z  o e n
konbinatua	q o n i k b i n a t u a
konexiorik	q o n i k " i o r i k
konforme	q o n i k h m e
konplexuago	q o n i k p l e b a g o
konpositorea	q o n i k p o s i t o r e a
konprimitu	q o n i k p l i m i t u
konspirazio	q o n i k s p i r a L o
konta	k o nt~ a
kontakizunen	k o nt~ a k i z u n e n
kontraesana	k o nt~ r a e s a n a
kontran	k o nt~ r i
kontratatzeko	k o nt~ r a t a c e k o
kontrolatuko	k o nt~ r o l a t u k o
kontserba	k o nt~ a b e r b a
kontsumitzailea	k o nt~ a b i m i c a i l e a
koordinatzeko	k o r d i n a c e k o
korrosioa	k o r s i o a
kraterraren	k r a t e r a r e
kredituetan	k r E d i t u 3 t a n
kripta	k r i p t a
krisiari	k r i s i a r i
kristalen	k r i s t a l e n
kritikariak	k r i t i k a r i a k
kritikatzeko	k r i t i k a c e k o
kromatikoa	k r o m a t i k a
kuadrilla	k u a d r e l l a
kulturek	k u l t u r e k
kumeen	k u m e n
kurbatu	k u r b a t u
kutsatzeko	k u c a c e k o
laburrago	l a b u r a g o
laguntasuna	l a g u n t a s u n a
laikoa	l a i k a
langabezian	l a N a b e z i a n
larba	l a r b a
larreetan	l a r  3 t a n
larririk	l a r i r i k
larritasunaren	m a n i t a s u n a r e
larritu	m a n i t u
larruaren	m a n u a r e
larruz	m a n u
larunbatetan	l a r u nb~ a t e t a n
latentzia	l a t e n c i a
lauan	l a u a n
legamia	l E g a m i a
legealdi	l E g E a l d i
legealdian	l E g E a l dy~ a n
legebiltzarkide	l E g E m e l w i i d e
legeztatu	l E g E z t a t u
lehendakaritzarako	l e h e n d a k a r i c a r a k o
lehorraren	l e h o r a r e
lehortzeko	l e h o r c e k o
lekualdaketa	l E k E w E l d a N a k e t a
lekuetatik	l E k E 7 e t a t i k
lepoak	l e p o a k
leporantz	l e p o r a n c
liberako	b e r a k o
liberalismoa	b e r a l i s m o a
liburuari	l i b u r u a r i
likatsu	l k a c u
limite	l i m i t e
limurtzen	l i m u r c e n
liraina	l i l i n a
liskarren	l i s k a r
lista	l i s t a
litezkeen	t e z k e n
litzatekeelako	l i c a t e k e l a k o
lizentziapean	l i z e n t a a
lortzearen	l o r c e a r e
lotsagabe	l o c a g a b e
loturan	l o t u r a
lurperatuak	l u r p e r a t u a k
lurraldeek	l u r a l d e k
lurrazaletik	l u r l a l e t i k
lurrunketa	l u r a N kp~ i e t a
lursailaren	l u r s e i l a r e
luzatua	l u z a t u a
mac	m a C
mamua	m a m u a
mamuak	m a m u a k
manipulazioa	n i p u l a z i o a
margolariarekin	m a* r o l a r i a r e k i N
marineen	m a r i n e n
markarik	m a a r i k
markaturik	m a a t u r i k
markesaren	m a* r k e s a r e
matxista	m a 5 i* s t a
mausoleoa	m a u s o l e w a
meatzariak	m e a c a r i a k
mediatikoa	m e dy~ a t i k a
meditazio	m e d i t a L o
mekanikoki	m e k a n i k o k i
menditsuak	m e n d i c u a k
merkantziak	m e r  c  a k
merkataria	m e r k a t a r i a
merkatutik	m e a t u t i k
metabolikoak	m e t a b o l i k o a k
metroraino	m e t r o r a i n a m b a
metrotaraino	m e t r o t a r a i n o
mezularia	m d u l a r i a
mezularitza	m d u l a r i c a
miaketa	m e k e t a
migratzaileak	m i b o ch~ w i i l e a k
mikroorganismo	7 o r g a n i S m o
militantea	m i l i t a n t e a
militanteen	m i l i t a n t e n
mindu	m i n d u
mineraletan	m i n e r a l 3 t a n
mingotsa	m i N o c a
minimalista	m i n i m a l i s t a
mintegi	m i n t e g i
mintzak	m i n c a k
minutuak	m i n u t u a k
mitologiaren	m i t o l o g i a r e
moduen	m o d u e n
moduetan	m o d u 3 t a n
molekularraren	o l l o t e l a r a r e
momentuaren	m o p i N t u a r e
monarkiko	m o n a r k i k o
monasteriora	m o n a s t E r i o r a
mongolen	o n g o l e n
morfologikoa	m o r f o l o g i k a
motoreak	m u t u r e a k
muerte	m u e r t e
mugatuz	m u g a t u s
munta	m u n t a
mural	m u r a l
musikarik	s i k a r i k
my	m 3
nabarmenduko	n a b a r m e n d u k o
nabigagarria	n a b i g a g a r i a
nagusiaz	n a g s u
nahastuko	n a h a s t u k o
narrazioaren	n a r a z i o a r e
naturalez	n a t u r a l e z
naturaltasuna	n a t u r a l t a s u n a
nauzu	n a u z u
nazionaletan	n a z i o n a l 3 t a n
nazionalizatu	n a z i o n a l i z a t u
negoziazioa	n e g o  a z i o a
neguaren	n e g u a r e
nekropoli	n e k o p o r i
neskatila	n e s k a t i l a
neure	n e u r e
neurriko	n e u r k o
neurtuko	n e u r n a
nintzenean	n i n c i n i
niretzat	n i r e c a t
nomenklatura	n o m e Nkw$ l a t u r a
norabideko	n o r a b i d e k o
norbanakoek	n o r b a n a k i k
normandiar	n o r m a nd~ i a r
nostalgia	n o s t a l g i a
obalatuak	o b a l a t u a k
obretako	o o*  k o
obsesioa	o b o i o a
ofrenda	o f r e n d a
ohera	h e r a
ohiek	o k
oihukatu	o g u k a t u
oilarra	o i l a r a
oilo	o i l o
oinarrietako	o i N r e t a k o
oinezkoak	o i N d * a w a k
oinezkoen	o i N d k o e n
okela	o k e l a
ondorengorik	d o r e N o r i k
ondorioetako	d o r i o e t a k o
ondoriorik	d o r i o r i k
ontziratu	o c i r a t u
oposizioan	L o k i t e  o a n
oraintsu	o r a i nc~ u
orbitala	u r b i t a l a
ordainsari	u r d a nsw$ i a r i
ordenari	u r d e n a r i
ordenatutako	u r d e n a t u t a k o
ordezkaririk	u r d d k a r i r i k
ordurarteko	u r d u r i t e k o
originalean	u r i g i l e*
oroigarria	o r o i g a r i a
oroimenak	o r o i m E n a k
orokorrik	o r o k o r i
orrialdeetan	u r a l d e 3 t a n
orriko	u r k o
osmotikoa	o s m o t i k a
osokoak	o s o k o a k
ospatuz	o s p a t u s
ospitaletik	o s p i t a l e t i k
ostalari	o s t a l a r i
ostalaritza	o s t a l a r i c a
oxidoak	o X i d o a k
oxigenoak	o* x e n o a k
paisaien	p a i s a i e n
paketatze	p a k e t a c e
pankarta	p a n k i t a
panorama	p a n o r a m a
paregabeak	p a r e g a b e a k
parrokiaren	p e r o k i a r e
parrokiatan	p e r o k i a t a n
partekatutako	p e r t e k a t u t a k o
pasealekuan	p a s u a l e k u a n
patioan	p a t i o a n
patruila	p a t r u i l a
pausu	p a u s u
pedagogikoak	p E d a g o g i k o a k
pena	p e n a
penintsulatik	p e d i n c u l a t i k
perretxiko	p e r  5 i* k o
pertsiarren	p e r c i a r
pertsonalarekin	p e r c o n a l a r e k i N
pertsonalari	p e r c o n a l a r i
pertsonalitate	p e r c o n a l i t a t e
pilastra	p i l a s t r a
pilatuta	p i l a t u t a
pilatuz	p i l a t u s
pistan	p i s t a n
pistaren	p i s t a r e
pistoi	p i s t o i
pitzadurak	p i c a d u r a
planoaren	p l a y i n o a r e
planteamendua	p l a y i n t e a m e nd~ i
platino	p l a y i t i n o
plazerra	p l a y i r i ly~ r a
poemek	p o E m E k
polimerasak	p o l i * a s a k
politikarekin	p o l i t i k a r e k i N
poloa	p o l o a
poniaren	p o n i a r e
populista	p o p u l i s t a
porrokatua	p o r r a t u a
portaeran	p o r t a e r i
portugesa	p o r t u g 3 s a
posizioen	p o s i L o e n
praktikara	p r a k t i k a r a
prestakuntzaren	p r e s t a k u n w i
prestatuz	p r e s t a t u s
primitibo	p l i m i t i b o
probintziek	p l o b i t a k
programatzen	p r o g r a m a c e n
programek	p r o b o ch~ w i t a
propiorik	p r o p i o k i
proposamenaren	p r o p o s a m E n a r e
proposamenari	p r o p o s a m E n a r i
protestan	p r o t e s t a n
protestetan	p r o t e s t i 3 t a n
prozesamenduan	p r o z e s a m i w u s
psikiko	p i k i k o
publikoarekin	p u b l i k o a r e k i N
puntual	p u n t u a l
puntuz	p u n t u s
puztu	p u z t u
robotak	r o b o t a k
sagardo	s a g a r d o
sahiesteko	s a e s t a k o
sailkaturik	s a a l k a t u r i k
saiotan	s e i o t a n
sakabanaketa	k a b a n a k e t a
sakabanatzen	k a b a n a c e n
salbatuz	s a l b a t u s
saltzaileek	s a l w i i l E k
sartzearekin	s i t 8 a r e k i N
sartzerakoan	s i t r i ly~ a k a
satiriko	s a t i r i k o
segidak	s e N i d a k
segurtasunik	s e g u r t a s u n i k
sekretuaren	s a q r e t u a r e
sektoreari	s a q t o r e a r i
sendia	s e n d i a
sentsazioak	s e nt~ a b a z i o a k
sindikal	s i n d i k a l
siziliar	s i z i l i a r
sofistikatua	s o f i s t i k a t u a
soinean	s o i N u
soinuarekin	s o i n u a r e k i N
soldaduz	s o l d a d u
sorlekua	s o r l e k u a
sortzaileetariko	s o r w i i l a  a r i k o
soziologiko	S o z i o l o g i k o
soziologo	S o z i o l o g o
spin	s p i n
suizidioa	s u i  dy~ o a
taktiko	t a k t i k o
taldearena	t a l d e a r e n a
taldekidea	t a l d e k i d e a
tamainakoak	t a m a i n a k i a k
taupada	t a u p a d a
taxoi	t a g i
teilak	t e i l a k
teilatuko	t e i l a t u k o
teilatupeko	t e i l a t u p e k o
teknologikoaren	t a k n o l o g i k o a r e
teknologikoki	t a k n o l o g i k o k i
teleskopioak	t e l e s k o p i o k a k
tenperaturarik	t e n p e r a t u r a r i k
testigu	t e s t i x u
tigrea	t i g r e a
time	t i
tirania	t i r a n i a
tiroketak	t u r o k e t a k
tituluaren	t i t u l u a r e
tokietara	t u 7 i e t a r a
tokiren	t u 7 i r
toles	t o l e
tonuak	t o n u a k
top	t o p
toxikotasun	t o S i k o t a s u n
toxikotasuna	t o S i k o t a s u n a
trabarik	tr~ a b a r i k
tradizionalarekin	i t r i w L o n a l a r e k i N
trakzioa	t r a k 5 o a
tranbiak	tr~ a a k
trenbideko	w a m i n b i d e k o
tresnekin	t r e s n e k i N
triangeluar	t r i a N E l u a r
tumoreak	t u m o r e a k
turistentzako	t u r i S t a n c a k o
txalupak	T a l u p a k
txango	T a Ng~ o
txangoak	T a N o a k
txertatzea	T e r t a c e a
txikiagotu	T i k i a g o t u
txikiari	T i k i a r i
txikiegia	C q i e g i a
txikira	C q i r a
txistua	T i s t u a
ubideak	u b i d e a k
udalerriek	u d a l e r k
udarako	u d a r a k o
uhartedia	a h a r  a
uhartetxo	a h i t e t g o
ukipen	u k i p e n
ukituz	u k i t u s
unibertsitateetako	u n i b e r c i t a t i 3 t a k o
unibertsoak	u n i b e r c u a k
upel	u p e l
urbanoa	u r b a n o a
urdailaren	g o i l a r e
urratsetan	u r a c 3 t a n
urrutira	u r t i r a
urtarrak	u r t a r a k
urteotako	u r t e o t a k o
usainik	u s e i n i k
usten	u s t e i n
uztaileko	u z t a i l e k o
uztearen	u z a r e
xaboia	S a b o i a
zabaldurik	z a b a l d u r i k
zabalerako	z a b a l e r a k o
zabalgune	z a b a l k i n e
zahartze	z a h a r e c e
zahartzea	z a h a r e c e a
zaienean	z a o N u
zailena	z a i l e n a
zaindutako	z a i d u t a k o
zainetan	z a i n e t a n
zaintzaile	z a i N w i l
zaitut	z a i t u t
zakilaren	z a k i l a r e
zarete	z a r e t e
zatekeen	z a t e k e n
zebiltzala	z e  l w i c
zegokien	z e g o k i e n
zeharkatzean	z e h a a t 8
zehatzek	z e h a c k
zehaztapena	z e tr~ u ndr$ t a p e n a
zehaztasunak	z e tr~ u ndr$ t a s u n a k
zelaira	z e l a i r a
zelten	z e l t e n
zentroaren	z e n t r o a r e
zentzumenak	z e n t z u m e n a k
zerbitzariari	z e r b i E c a r i a r i
zerbitzurako	z e r b i E c u r a k o
zerbitzurik	z e r b i E c i
zerealen	z e r e a l e n
zeremoniala	z e r a m o* i a l a
zeresan	z e r e s a n
zeritzona	z e r i k z o n a
zerrendetako	z e r  d e t a k o
zibilari	z i b i l a r i
zifratzeko	z i f r a c e k o
zigarro	z i g a r o
zigorren	z i g o r
zikin	z i k i n
zinemetan	5 m m 3 t a n
zirkua	z i r u
zirkulua	z i r nt~ u g u n a
zitala	z i t a l a
zituztenek	z i t u z i i k
zitzaidan	z i c a i d a n
zitzaionez	z i c a i o n e z
ziurgabetasun	z i u r g a b e t a s u n
zoladura	z o l a d u r a
zoruaren	z o r u a r e
zuenari	z u e n a r i
zundaren	z u n d a r e
zuntza	z i c  a
zuntzezko	z i c  d k o
zurbil	m a g o b i l
zurrunbilo	m a g o r u nb~ i l o
Abadiaren	b a d i a r e
Abe	b e
Aberria	b E r i a
Adan	d a n
Adierazi	d i e r a z i
Adreilu	d r e i l u
Agatokles	g a t o k l e
Agatoklesen	g a t o k l e s e n
Aginaga	g i n a g a
Aginduak	g i d u a k
Agrigentoko	g x e n t o k o
Agustinek	g u s t i i k
Aintzirak	i n c i r a
Aizkorri	i r k o r i
Akira	k i r a
Akta	k t a
Alabak	l a w a
Albo	l b o
Alcalá	l k a l a
Alemaniarrak	l E m a n i a r a k
Alexandria	l E a nd~ r i a
Alexandroren	l E a ndr$ u r e n
Alliance	ly~ i a*  e
Amalia	m a l i a
Amentu	m e n t u
Amonen	m o n e n
Andersonek	d i n s o i k
Angus	N u s
Aniztasun	n i z t a s u n
Antzezle	nt~ 8 3 z l e
Antzinaroko	n c i n a r o k o
Aparatu	p a r a t u
Aplikazioak	p l i k a Z  o a k
Arabiarren	r a b i a r
Aragón	r a g o n
Arantxa	r a nt~ a
Arias	r i a s
Arkuaren	r k u a r e
Arro	o r o
Arrondissement	r u k a n dr~ i 7 E m E n t
Arroyo	r o y o
Artisten	r t i s t e i n
Askearen	s k e a r e
Aski	s k i
Astebete	s t e b e t e
Asterixek	S t E r e k
Ateneak	t e n e a k
Aurelio	u r E l i o
Austriaren	u s t r e a r e
Autoa	u t o a
Away	w a y
Azokan	z o k a n
Baba	a b a
Bach	a c
Badakigu	a d a k i x u
Baditu	a d i t u
Bakarlari	a k a l a r i
Bakoitza	a k o i c a
Balmaseda	a l s e d a 7
Bang	a N
Banu	a n u
Barañaingo	a r a 5 a i Ng~ o
Barnealdeko	a X n a q e a l d e k o
Baselizaren	a s e l i z a r e
Batak	a t a k
Batik	a t i k
Batxilergoko	a 5 i* l e r g o k o
Baztan	a z t a n
Baztango	a z t a n g o
Beasainen	e a s e i n e n
Beaumont	E w e m o n s
Begirada	E k i r a d a
Begoñako	g w a k o
Behaketa	e h a k e t a
Behatoki	e h a t o k i
Behatokia	e h a t o k i a
Belarri	e l a r i
Belgikak	e l g d a m a k o u
Beltzak	e l c a k
Berarentzat	i d a d e c a t
Bermeon	e r m e 7 o n
Bernardino	E a n a r Z u
Berrehun	E r e h u n
Betiereko	e t i e r e k o
Bielorrusiako	i e l o r s u k o
Biltzarrean	i l w i d i
Bird	i r d
Birjinari	i r j i n a r i
Biziaren	u  a r e
Blanc	l a n k o
Blind	l i n d
Boletín	o l e t i
Borboi	u r b o i
Born	u r n
Brandon	r a n d o n
Burgosen	u r g o s e n
Buztan	u z t a n
Calvin	a l v i n
Can	a n
Cano	a n o
Capital	a p i t a l
Caracasko	a r a k a s k o
Chao	h a o
Che	e
China	h i n a
Choice	h o i k e
Chrysler	h hy~ w t a r
Church	h u r
Clive	l i v E
Collegeko	o l l E g E k o
Conrad	o r a d
Coruñako	u r u 5 a k o
Dafne	a f n e
Damian	a m i a n
Davies	a g o y m 3 s
Dawn	u n
Dei	e i
Dekretua	e k r e t u a
Demokratiko	e m o k r a t i k o
Demokratikoaren	e m o k r a t i k o a r e
Den	e n
Descartes	e s k i t e
Deustu	u s t u
Development	u s k u a m E n t
Diogenesek	i o g e n e s a q
Diputazioak	i p u t a z i o a k
Diputazioaren	i p u t a z i o a r e
Diskoan	i s k a
Disneyren	i s n e y r e n
Division	i v i s i o n
Domingoko	o m i N o k o
Donato	o n a t o
Doppler	o p p l e r
Dorothea	o r o t h e a
Drag	r a g
Duncan	u n k a n
Edinburgoko	d i nb~ u r g o k o
Edmond	d m o n d a
Edmund	d nd~
Egiazko	g i a z d k o
Eginkizun	g i n k i z u n
Egiptoar	g i p t o a r
Egiptoarrek	g i p t o a r k
Egunsentian	g u n e n t i a n
Ekonomian	q o n o m i a n
Ekuador	k u a d o r
Electric	l e k tr~ i k
Elektronika	l E k E t r o n i k a
Elezaharrak	l e z a h a r a k
Elgoibarko	l g o i b a r X u
Elgoibarren	l g o i b a r
Elikagaiak	l k a g a i a k
Elizalde	l i r o l d e
Ella	L a
Els	d
Emakumeentzako	k u m e n c a k o
Emanaldi	m a n a l d i
Emmy	m
Erabiltzaileen	r a b i l w i i l e n
Eraikinen	r a i k i n e n
Erasmo	r a s m o
Ered	r e d
Erein	r e i n
Erich	r i C
Erkidego	r k i d e g o
Erramun	r a m u n
Errealismo	r  a l i s m o
Erregional	r e g i o n a l
Erreinu	r a i n u
Erresonantzia	r e s o n a c i a
Erret	r
Erromari	r u m a r i
Erromatik	r u m o t i k
Erronka	r u k a y a
Ertaineko	r t a i n e k o
Eskaintza	s k a i N c a
Esklabotza	s k l o b o c a
Eskoziak	s k o  a k
Eskualdeak	s k w E l d a N e a k
Espainiarren	s p a i a r
Espedizioak	s p e d i 5 o a k
Espezialista	s p a  a l i s t a
Etimologikoki	t i m o l o g i k o k i
Etxerako	T e r a k o
Eu	u
Eulalia	u l a l i a
Euskalterm	u s k a l t E r m
Euskaltzain	u s k a l w i i n
Ezkerra	z k e r a
Eztanda	z t a n d a
Facebook	a k r o k
Fair	i r
Fama	a m a
Fatima	a t i m a
Fauna	a u n a
Figura	i g u r a
Filipok	i l i p o k
Filologian	i l o l o g i j a
Filosofian	i l o s o f i a n
Final	i n a l
Fluxu	l o C u
Folk	o l
Fordek	u r b
Fortuna	u r t u n a
Four	o u r
Frankfurteko	r a n k f u r t e k o
Frantsesen	r a nc~ o w o
