an 	a n
Klimakiller	l i m a k i l l e r
Klimateam	b u r a i a m
Klimawiëssel	l i m a w i e s e l
Kluge	g e
Knuppen	n u p p e n
Kockelscheuer	T n z a g u r s C o i a
Kokosnoss	o k o s Ng ~ o n o 8
Kolesnikowa	o l e s n i k o w a
Kollektivitéit	o l l e k t i b i t e i t
Komedien	 e n
Kommissiounschef	o m m i s s i o u n S E f
Kompakt	p a k
Komplizen	i m p l i z a n
Komplizéiert	i m p l i z E i e r
Kompromëssbereetschaft	i m p r o m E 7 k e c C a f
Konfessiounen	o f e s s i o u n e n
Konfliktparteien	o f l i k t p i t e i e n
Konkurrentin	o k u r  t i n
Konsolidéierung	o s o l i d e i e r u N
Kontaktpersoune	o* t a k t p e r s o u n e
Kontroverse	o tr~ u e r s e
Konventionell	o f e n t i o n 3 "
Konzentratioune	n z e n t r a t i o u n e
Konzeptalbum	n z e p t a l b u m
Koplëscht	o p l e s t
Kopstal	o p s t a l
Kor	o r
Koreakrich	o r e a k i cy~
Kos	o s
Kosslick	o s l i k
Krappert	r a p p e r
Kreditkaarten	r e d i t t a m t e n
Krichsveteran	r i C s b e t e r i
Kriibsen	r i b e n
Kräfteverhältnisser	r 3 f e r ph~ 3  l t n i 7 e r
Kräische	r 3 i s C e
Krämer	r 3 m e r
Kuele	u e l e
Kugelstoussen	t u g e l s t o u s e n
Kuken	u k e n
Kulturassisen	u l t u r a s s i s e n
Kulturchronik	u l t u r C r o n i k
Kulturgidder	u l t u r g i d a r
Kulturgutt	u l t u r g u t
Kurven	u r b e n
Kusch	S
Kutten	u t
Kvitova	v i t o w a
Kwiatkowski	w i a t k o w u r
Kylie	y l i e
Käer	3 e r
Käp	3 p
Käreuropa	3 r e u r o p a
Kënschtlerresidenz	3 n S t l E r  i d e n z
LEDen	e n
Laaschent	a s o t a C e n
Lafband	a f b a nd~
Lagen	a g 3 n
Laika	i k a
Lalux	a l u S
Lamborghini	a m b o r x i n i
Lambrecht	a m b r e t
Lancia	5 u k a i a
LandRover	a n d o v e r i
Landgemengen	a nd~ b i g o e n g 3 n
Landkrees	a nd~ k h r e s
Landminnen	a nd~ m i n n e n
Landschaftsfotografie	a nd~ S a f c f o t o g r a f i e
Lapko	a p k o
Lapsus	a p u s
Laugs	a g i n u
Laune	a u n e
Laureate	a u r e a t e
Laus	a u s
Lautstäerkt	a u c o e N E a X
Lavrov	a b r o N
Lawin	a w i n
Lec	e k
Leeschtungsdrock	e S t u N s t
Leeschtungsspëtzten	e S t u N 7 a p i c t e n
Leetem	e th~ E m
Leetzëns	e c 3 n
Legendary	g e n d a r e
Legende	g e n d e
Legends	g e n d
Leitunge	e i t u N a
Lektüre	e k m a n t
Lemgo	e m g o
Leonie	e o n i e
Lethargie	e t a r g i e
Leuven	u b e n
Liane	i a n e
Lidl	d
Lieblingsmotiver	i e b l i N s m o t i v e r i
Lieserbréiwer	e s E r o* e w e r
Lieweg	i e w e
Liewegen	i e w e g 3 n
Lieweges	i e w e
Liewensmettelsecherheet	i e w e s m e t t e l e 5  h i*
Liewensmëtteloffäll	i e w e s m 3 t e l o f 3 l o
Liewensowend	i e w e Th~ o w e n
Liewensëmstänn	i e e n o m s t 3 n n
Lightbulb	i t  l
Lightning	i t  n i N
Liichttherapie	i C t th~ e r a p i e
Lilly	i ly~
Lilyblad	i l y b l a d
Limitatioune	i m i t a t i o u n e
Lindenberg	i n d e n p l a y
Lindgren	i n d g r e n
Lit	i t
Literaten	i t E r a t e n
Literaturfestival	i t E r a t u r f i S t i w a l
Litigen	i t i g 3 n
Littéraire	i t t a r o a i r
Liveticker	i v e t i S k a r
Locatif	o k a t i f
Lodyss	o d
Loeb	o e
Logementskommissioun	o g i E m E n c k o m m i s s i o u n
Loiseau	w a z o
Lokalgeschicht	o k a l g 3 s C i t
Longe	o n g e
Looking	o k i N
Losse	o s s e
Lot	o t
Lounen	o u n e n
Lounofhängegen	o u n o p h 3 N E g E n
Lucinda	u C i n d a
Luxemburgischen	u " e a m b u l Ng~ i S E N
Lycee	y C e r i
Lämmy	3 m
Lännermatcher	a* d n e r m a Ch~ i  e r
Léi	e i
Léiermethoden	e i e s a y m 3 t h o d e n
Léiwinnen	e i % n e n
Lénke	ky~ k e
Lénkshänner	ky~ k S a* d n 3 q
Léonie	e o n i e
Lëften	3 f t e n
Lëtzeburg	3 c e b u l
Lübeck	3 b e k
Lück	i k a r
Lüster	3 s t e r e n
Maartleit	a r L e i t
Macan	a k a n
Maka	a k a
Mal	a l
Malawi	a l a w i
Mancini	5 u k a i n i
Mandataire	a n t a i r
Manege	a n e g e
Mannschaften	a n ns~ C a f t e n
Marimba	a r i m b a
Marinade	a r i n a d e
Marionetten	a r i o n e t
Markéiert	a r k e i e r
Marteria	i t E r i a
Martha	a r t a
Marville	a r v i l l e
Maserati	a s E r a t
Massdéiner	n i d a e i n 3 q
Masson	a s o*
Matstreider	a t u z i i d e r
Matthäus	a t t a 3 u s
Mausklick	a u s k l i k
Medezinesche	p i e d n k a  e s C e
Medezinsstudenten	p i e d d nsw$ i t u d e n t e n
Medienerzéiung	 o N u L e i u N
Medina	e d i n a
Meesebuerger	e o bw~ a  g e r
Meih	e i
Melania	e l a n i a
Meld	e l d
Melina	e l i n a
Meloun	e l a u n
Melting	e l t i N
Membran	e m b a r i
Membranen	e m b a r a n e n
Menager	e n a g a r
Mendelssohn	e n d e l 7 o h E 5
Meneghetti	i n i g h e t i
Mentalitéitswandel	e n t a l i t e i sy~ a nd~
Mention	e n t i o n 3
Menüe	e n 3 e
Mertz	e r c
Meteorologie	e t e o r o l o g i e
Mettegiessen	e t g e s e n
Meute	u t e
Michele	i l a g u r r
Mies	i e
Milben	i l b e n
Militant	i l i t a nt~
Militante	i l i t a n t e
Military	i l i t a r
Militärausgaben	i l i t 3 r a r u s g a b e n
Militäresch	i l i t 3 r e S
Militärmusée	i l i t 3 r s a j
Milk	i l
Millau	i l l a u
Milliliter	i ly~ i l i t e r e n
Minaj	i n a x
Mindeststandarden	i n a s t a n r d e n
Mineralwaasser	i n e r a l w a n i e r
Miniatur	i n i a t u r
Minuttentakt	i n u t t e n t a k
Mitch	i t
Mitterrand	i t t u r xy~ E r a n d
Mobilitéitsproblem	o b i l i t e i s p l o b l 3 m
Moderatoren	o d e r a t o r e n
Momentum	e n t u m
Monika	q o n i k a
Monn	o n
Monopolstellung	n o p o r s t e l l l u N
Montagne	o* t a j
Moreira	o r e i r a
Mosul	o s e l
Mota	o t a
Motown	k o t o w n
Moyenë	o y e n E
Mozzarella	o z z a r e y a
Mraz	r a z
Mubarak	u b a r a
Muechtwiessel	k i k " t w k 7
Muir	k i r
Mullendorf	u l l e n d o r f
Multiple	u l t e p l e
Munchereen	u n C i h e r e n
Murder	g o a r
Musekbusiness	u s Nw~ s i n e s
Museksprojet	u s e k s p t o n o x e t
Museksvideoen	u s e k s i b o e n
Musikantinnen	s k a n t i n n e n
Musikverein	s k e r e i n
Musizéieren	s u z E i e r e n
Muslimen	u s l i m e n
Mustafa	u s t a f a n a
Mutiny	u t i N
Muttergottesoktav	u t t e r g o t t e s o k t a
Mysterium	y s t E r i u m
M²	a
Médecine	e d e k i n e
Méiroboter	e i l o b o t e r i s
Ménage	i n a g e
Mëmberen	3 m b e r e n
Mënscherechtler	3 n s S e r a C L e r
Mënscherechtsorganisatioune	3 n s S e r a C c o r g a n i s a t i o u n e
Mëssbräich	e s o* 3 i C
Mësstrauensvote	e s u z a u e s v o t e
Mëtteldeel	3 t e l d i e l
Mëttelkonsol	3 t e l k o s o l
Mëttellinn	3 t e l a s i n
Mëttelstandsministère	3 t e l s t a nd~ s m i n i S th~ e
Mëttelstreckerakéiten	3 t e l u z i C k e r a k e i t e n
Natierlechkeet	a t a o r l e C k a
Nationalsozialisten	a t i o n a l s o z i a l i s t e i n
Naturfoto	a t u r f o t o
Naturfuerscher	a t u r pw~ e r S E r
Naturschoul	a t u r S o u l
Navarro	a b a r o
Navigatiounssystem	a b i g a t i o u n 7 y s t e m
Navy	a b
Necessitéit	e T 3 s a a  i t
Neizäit	e i z 3 i t
Nepper	a p p e r
Neutral	u tr~ a l
Neveuen	u s k u e n
Newcomerin	e w k o p i n i n
Newsletteren	e w w t a b 3 t E r E n
Nichols	i C o l
Niddreglounsecteur	i d r e g l o u n e n i u r
Niere	i e r e
Nierwend	i e r w e n
Nierwt	i e r w
Niewestroossen	i e w e s t r o s e n
Nightlife	i t  l i f e
Ninja	y i n j a
Nishikori	i s i k o r i
Noa	o a
Nodems	o d e m
Nominéierungen	i n e i e r u N 3 n
Nonumm	n u m m
Nordic	u r d i k
Nordstadlycée	u r d  d a 7 t a d ly~ k a j
Normalen	o r m a l e n
Normales	o r m a l e
Norton	u r t o n
Notizblock	o t i z bl~ u k
Nottingham	o t t i N h a m
Notéiert	o t e i e r
Noutfalls	o u t y L
Noutstandsgesetzer	o u c t a nd~ s g 3 s e t 8 e
Noutwenneg	o u t w 3 n i
Noutwier	o u t w i e r
Nowitzki	o w i c k i
Nuetsopnahmen	k i k " c o p n a mw~ e n
Nuklearofkommes	u k l e a r o f k o m 8 i m 3 s
Nullronn	u L r o n n
Numan	u m a n
Nursing	u r s i N
Objectiver	by~ E C  Ng~ e r e n
Obligatoresch	b l i g a t o r e S
Obschons	b S o* s
Ocon	k o n
Octavia	k t a b i a
Offerte	f e r t e
Oflehnung	f l e h n u N
Ofrëss	f r e s
Ofstëmmungen	f s t 3 m u N 3 n
Okkupatioun	k  c h a i o u n
Oleg	l e g
Oligarchen	l i g a l l a g n
Oliven	l i v e n
Olympiagewënner	ly~ f u k o g e w 3 n n 3 q
Olympiastadion	ly~ f u k a s t a d i o n
Onbedingt	n b e d i N
OneDrive	n e r i v E
Ongewëssheeten	g e w e s a S i
Ongonschte	5 u n u  S t e
Ono	n o
Onschaerft	s C a e r f
Onverständlech	n e r s t 3 nd~ l E C
Oostende	o s t e n d e
Openthaltsgenehmegung	p e n l o c g e n e h m E g u N
Opféierunge	p o f o k i e r u N a
Opgewuess	p g e u e s
Ophiewe	ph~ i e w e
Opkaf	p k a f
Opleisung	p l e i s u N
Oppositions	p p o s i t i o* s
Opriichten	p r i C t e n
Opstänn	p s t 3 n n
Optimum	p t i m u m
Orchestere	r x 3 S t E r e
Orientatiounen	r i e n t a t i o u n e n
Originalfoto	x i n a l f o t o
Originaltitel	x i n a l t i t e l
Originalzoustand	x i n a l z o u s t a nd~
Origins	x nsw$ i
Orthopédie	r t o p e d i e
Ouschteree	S t E r e
Owen	w e n
Pacs	a k s
Pages	y m 3 s
Paiement	a y E m E n t
Panech	i C
Pannespur	a n n e s p u r
Panthers	a nt~  r
Paradigma	a r a d i g i m a
Parblat	a r bl~ a t
Parechoc	a r e C o k
Parentale	a r e n t a l e
Parsifal	a r S i f a l
Parteifrënd	i t e i f r 3 n d
Parteikollegin	i t e i k o l l e g i n
Parteileedung	i t e i l e n d u N
Parties	i t a o s
Partnere	i t n e r e
Pas	a s
Passe	n i e
Passus	n i u s
Pastis	a s t i s
Patientinnen	a t i E n t i n n e n
Patronatsverbänn	a t r o n a x e r b 3 n n
Pau	a u
Pavement	E b e m E n t
Pawel	a w e l
Pax	a X
Payementer	a y i p i N t e r
Paz	a z
PeM	e
Pedagog	e d a
Pediatrie	 a t r 3 i e
Peeling	e l i N
Peffermill	e f e r m i l
Penn	e n n
Penny	e 5
Pensiounssystemer	e ns~ i o u n 7 y s t E m E r
Pensis	e ns~ i s
Pepin	a p i n
Perruche	e r u C e
Personaldelegatioune	e r s o n a l d e l e 7 a t i o u n e
Personalkäschten	e r s o n a l k 3 S t E n
Personnes	e r d a m i n i
Persounenzich	e r s o u n e n z i C
Pestizid	e s t i z i d
Petro	a t 3 r o
Pfeiler	f e i l e r
Philharmonique	h i l a r m o* i k E
Phototalk	h o d o t a l
Phrasen	h r a s e n
Piaf	i a f
Pianosconcerto	i a n o s k o n z i r t o
Piccobello	i kh~  o b e l o
Picken	i S k e n
Piechter	i e t E r
Pina	i n a
Pino	i n o
Pinturault	i n t u r a u l
Piratekapitänen	i r a t e k a p i t o h n e n
Pissblumm	i s b l u m m
Pizzadeeg	i r z a d e
Plagiat	l a g i a t
Plakeg	l a k e
Planzenueleg	l a n z e n u e l e g
Plaquette	l a k e t
Plastesch	l a s t i S
Plastic	l a s t
Plastiker	l a s t i k a r
Plastiksfläsch	l a s t i k s f l 3 S
Plazverweis	l a z v e r w e i s
Pleasure	l E s d u r e
Plooschteren	l o S t E r E n
Plou	l o u
Plouay	l o u a y
Po	o
Pocket	T k e t
Podest	o d a* 7
Polarkrees	o l a r k h r e s
Polemiken	o l e m i k e n
Politescht	o l i t e s t
Polizeistaat	o l i 8 i s t a t
Poppe	o p p e
Poppentheater	o p p e nt~  a t e r
Portait	u r t a i t
Postal	o s t a l
Postings	o s t i N
Potpourri	o t p o u r i
Pow	o
PrEP	r
Prater	r a t e r
Praça	r a a
Prefektur	r e f e k r u t a
Preghiera	r e x i e r a
Preise	r e i s e
Preparatiounsmatch	r e p a r a t i o u s m a Ch~ i
Preparative	r e p a r a t i v E
Pressegesetz	r e s g o w c
Prestations	r e s t a t i o* s
Preussen	r E u s e n
Prevention	b e b e n t i o n 3
Primat	l i m a t
Prins	r i n
Printen	r i n t e n
Pristina	r i s t i n a
Privatfliger	r i v a f l i g e r
Produzentin	r o C u z i n t i n
Professionnellen	r o f e s s i o n n e l l e n
Professionneller	r o f e s s i o n i L e r
Projectors	t o n o x e k t o r
Proportioun	r o p o r t i o u n
Protestmanifestatioun	r o t e s t f i S t a t i o u n
Prothesen	r o th~ 3 s e n
Proufsäll	r o o k u p s l o
Proximus	r o S i m u s
Präzedenzfall	r 3 z e d e n z b o l
Préparatoire	r e p a r a t o i r
Préscolaire	r e s k o l a i r
Psychothriller	s i m C o t r e l l e r
Publicatioun	u b l i k a t i o u n
Publizist	u b l i a
Puzzelstécker	u z z e l s t e S k a r
Python	y th~ u n
Pâques	a s o X
Päckelcher	3 k n z a g u r E r
Päerdspensioun	3 e r d 8 p e n e ty~ s i o u n
Päischte	3 i S t e
Péckvillchen	e S k v i l l E N
Péitesch	e i t e S
Péngschtdënschdeg	e N S t d 3 n S b
Pénurie	i n u r i e
Pétitioun	e tw~ i t i o u n
Quality	u a ty~ e
Quarantine	u a r a n t i n e
Quebec	u e b e k
Questions	u e s t i o* s
Rabatt	a b a t
Raccordement	a k k o r d E m E n t
Radioe	a d i o e
Rafal	a f a l
Raider	a i d e r
Ralenti	a l e n t i
Rambo	a m b o
Rami	a m i
Ramona	a m o n a
Randbéischten	a nd~ b i S t E n
RangeRover	a N 3 s o v e r i
Rare	a r e
Realist	e a l i s
Recettësäit	e T E t y s i t
Rechne	e T n e
Rechts	e T c
Reckendall	e T b o n d~ a dl~
Rectifié	e k ty~  e
Redressement	p i e d r 3 s a E m E n t
Reduktiounsziler	e d u k t o u n  l e r
Reesend	e o n d
Reesenden	e e n d e n
Referenze	e f e r e n z e
Regierungskonferenz	g i e r u N s k o* f e r e n z
Regierungskris	g i e r u N s k r i s
Regimewiessel	g i * % 3 s a
Regulus	e g u l u s
Reiles	e i l e
Reinhold	e h o l
Rekordzuel	e k o r c
Relancement	e l a n C E m E n t
Renato	e n a t o
Rene	e n e
Reportagë	a p o r t o x 3
Resonanzen	e s o n a n c~ e n
Response	e s p o s e
Restrukturéierung	e s t r u k t u r e i e r u N
Retentioun	e t e n t i o u n
Retouchen	e t o u C e n
Retraite	a t 3 r  t e
Reunion	u n i o n
Rexha	" a
Reykjavik	b k j a v i k
Ricard	i k a r d
Rief	i e f
Riehl	i e x
Rietsextrem	i e t e S a m
Rietsextremen	i e t e S a m e n
Rietshänner	i  Ch~ a* d n 3 q
Riot	i o t
Risen	i s e n
Ritt	i t
Roadrunners	o a d r S e r
Roadtrip	o a d t r i p
Rocas	o k a s
Rochus	T u s
Rockefeller	T k e f e l l e r
Rolls	o L
Rollstill	o L s t i l
Romains	u m o nsw$ i
Rommwiss	o m u s
Ronnebierg	o S a rx~
Rouse	o u s e
Rucksaak	u C s a b a k
Rugbystadion	t u g by~ s t a d i o n
Rullo	u l o
Rumpelstilzchen	u m p e l s t i l z E N
Rutschbahn	u c C b a h n
Règne	e N n i s
Réalisateuren	e a l i s a t e u r e n
Réckstau	e S k s t a u
Régine	e g i n e
Régiounen	e i a u n e n
Réimervilla	e i * v i l l a
Réimesch	e i m i S
Réit	e i t
Résidentiel	e i d e n t i e l
Rüssel	3 s e l
Sabbath	a b " b u
Sabbatini	a b " b a t i n i
Sacramento	a k r a m e n t o
Sacre	a k
Sadikovic	a d i k o v i k
Sahelzon	m a h e l z o n
Saile	l
Sakkari	a k a r i
Salvatore	a l v a t o r e
Samad	a m a d
Samariter	a m a r i t e r e n
Samir	a m i X
Sammelen	a m e l e n
Sampha	a m p a
Sarotar	a r o t a r
Satan	a t a n
Sauerstad	a u e r s t a d
Saufest	a u f i S
Schallschutz	C a L S u c
Scharpantgen	C a r p a n t g 3 n
Schau	C a u
Scheiklappen	C e i k l o p p e n
Schichtaarbecht	C i C n a d u G t
Schick	c " i k
Schiert	C i e r
Schifuerer	C i pw~ e r a r
Schildkröten	l d k r o t e n
Schinnentransport	C i N tr~ a s p o r
Schlammestee	C l a m e s t i 3 n
Schlassfrënn	C l a 7 f r 3 n n
Schlepper	C l e p p e r
Schlofproblemer	C l o p p l o b l E m E r
Schlofzëmmerbléck	C l o p z b * bl~ e k
Schloss	C l o s
Schlussfolgerungen	C l u s h l 3 k  3 n
Schlussrapport	C l u s s u r u t " p o r
Schläifmillen	C l 3 i f i m i l l e n
Schmelze	C m e l z e
Schmuggel	C m
Schmäerz	C m 3 e r
Schness	C n e s
Schnoffelnues	C n o f  n u e
Schoof	C o
Schosswaffen	C o s s o f e n
Schoulhäff	C o u L 3 f
Schoulstonn	C o l s t o n n
Schoulstonne	C o l s t o n n e
Schoulsäck	C o l 3 k
Schraasseger	C r a n i g e r
Schrasseg	C r a s e
Schrauwe	C r a u w e
Schroell	C r o "
Schrëftlechen	C r e f L e C e i n
Schusterschitz	C u s t E r S i c
Schweessen	C e z i 3 s a
Schwirtz	C w i r a c
Schwächung	C w 3 C u N
Schwäizerin	C w 3 i r i ly~ i n
Schwätz	C w 3 c
Schwéierkraaft	C wy~ i e r k r a a f
Schärftenverlaaf	Ch~ a r f e r l a a f
Schéinheetsfeeler	C e h e c f e l e r
Schéngt	C e N
Schülerband	C k e l e r b a nd~
Scientifique	C y e n t i f i k E
Scolati	k o l a t i
Scorer	k o r e r
Scotch	k o Ch~ i
Scream	k d i
Seasons	E s d o* s
Sebastián	e b a s t i a n
Seenen	e n e n
Sege	E k E
Sekteuren	e k u r e n
Sektoren	e k t o r e n
Selbstwäertgefill	e g u s t w 3 e r t g e f i l
Selena	e l e n a
Selfien	i x t o a i e n
Seminaristen	e m i n a r i s t e i n
Sensibiliséierungscampagnen	e ns~ i b i l i s e i e r u N s k a m a j
Separatiste	a p a r a t i s t e
Sequel	e k
Shapovalov	h a p o w a r o v
Shirts	h i r c
Shutter	h u t t e r
Sierra	i e r a
Sig	i g
Sight	i t
Siidler	i d l e r
Silben	i l b e n
Siloen	i l o e n
Simons	i m o* s
Sirdall	i r n d~ a dl~
Sitautioun	i t a u t i o u n
Ska	r o x
Skinny	k i n t
Sloane	l o a n e
Slum	l u m
Slumbergaze	l u m b e r g a z e
Slums	l u m
Smooth	o t
Socialiste	T i a l i s t e
Soderbergh	o d i n b e r g
Soler	o l e r
Solidaire	o l i d a i r
Solidaresch	o l i d a r e S
Solidaritéitsprinzip	o l i d a r e  i s p r i n z i p
Solokarriär	o l o r 3 r
Sommelier	o m e l i e r
Sommeten	o m e t e n
Sondeg	d e g
Sonndesrieden	o nd~ e n s r i e d e n
Sonnenopgank	o n e n o p  n
Sopran	o p r i
Sorte	u r t e
Souveränitéitsrechter	o u e r a* d a  i s u r e t E r
Sozialkris	o  a l r i s
Sozialsystemer	o  a l a s t E m E r
Spacey	p a k 7y~
Spaicher	p a i C e r
Spaléier	p a l e i e r
Spambots	p a m b o c 3
Spanneseid	p a n n e s a i i d
Spargel	p i N g E l
Spec	p e k
Speicher	p e C e r
Spekulatiounssteier	p e k u l a t i o u s S t a i e r
Spezialiséierung	p e  a l i s e i e r u N
Sphär	ph~ 3 r
Spidolswiesen	a t o r fs~ i e s e n
Spillschoulsjoffer	p i l l s C o l cx~ o* f e r
Spinning	p i n n i N
Spirituosen	p i r i t u o s e n
Spock	p o k
Spoo	p o
Sportaktivitéiten	p o r t a k t i b i t e i t e n
Sportive	p o r t i v E
Sportleréierung	p o r L e r e i e r u N
Sprangbur	p r a N w u N g i
Sprangpressessioun	p r a Np ~ r e s e s s i o u n
Springs	p r i N
Sprinkange	p r i n d e l e a
Spruddelwaasser	p r u d e l w a n i e r
Sprénger	p r e n g e r
Spuenescher	p u e n e S E r
Spuereffort	p u e r e f h
Spueresich	p u e r e s i C
Spuet	p u e ty~
Spëtzepeloton	a p i c e p e l o t o n
Spëtzeposten	a p i c e p o s t e i n
Spëtzeverdénger	a p i c e e r d 3 7 N e r
Spüli	p 3 l i
Staategemeinschaft	t a t E g E m E nsw$ i C a f
Staatsarchitekt	t a c i r h i t e k
Staatsbetriber	t a c t b e r e
Staatslaboratoire	t a c l a b o r a t o i r
Stacklëtzebuerger	t a k k l 3 c o bw~ a  g e r
Staddeeler	t a d b e l e r
Starbucks	t a l S k
Startgeld	t a r t g e l
Statistiker	t a t i s t i k a r
Statsfinanze	t a c f i n a n z e
Staub	t a u b
Steam	t e a m
Stebs	t e b
Stefanie	t e f a n i e
Stegen	t e g 3 n
Steieramt	t e i e r a m
Steierfroe	t e i e r f r o e
Steierhaussen	t e i e r a u s e n
Steierkrediter	t e i e r k r E d i t e r e n
Steierrulinge	t e i e r l i N a
Steinmetz	t e i t n~ d c
Sterpenech	t E r e n e ty~ n
Stesel	t e s
Stigma	t i g m a
Stolaarbechter	t o l a r k t E r
Stolproduktioun	t o l p r o C u k t o u n
Stool	t o L
Stoussnéckel	t o u s n e S k
Straifen	tr~ a i f e n
Strategiepabeier	tr~ a t e g i e p a b e i e r
Stratégie	tr~ a t E g i e
Strecher	w a m i n
Streetworker	a  e* k a r
Streisel	t r e i s
Stroftaxe	t r o f t a x e
Stroumreseau	t r o u m r e s a i a u
Stroumsecteur	t r o u m e n i u r
Structure	t o u k t u r e
Strukturreforme	t o u k t u r  h m e
Struppi	t o u p p i
Stréihallem	t r e a l o l 3 m
Stréimännchen	t r e i m 3 n C i n C e n
Stuck	t u k
Studentenjob	t u d e n t E nj~ o b
Stumpf	t u m p f
Subsidien	u b i d i e n
Substitut	u b s t i t u t
Subtilitéit	u b t i l i t e i t
Sucre	u C
Suergekand	u e r g u d o l o g
Suggestioune	t u g g 3 s t i o u n e
Sule	u l e
Summerakademie	l u m m e r a k a d e m i e
Sundance	u n d a n C i e
Sungas	u N a
Suns	m i a
Superdreckskëscht	u p e r ndr$ e k k s k e s t
Superheldefilm	u p e r h e l d e f i l m
Suspensioun	u 8 p e n e ty~ s i o u n
Suë	u 3
Symphonieorchester	i m f o n i e o r x e s t e r e n
Symétrie	y p a u tr~ i e
Sécherheetsbeamten	e S e r h i* c b e a m t e n
Sécherheetsdispositif	e S e r h i* c a  s i t i f
Sécherheetsgurt	e S e r h i* c g r
Sécherheetspersonal	e S e r x e th~ 8 p e n e r s o n a l
Séisswaasser	e i s s o n i e r
Sënne	3 n n e
Sënnesräich	3 n n e s r 3 i C
Sënneswandel	3 n n e s l o a nd~
Sënnvolles	3 n n v o l l e
Sëtzebleiwen	3 8 bl~ s e n
Taas	a
TalentLAB	a l e n t
Tammy	a m
Tanzania	a n c~ 3 n i a
Tapella	a p m u S
Tarnung	a r n u N
Tast	s d a
Tattoos	a t  o s
Tatum	a t u m
Tauxe	 e
TdL	d
Teambuilding	e a m b u i l d i N
Telecom	e l e k o m
Telefonsbicher	e l e f o s b i C e r
Telephon	e l e f o n
Televisiounschaîne	e l e i s i o u s C a 3 n e
Tempolimitt	e m p o l i m i t
Tentative	e n t a t i v E
Terrorattack	e r ph~ a t t a k
Terrorattacken	e r ph~ a t t a k k e n
Tesson	e s o*
Testresultat	e s t r e s u l t 3 t
Texel	"
Thai	h a i
Than	h a n
Thanksgiving	h a n k s g i v i N
Theaterbühn	h e a t e r b " a n
Themae	h e m a e
Thematiséiert	h e m a t i s e i e r
Theologen	h e o l o g 3 n
Thessaloniki	h e s  l o n i k i
Thillebierg	h i l l e a rx~
Thilo	h i l o
Thin	h i n
Thingnes	h i N n i
Thor	h o r
Thornton	h o r n t o n
Tigermoustique	i g e r m o u s i k e o
