on 	o n
infrastruktuuriga	i n f r a s t r u k t u r i g a
ingeri	i N e r i
inglit	i N l i t
inimeseksolemise	i n i m e s a i k s o l e m i s e
inimeseõpetuse	i n i m e s a i o p e t u s e
inimpõlv	i n i m p o l v i
inimsmugeldajate	i n i m s m u g e l d a j a t e
inimsusevastane	i n i m s e b E s t a n e
inimsusvastaste	i n i m s u s b E s t a s t e
inimsõbralik	i n i m s o o* a l i k
inimtegevus	i n i m t e  b u s
inimtühjaks	i n i m m a n t n i 5
inimühiskonna	i n i m 3 i s k o* n a
inimühiskonnas	i n i m 3 i s k o
initsiatiivgrupp	i n i i a t i s v g a m p
initsiatiiviga	i n i i a t i s v i g a
innovaatilisi	i n n o w a a t i l i s i
innustasid	i n s t a s i d
instantside	s t a n c i d e
institutsioonina	s t i t u c i o n i n a
instituudil	s t i t u d i l
integratsiooniga	i n t e g r a c i o " w i g a
integratsioonis	i n t e g r a c i o " w i s
integreerimisel	i n t e g h r e l i m i s
intellekt	i n t e l a Nw~
intellektuaalid	i n t e l a Nw~ t u a l i d
intelligentsust	i n t 3 x e n c u s
intensiivsed	i n t e ns~ i Ng~ e e d
interjöör	i n t E r a t 3 r
internetiajastul	i n t E r n  a s t u l
internetiteenuse	i n t E r n  % t e n u s e
intervjueerima	i n t E r i xy~ e l i m a
intervjueeritud	i n t E r i xy~ e r i t u d
intiimelu	i n t i m e l u
invaliidiks	i n v a l i d i k
inventuur	i n f e n t u r
investeerimisele	i n v a* 7 e l i m a s l 3 e
investeeringutoetuse	i n v e s t a i n i N u t o e t u s e
irli	i r l i
irooniata	i r o a t a
isadest	i s a d a* 7
isamaalane	i s a l a n e
isamaale	i s a m a l e
isamaaliselt	i s a m a l a s l 3
isamaaliste	i s a m a l i s t e
isamaalisust	i s a m a l i s u s
iseendi	i s e n d i
iseseisvasse	% l o w i s b E s s e
iseseisvunud	% l o w i s b u n u d
iseärasuste	a s 3 r a s u s t e
iseärasustest	a s 3 r a s u s t e s
iseõppija	a s o p p i j a
isiklikeks	i s i k l i k e k
isiksusega	i s i k s e
isikuomadusi	i s i k u o m a d u s i
isikuomaduste	i s i k u o m a d u s t e
istik	i s t i k
istungjärgule	i s t u N E n g u l e
jaamade	y a m a d e
jaanipühade	y a n i p 3 a d e
jaapanlase	y a a p a n a l a
jaapanlasi	y a a p a n l a s i
jaburad	y a b u r a d
jaburaid	y a b u r e i
jaekaubandus	y a e k a u b a nd~ u s
jaekaubandusettevõtete	y a e k a u b a e t u s n a k e t e
jagamises	y a g a m i e
jahedate	y a h e d a t e
jahipidamise	y a h i p i d a m i s e
jahipüssi	y a h i p 3 s s i
jahtimas	y a h t i m a s
jahud	b u l a f " k d
jahutatud	b u l a f " k t a t u d
jalgadesse	y a l g a d 3 s a
jalgpallifännid	y a l k p a l l i f a* d n i d
jalgrattateed	y a l g r a t t a t i 3 d
jaotusega	y a o t u s e N a
joobekahtlusega	h o b e k a k i l u s e N a
jooksmisega	h o k s C u w e
jooksust	h o k s u s
joomiseks	x o 3 z o k
joonis	h o n i s
joonistuvad	h o n i S t u b a d
joonte	j o b u* d a k
juhendajatele	x u h e n d a j a t e a
juhendeid	x u h e n d e i d
juhindub	x u
juhm	x u h m
juhtfiguure	x u nth$ f i g u r e
juhtimiskonverentsil	x u h t i m i s k o* e r e n c i l
juhtimisõigusestSõda	x u h t i m i s o i k g u s e s t 3 d a
juhtivtöötaja	x u h t i b h a t 3 t a h a
juhtmõte	x u nth$ o* 7 o* t e
juhtpoliitiku	x u nth$ p o l i i t i k u
juku	y u k E 7
julgeolekuameti	x u l 3 k  o l e k u a m e t i
julgeolekuga	x u l 3 k  o l e k u g a
julgeolekupoliitiline	x u l 3 k  o l e k u p o l i i t i l i n e
jumalariik	x u m a l a r i
jumalariiki	x u m a l a r i i k i
jupid	x u p i d
jurisdiktsiooni	x u r i s d i k c i o n i
juristidega	x u r i s t i d e g a
juristist	x u r i s t i s
justiitsministrit	x u s t i t i m i n i s t r e
jutuajamisest	x u t u i c z o s d a
jutuajamisi	x u t u a j a m i
jutustatakse	x u t u s t a t a k s e
juubeldasid	x u u b e l d a s i d
juubelite	x u u b e l i t e
juurdeehitise	x u r b e h i t i s e
juurdeehitust	x u r b e h i t u s
juurdekasvust	x u r d e k a s s i k
juurdevoolu	x u r i s u s o l u
juurutama	x u t a m a
juurutamist	x u a  s
juustele	x u s t e a
juveeliäri	x u b e l i r i e
jäledaid	x o l e d a i d
jälgisime	x o l Ng~ i S i m e
jälitades	x o ty~ a d e
jälitanud	x o l i t a n u d
jälitatakse	x o l i t a t a k s e
jänkidele	x o Nkw$ i d e l e
järelepärimine	E n e l e p 3 r i m i n e
järeltuleva	E n e l t u l e v a
järgijad	E n g i y a d
järgijaid	E n g i j e i
järgita	E n g i t a
järjega	E n j e g e
järjekindlad	E n o x e k i n y l a d
järjepidevusele	E n h a t u s i k e l e
järsus	E n u s
jätkaksid	x o t k a k S i d
jätkumiseks	x o t  m i s Nw~
jätkusuutlikult	x o t k u s u t t l i k r u
jääauku	h 3 a u k u
jäägitu	h 3 g i t u
jääjate	h 3 j a t e
jäämisele	h 3 m a s l 3 e
jäängi	h 3 N i
jääteele	h 3 % t e l e
jäätmejaam	h 3 t y m 3  a m
jäätmeluba	h 3 t m E l u b a
jõgedel	h o* N g e d
jõgevalased	h o* N g e v a l a s 3 d
jõhkraid	h o i k n e i
jõime	h o i m e
jõudsite	h o u d s i t e
jõudva	h o u d v a
jõukamaid	h o u k a m a i d
jõukamatele	h o u k a m a t e a
jõukatele	h o u k a t e a
jõulujumalateenistus	h o u l u h u m o l o tw~ e n i S t u s
jõulukaarti	h o u l u k a d t i
jõulukingituse	h o u l u k i N i t u s e
jõulusid	h o u l u s i d
jõuluvanade	h o g u n v a n a d e
jõuluvanalt	h o g u n v a n a l
jõustumiseni	h o u s t u m z o n
jõuvarud	h o u b a r u d
kaadrite	k a d r i t e
kaagutab	k a g u t a b "
kaalukaid	k a l u k a i d
kaalukat	k a l u k a t
kaalumisele	k a h a r a s l 3 e
kaalusin	k a l u s i n
kaaluta	k a l u t a
kaalutlusel	k a l u t l u s
kaameratest	k a m e r a t e s
kaanelugu	k a i t u
kaasaaitajaid	k a s a i p i j e i
kaasaelamine	k a s a e l a m i n e
kaasaks	k a s a k
kaasamata	k a s a m a t a
kaasavad	k a s a v a d
kaasinimestele	k a s i n i m e s t e a
kaasreisijana	k a s r e i s i j a n a
kaasteelised	k a s t e l i N z o
kaastundlik	k a s t u nd~ b u C o
kaatriga	k a t r i g a
kadakas	k a d a k a s
kadesta	k a d e s t a
kadunuke	k a d u n u k e
kadunukese	k a d u n u k e s e
kaebusega	k a e s e N a
kaebustest	k a e s t e s
kaenlasse	k a l a s s e
kaevamine	k a e b E m i n e
kaevandatud	k a p i r a nd~ a t u d
kaevandusse	k a p i r a nd~ u s s e
kaevurit	k a e b u r i t
kahanemisele	k a h a n i m a s l 3 e
kahanevat	k a h a n e v a t
kahekõne	k a h e k o i n e
kaheliitrise	k a h e l i a n i s e
kahemeetrise	k a h e m a  s e
kahene	k a h e n e
kaheteistkümnenda	k a h e t e i s t k 3 m n e n d a
kahetsusväärsed	k a h e c u s v E r e d
kahjudega	k a h b u d e g a
kahjulikum	k a h r o l i k u m
kahjutundega	k a h h u t u n d e g a
kahtleme	k a k i l 3 m 3
kahtlusteta	k a k i l u s t e t a
kaifi	k a i f i
kainuse	a s i k " e
kaisus	k a i u s
kaitsealasid	k a i 5 u  a l a s i d
kaitseministrit	k a i t e m i n i s t r e
kajastamata	k a q s t a m a t a
kajastati	k a q s t a t i
kajastavat	k a q s t a v a t
kakao	k a k a o
kaklusi	k a k l u s i
kalalaevad	k a l a l a p i r a d
kalapüügiseaduse	k a l a p 3 3 g z o a d u s e
kalatehase	k a l a t e h a c e
kalendriaastas	k a l e n d r a s t o s
kalkulatsioone	k a l e l a c i o n e
kallutab	k a l u t a b "
kaluritel	k a l u r i t e l
kamandas	k a m a n
kambaka	k a m b a k a
kaminas	k a m i n 3 s
kammitud	k a m m i t u d
kandidaatmaade	k a n d i d a t a d e
kandidatuurist	k a n d i d a t u r i s
kandjate	k a j a t e
kandsime	k a n d s i m e
kang	k a N
kangastelgedel	k a N a s t e l l g e d
kangelaslik	k a n g e l a l i k
kangelaslikult	k a n g e l a l i k r u
kangiga	k a n g i g a
kannatajateks	k a n n a t a j a t e k
kannatava	k a n n a t a v a
kannatusest	k a n n a t u s a* 7
kannatustele	k a n n a t u s t e a
kanne	k a n n e
kantslerit	k a n c l e r i k
kantsli	k a n c l i
kaobki	k a o  k i
kapitalismile	k a p i t a l i s m i l e
kapotile	k a p o t i l e
kapseldunud	k a p s l 3 d u n u d
kaptenisillal	k a p t e n i s i l l a l
karakteriga	k a r a k t E r i g a
kardeta	k a r d e t a
kardinaid	k a r d i n a i d
karismaatilist	k a r i s a t i l i s
karistamatus	k a r i s t a m a t u s
karistavad	k a r i s t a v a d
karistusseadustikku	k a r i s t u s e a d u s t i k k u
karjased	k a r y a s 3 d
karjeristide	k a r E n i s t i d e
karjutakse	k a r w a t t a k s e
karjääride	k a r E r i e  e
karjäärinõustaja	k a r E 3 r i n o* u s t a h a
karmistamine	k a r m i s t a m i n e
karsklane	k a r S k l a n e
kartuse	k a r t u s e
kase	k a s e
kasemahla	k a s e m a h l a
kasiinosid	k a s i n s i d
kassipojad	k a s s i p o x a d
kastiga	k a s t i g a
kastreeritud	k a s t r i e r i t u d
kasud	k a s u d
kasulikuga	k a s u l i k u g a
kasumiprognoosid	k a s u m i p r o g i E 5 o s i d
kasumlikuks	k a s u m l i k u k
kasusaamise	k a s u s a m i s e
kasutavat	k a s u t a v a t
kasutuseks	k a s u t u s Nw~
kasvandikest	k a s v a n d i k a* 7
kasvandikku	k a s v a n d i k k u
kasvatamatu	k a s v a t a m a t u
kasvatavale	k a s v a t a v a l e
kasvuhoones	k a s b u h o i
kasvuhoonest	k a s b u h o a* 7
kasvuhoonet	k a s b u h o n e t
katastroofe	k a t E s t r o o f e
kategooriat	k a t e g o ry~ a t
katkendeid	k a t k e n d e i d
katkust	k a t k u s
katlamajad	k a t  C i
katmisest	k a t C u w o
katoliiklane	k a t o l i i k l o n e
katsetamiseks	k a c e t a m i s Nw~
katsetamist	k a c e t a m i s
katsusid	k a c u s i d
katsuti	k a c u t i
kattev	k a t t E f
katusorganisatsiooni	k a t u s o r g a n i s a c i o n i
kaubakeskus	k a u b a k e s k u s
kaubalaevade	k a u b a l a p i r a d e
kaubamaht	k a u b a m a th~
kaubamajad	k a u b C i
kaubamajale	k a u b a m a j a l e
kaubandusest	k a u b a o
kaubanduspinda	k a u b a nd~ u s p i n d a
kaubavalikut	k a u b a v a l i k u t
kauboi	k a u b o i
kaugekõnesid	k a u g u d o l o h o* 5 e s i d
kaugeleulatuvad	k a u g e l e u l a t u b a d
kaugusest	k a u g u s a* 7
kaugõppe	k a u N o p p e
kaunimaid	k a u n i m a i d
kauplemas	k a u p l 3 m a s
kauplemispäev	k a u p l e m i s p 3 7 e v
kavalam	a v a l a m
kavaldada	a v a l d a d a
kavalus	a v a l u s
kavalusega	a v a l u s e N a
kavandatavaid	a v a nd~ a t a v a i d
kavatsuse	a v a c u s e
keelamisega	k e e l a m i s e N a
keeldun	k e e l d u n
keelelist	k e e l e l i s
keelenõuded	k e e l e n o* u d 3 d
keelepoliitika	k e e l e p o l i i t i k a
keeletoimetaja	k e e l e t o i m e t a h a
keelustab	k e e l u s t a b "
keelustatud	k e e l u s t a t u d
keemiast	k e e m e s d a
keerulisele	k e e r u w l a s l 3 e
keetnud	k e e t n u d
kehalised	k e h a l z o
kehaosad	k e h a o s a d
kehtestamata	k e h t e s t a m a t a
kehvake	k e h v a k e
kehvapoolne	k e h v a p o l n e
kellale	k e y a l e
kellamees	k e y a m e s
kelleni	k e l l e n i
kelner	k e l n 3 q
kelnerile	k e l n e r e l e
kenamaks	k e n a m a k
keres	k e r e
kergejõustikku	k e r g j o u s t i k k u
kergeusklikke	k e r g e u s k l i k k e
kergitaks	k e r g i t a k
kerjamas	k e r q " o m o s
kerjamise	k e r C i C i s e
kesikust	k e s i k u s
kesiselt	k e s a s l 3
keskendun	k e s k e n d u n
keskerakondlastega	k e s k e r a k o n d p i S t E g a
keskkonnaalast	k e s k k o i  s d a
keskkonnaametile	k e s k k o a b e *  l
keskkonnasõbralike	k e s k k o s o o* a l i k e
keskpangalt	k e s kp~ a N a l
keskpikas	k e s kw~ i k a s
keskpärased	k e s kp~ 3 r a s 3 d
keskpärasus	k e s kp~ 3 r a s u s
keskturul	k e s k t
kestvaid	k e s t v a i d
kestvust	k e s t s i k
ketid	k e t i d
kevadele	k e v a d e l e
kidakeelseks	k i d a k e l e k
kihelkonnakoolimuuseumis	k i h e l k o k o l i m u o i m i s
kihelkonnast	k i h e l k o s d a
kihnlaste	k i hn~ l a s t e
kiibi	k i b i
kiirabitöötajate	k i r a b i h a t 3 t a j a t e
kiirendaks	k i r e n d a k
kiirgus	k i r g u s
kiirguse	k i r g u s e
kiirlaenu	k i r f e n u
kiiruseületamisega	k i r u s e k e l e t a m i s e N a
kiiruseületamist	k i r u s e k e l e t a m i s
kiirustamata	k i r u s t a m a t a
kiitmisega	k i t C u w e
kiitva	k i t v a
kilbile	k i l d 3 b i
kilekottidesse	k i l e k o t i d 3 s a
kilkavad	k i l a v a d
killukese	k i l l u k e s e
killustik	k i l l u s t i k
killustikku	k i l l u s t i k k u
kilud	k i l u d
kindlakäeliselt	k i d e L o k 3  a s l 3
kindlustati	k i n y l u s t a t i
kindlustusest	k i n y l u s t u s a* 7
kinnipeetavale	k i n a n i p e e t a v a l e
kinnipidamiskeskuses	k i n a n i p i d a m i s k e s k u e
kinnisasi	k i n a n i s a s i
kinnistusse	k i n a n i S t u s s e
kinnisvaraarenduse	k i n a n i S b a r a d e d u s e
kinnitamaks	k i n a n i t a m a k
kinnitasin	k i n a n i t a s i n
kinnitusest	k i n a n i t u s a* 7
kinolinal	k i n a o l i n a l
kiratsema	k i r a c e N a
kiretult	k i r e t u l
kirevast	k i b e b E s
kirikuaeda	k i r i k u a e d a
kirikuhoones	k i r i k u h o i
kirikukella	k i r i k u k m u S
kirikukoor	k i r i k u k o o r
kirikulehes	k i r i k u l e h e s
kirikusaalis	k i r i k u s a l i s
kirikuseadustik	k i r i k u s e a d u s t i k
kirikuvanem	k i r i k u v a n e m
kirikuõpetajaid	k i r i k u o i l e n e i j e i
kirjakohale	l  k o h a l e
kirjakohas	l  k o h a c
kirjandeid	l j a n d e i d
kirjanikest	l j a n i kw~ a* 7
kirjaoskamatu	l  s k a m a t u
kirjastused	l s t u s 3 d
kirjelda	l E l d a
kirjutajal	l w a t t a q
kirjutajale	l w a t t a j a l e
kirjutajat	l w a t t a j a t
kirjutamast	l h u t a m s d a
kirjutisele	l w a t t a s l 3 e
kiru	r u
kirvest	l e s d a
kisajad	k i s a q d
kisavad	k i s a v a d
kiskjad	n i s j a d
kitsale	k i s a l e
kitsaskohtadele	k i s a s k o h t a d e l e
kitsasse	k i s a s s e
kitsendused	k i t e n d u s 3 d
kitsukeses	k i c u k e e
kiusas	k i u s a s
kiusasid	k i u s a s i d
kiusatusse	k i u s a t u s s e
kiusatustele	k i u s a t u s t e a
kiviaeda	k i v i a e d a
kiviviske	k i v i v i s k e
klaasidega	k l o a s i d e g a
klaasikoja	k l a i k o h a
klassidesse	k l a s i d 3 s a
klassikalisel	k l a s i k a l i s
klassikalisest	k l a s i k a l i s a* 7
klaverile	k l a v e r e l e
kleebis	k l a p i s
kliendini	k l i e n d i n i
kliimamuutuse	k l i i m a m u t u s e
kliimast	k l i m s d a
kliinikumiga	k l i i n i k u m i g a
klikki	k l i k k i
klippe	k l i p p e
kloordioksiidi	k l o r d i o k k u i d i
klubijalgpalli	k l u b i j a l k p a ly~ i
klubina	k l u b i n a
koalitsioonikaaslased	k o a l i C i o " w i a l a s 3 d
koalitsioonikõnelusi	k o a l i C i o q l o h o* 5 e l u s i
koalitsioonilepingusse	k o a l i C i o " w i l e p i  s s e
koalitsioonipoliitikute	k o a l i C i o pw~ o l i i t i k u t e
kodakondsed	k o d a k o n d s 3 d
kodakondsustunnistused	k o d a k o n d s u s t S s t u s 3 d
kodanikeühenduste	k o d a n i k e 3 h i s t e
kodanikkond	k o d a n i kw~ k o n d i
kodanlik	k o d a b u C o
kodarasse	k o d a r a s s e
kodujääl	k o d u h 3 l
kodukohaga	k o t u k o h a g a
kodukooli	k o t u k o l i
kodulooma	k o t u nd~ o m a
kodumaistest	k o t u m a i s t e s
kodumeeskonnale	k o t u m e k 3 n C k o l e
kodupaik	k o t u p a i k
koefitsiendi	k o e f i s i e n d i
koeratoitu	k o e r a t o i t u
koged	k o g 3 d
kogen	k o g 3 n
koguduseliikmetega	k o g u d u s l 3 N i k m e t e g a
kogudusena	k o g u d u s e n a
kogudusetööd	k o g u d u s e h a t 3 d
koguekspordist	k o g e k s p o r d i s
kogujad	k o g u h a n d
kogukas	k o g u k a s
kogukondades	k o g u k o n d a d e
kogukondlik	k o g u k o n d b u C o
kogumikust	k o g m i k u s
kogumispunkti	k o g m i s p u n k a y t i
kogune	k o g u n e
koguneva	k o g u n e v a
kogutava	k o g u t a v a
koguva	k o g u b a
kohaEesti	k o h a e s t i
kohaldamisel	k o h a l d a m i s
kohamaksu	k o h a m a k s u
kohandatakse	k o h a n d a t a k s e
kohatine	k o h a t i n e
koheldaks	k o h e l d a k
koheldi	k o h e l d i
kohtad	k o h t a d
kohtadelt	k o h t a d e l
kohtagi	k o h t a g i
kohtamas	k o h t o m o s
kohtuastet	k o h t u a s t e
kohtuhoone	k o h hy~ a o n e
kohtukulude	k o h n k u l u d e
kohtulahendeid	k o h t u l a h e n d e i d
kohtumenetlusest	k o h t u m e n e  o
kohtumenetlust	k o h t u m e n e  s
kohtunikelt	k o h t u n i k e l
kohtunikult	k o h t u n i k r u
kohtutega	k o h t u t e g a
kohtutesse	k o h t u t 3 s a
kohtuv	k o h t u
kohtuväliselt	k o h t u b 3 l a s l 3
kohusetundliku	k o h u s e t u nd~ l i k u
kohustatakse	k o h u s t a t a k s e
kohustuslikust	k o h u s t u s l i k u s
kohustuvad	k o h u s t u b a d
kohutavam	k o h u t a v a m
kohvikule	k o h v i k u l e
kohvilauda	k o h v i l a u d a
kohvipaksu	k o h v i l o s u
kohvrite	k o h v r i t e
kojamees	k o x a m e s
kojast	k o k s d a
kokana	k o k a n a
kokkasid	k o k k a s i d
kokkuhoidmine	k o k d o i d m i n e
kokkulangevus	k o k l o t e l a N 3 s b u s
kokkuleppimine	k o k e l e p k u i n e
kokkusaamisega	k o k k u s a m i s e N a
kokkutulekust	k o k k u t u l e k u s
kokkuvarisemisest	k o k k u b a r a s C u w o
kokkuvarisenud	k o k k u b a r i s e n u d
kokkuvõttest	k o k k u b n a k t e s
koliksid	k o l i k s i d
kolin	k o l i n
kolleegilt	q u L e x i l
kollektsioonist	q u L Nw~ c i o n i S th~
kolmainu	k o l m o i n u
kolmainupüha	k o l m o i n u p 3 a
kolmandikuni	k o l m o n d i k u n i
kolmega	k o l a w a n
kolmekordistada	k o l m e k o r d i s t a d a
kolmikavarii	k o l m i k a b a r i
kolmikhüppaja	k o l m i k t a 7 i p p a h a
kolmikut	k o l m i k u t
koloneli	k o l o n e l i
komandant	k o m e z i
komberuumi	m i b e r u w f a l a
komistanud	k o m i s t a n u d
kommentaaridesse	k o m e n t a  i d 3 s a
kommentarid	k o m e n t a r i d
kommenteerimas	k o m e n t e l i m a s
kommida	k o m m i d a
kommijatest	k o m m i j a t e s
kommu	k o m m u
kommunismist	k o m u n i S m i s
kompaktse	m i k s e
kompetentse	m i p e t e n c
komplekside	m i p l e k s i d e
komposti	k o m p o s t i
kompvekke	m i p b e k k e
komöödiaõhtu	k o m o  dy~ a o k i w
kongressidel	k o N r e s i d
konkreetsema	k o nk ~ h r e c e N a
konkurentideks	k o nk ~ u r e n t i d e k
konkurentsivõimele	k o nk ~ u r e n k u b o i m e l e
konnatiigis	q o n i k n a t i s g i s
konsiilium	q o n i k k u i l i u m
konsistooriumisse	q o n i k s i s t u u r i i m i s s e
konstitutsioonikohtu	q o n i k s t i t u c i o q l o d a k i w
konsulaarosakonna	q o n i k r e p e n a  u k a m i m
konsultatsioonile	q o n i k r e p e n t a c i o l
konsulteerimata	q o n i k r e p e n % t e l i m a t a
konteineris	k o nt~ e i n e r i s
kontoritarvete	k o nt~ o r i t a r b e t e
kontrollimaks	k o nt~ r o l l i m a k
kontrollimatut	k o nt~ r o l l i m a t u t
kontrolljoonel	k o nt~ r o l lx~ o
kontrolöride	k o nt~ r o l a r i d e
kontserdisarja	k o nt~ a b e r d i s a* r j a
konvendis	q o n i k f e n d i s
kooliaeg	o l i a e
koolikaaslaste	o l i k a l a s t e
koolilaps	o l i l a p
koolisüsteemi	o l i s 3 s t a i m i
koolisüsteemis	o l i s 3 s t i 3 m i s
koolitajate	o l i t a j a t e
koolitamisel	o l i t a m i s
koolitoidust	o l i t o d u s
koolitunde	o l i t u nd~ e
koolitustellimust	o l i t u s t e l l a i m u s
koolitüdrukut	o l i t 3 d r u k u t
kooliõpilane	o l i o o z g a nz~ e
koondades	k o d a d e
koondamiseks	k o d a m i s Nw~
koondamistasu	k o d a m i s t a s u
koondatavate	k o d a t a v a t e
koonderakondlased	k o d i n a k o n d a l a
koonduks	k o d u k
koorega	k o r e g a
kooridega	k o r i d e g a
koorides	k o r i d e
koorijuhid	k o r dy~ u a i d
kooselust	k o s l 3 u s
kooskõlastamisele	k o s u k k o i l a s t a m a s l 3 e
koosmeele	k o s u k m e l e
koosnevas	k o s u k n e b E s
koosolekuga	k o s o l e k u g a
koosseisudes	k o s u k e i s u d e
koosseisule	k o s u k e i s u l e
koostamises	k o s t a m i b e
koostisosaks	k o s u k s o s a k
koostöökoda	k o s u k h a t 3 k o d a
koostöölepet	k o s u k h a t 3 l e p e
koostöölepingule	k o s u k h a t 3 l e p i  l e
