të 	t 3
detergjentë	d e t e r gy~ e n t 3
detyres	d e t r e
detyrimesh	d e t 3 r i S
devotshme	d e v o C m e
dezinfektant	d e 5 f
dezinfektojë	d e 5 f k t o h 3
dezinformuese	d e 5 h e s e
dezinsektimi	d e 5 s e k t i m i
dhejtor	dh~ j t o r
dhembjes	d a m by~ E
dhembjet	d a m by~ E
dhenve	d u N v e
dhimbjeje	T i m by~ E e
dhunshem	T u n S e m
dhuruesve	T u r u e s v e
diabolike	d i a b o l i k e
diamant	d i m i
dibranë	d i b r a n E
didaktike	d i d a k t k e
diferencave	d i f e r e n k a b e
digjitalizim	d i g i j i t a l i s i m a
digës	d i g i 3
diktat	d i k t a t
dinamizmin	d i n a m i z m i n
dinjitozë	d i n j i t o z 3
diplomatja	d i p xy~ u 7 ty~ a
diqka	d i k
disbursimin	d i s s i m i n
diskrecionin	d i s k r E c i o n i n
diskriminohen	d i s k l i m i n o h e n
disku	d i s k u
diskutosh	d i s k u t o S
divani	d i v a n i
divergjenca	d i e r gy~ i n C i a
djema	d h e m a
dobro	d o b r o
dogmat	d u g u e m a t
dokumentimi	d o k u m e n t i m i
dokumentoi	d o k u m e n t o i
domates	n dw~ e r a i
dominonte	b n b u* d a k
domosdoshmëria	b o s bw~ S k i S r i a
donatorësh	d o n a t o r e s
doreheqje	d o r e h e k e
dramave	d r E m a b e
drastikisht	d r E s t i k i sC~ t i
dridhura	d r i d u r a
drogen	d r o g 3 n
drusore	d r u s o r e
dufin	d u f i n
duhanpirësve	d u h a n p i r e s v e
duka	d u k a
dukurinë	d u k u r i
durrsake	d u r s a k e
dyditor	o d i t o r
dygjuhëshe	o gy~ u h e s e
dyluftim	o l u f n a t i m
dynjaja	o nj~ a h a
dyshemeja	o S e m e h a i
dyshemesë	o S e S 3
dëmtonin	d b t o n i n
dëmtuarin	d b t u a r i n
dëmtues	d b t u e
dënonin	d 3 n o n i n
dështojmë	d e s t o h m 3
eBay	y e g a
ecen	e T E n
edukativo	e d u k a t i b o
eficiencës	e f i C y e n C i 3
eklips	e k l i p
eko	e k o
ekonomin	e k o n o m i n
eksodit	e k s o d i t
eksplorimi	e k s p l o r i m i
ekspozenë	e k s p o z e n E
ekspozite	e k s p o  t e
ekuacion	e k u a i o n
ekuivok	e k u i v o k
ekzagjerim	e k c a G E n i m
ekzotik	e k z o t i k
elastik	e l a s t i k
elementit	l E l E m E n t i
emancipimi	e m a n C i i p i m i
emetohen	E m E t o h e n
emisarët	e m i s a r e
energjetikës	e n e r gy~ e t i k 3
enjtën	E nj~ y n
eskortë	e s k o r t 3
etiketohet	e t i k e t o h e t
etninë	e t n i
etërve	e y r v e
euforike	u h i k e
eurobondit	u l o b o n d i t
evoluojë	e v o l u o h 3
evoluon	e v o l u o n
falemnderit	f a l 3 m d i n i t
falenderoja	f a l E d i n o h a
falsifikime	f a l s i f i k i m e
faltore	f a l t o r e
falura	f a l u r a
familjarin	b o m e L a r i n
familjarit	b o m e L a r i t
famshmi	f a m S m i
fanatikë	f a n a t i k 3
faqa	f a 7 a
fasadave	f a s a d a b e
fatalitetit	f a t a l i t e t i
fatkeqsisht	f a t k e k s i sC~ t i
fatkeqësish	f a t k e k e s i S
favorizoi	f a v o r i z o i
favorizonte	f a v o r i  b u* d a k
festohen	f e S t o h e n
fibrat	f i b a b n a
fiksohet	f i k s o h e t
fiksuara	f i k s u a r a
filmojnë	b i l m o x n E
filxhanin	f i i a n i n
financohej	f i n a nC~ o h e
financuan	f i n a n kw~ a n
financë	f i n a n C i 3
finte	f i nt~ e
firmosim	f E i E s i m
fitil	f i t i l
fjalie	fy~ a dl~ i e
flagrance	f g a b o ch~ nC~ e
fleksibilitetin	f l e k s i b i l i t e t i n
fletës	f l e y
fokusim	f o k u s i m
formate	f o r m a t e
formësojnë	f o r m E z a s
formësuara	f o r m e s u a r a
fotografin	f o t o g r a f i n
fq	f
frengjisht	f r e N j i sC~ t i
frikacakë	f n i t i m a k a k 3
frikësimit	f r i k 3 m i t
frikësojë	f r i k 3 z a s 3
frikësues	f r i k e s u e
frikësuese	f r i k e s u e s e
frustrim	f r u s t r e m
frustrimin	f u z i m i n
frymen	f hy~ m e n
frymon	f hy~ m o n
frytdhënës	f i t 8 3 n 3
fshehtësinë	f S e h t e s i
fshihesh	f b a l i
ftova	f t o w a
fukara	f u k a r a
funksionoje	f u n k S i o n o x e
fuqishmi	f u g w i S m i
furgonë	f u r m a 3
furnizohemi	f u r n i z o h e m i
furnizuesve	f u r n i z u e s v e
fushëbetejë	f u S e b e t e  3
fushëveprimi	f u e e p l i m i
fyeni	f y e n i
fëlliqur	f 3 ly~ i k r
fëmijeve	f b i k u s k
gadi	g a d i
gadishmërisë	g a d i S k i S r i s 3
gastronomike	g a s t r o n o m i k e
gazsjellësi	g a z s i L e s i
gezojne	g e z o x n e
gishtërinjtë	g i S y ry~ nj~ t 3
gjakmarrje	gy~ a k r e
gjegjëse	gy~ e gy~ e s e
gjel	g o x e l
gjemborë	g c e mb~ u r 3
gjenda	gy~ e n d a
gjeneroi	gy~ e n e r o i
gjimnazet	gy~ i m n a z e t
gjirokastrite	gy~ i r o k a s t r e
gjithfarë	gy~ i th~ f a r 3
gjuhes	gy~ u h e s
gjurmimet	gy~ u r m i m e t
gjyqësia	g hy~ k e s i a
gjyqësisë	g hy~ k e s i s 3
glasova	g l a s o v a
gotovo	g o t o w o
govorio	g o b o r i o
grade	g r a d e
gramatikës	g r a m a t i k 3
grekut	g r e k u t
grintën	g r i t e n
grykës	g ry~ k 3
guximtar	w S i 7 i m t a r
gypave	gy~ p a b e
gënje	g 3 n j e
gërryejnë	g 3 r i j
gëzova	g 3 z o v a
habitën	h a b i t e n
hahen	h a h e n
hajduteve	h a u d u v e
hajn	h a n
hajrin	h a u n i n
hakerave	h a k e r a v e
halë	h a l 3
hapeni	h a p e n i
harrojne	h a r o x n e
harxhuan	h a r w a n
hata	h a t a
hebrejve	h e o*  v e
hekurat	h e k u r a t
hendikep	h e n d i k 3 p
heqesh	h e E S
heronjë	h e r o n j 3
heshtura	h e S k i u r a
hezitoj	h e z i t o
hezitojë	h e z i t o h 3
hidrogjen	h i gy~ e n
higjienik	h i x
hijerëndë	h i j E r 3 n d 3
hipokritë	h i p o k r i t 3
hipokrizia	h i p o k ry~ L a
hipë	h i p e
hiqnim	h i a q " w i m
historiografinë	h i s t o r i o g r a f i
hoc	h o k
hodhe	h o d e
hotelierik	h o t e l i e r i k
huajit	w a j i t
huazimet	w a z i m e t
humbe	h u mb~ e
humbësi	h u m b e s i
humnera	h u m i r a
hyrjeje	h 3 r o x e h e
idealistët	d e a l i s y
identitete	d e n t i t e t e
ideologjitë	d e o l o g j i t 3
ideologjive	d e o l o g x i v E
ideore	d e o r e
idiotët	d i o y
ikëm	i k 3 m
imamët	i m a m e 7
implikon	i m p l i k o n
impononi	i m p o n o n i
importojmë	i m p o r t o h m 3
impresionues	i m p r e s i o n u e
imunolog	i m u n o l o
imunologjik	i m u n o l o g n o x
inde	i n d e
indekset	i n d e k e t
indiferencë	i n d i f e r e n C i 3
individualitetin	i n d i v i d u a l i t e t i n
inf	i n f
infektohej	i n f k t o h e
infektoni	i n f k t o n i
infektuarin	i n f k t u a r i n
infermierit	i n f e r m i e r i k
infokosova	i n f o k o s o v a
informalë	i n h m o l 3
iniciojnë	i n i C i h n E
injoranti	y i n j o r a n t i
inkorporuar	m i p o r u a r
inkubacioni	m u b a c i o n i
inputeve	i n p u v e
instalojë	s t a l o h 3
instinktivisht	s t i n k t v i sC~ t i
institucije	s t i t u k i j e
integral	i n t e g r a l
intelektualisht	i n t e l e k t u a l i sC~ t i
intensifikuara	i n t e ns~ i f i k u a r a
interesuarve	i n t e r e s u a r v e
intervali	i n t E r v a l i
intervenohet	i n t E r f e n o h e t
intimiteti	i n t i m i t e t i
inventarin	i n f e n t a r i n
investonin	i n v e s t o n i n
investonte	i n v e s t o n t e
investues	i n v e s t u e
ironizojë	i r o n i z o h 3
irritojë	i r i t o h 3
itinerarit	i t i n e r a r i t
izjavi	i z y a v i
izoloheni	i z o l o h e n i
jahteve	y a k i a v e
januara	h a n u a r a
jastëku	s t e k u
jedne	h e d n e
jetet	h e t e
jetësohen	h e t e s o h e n
joshë	j o e
jotarifore	j o t a r i f o r e
jurisprudencës	x u r i s p r u d i n C i 3
kafet	k a f e t
kafshojë	k a f C o h 3
kahe	k a e
kakofoni	k a k o f o n i
kalimthi	k a l i m 8 i
kallashnikovë	k a l a S n i k o p 3
kaluares	k a l u a r e
kameras	k a m E a s
kampus	k a m p u s
kampusit	k a m p u s i t
kancelarit	k a n C E l a r i t
kantonit	k a n t o n i t
kanunit	k a n u n i t
kape	k a p e
kapilar	k a pw~ i l a r
kapitalizimi	k a p i t a l i n z i m i
kapter	k a p t e r
karabinierëve	k a r a b i e r e v e
karakteret	k a r a k i a r
karakterizoi	k a r a k t E r i z o i
karakterizonte	k a r a k t E r i  b u* d a k
kargo	k a r g o
karikim	k a r i k i m
karrigeve	k a r x e v e
kartel	k a r t e l
kaseta	k a s e t a
kashte	k a s t e
kastravec	k a s t r a v e k
katërfishtë	k a t 3 r f i S t 3
katërqind	k a t 3 r q i n d
kazermë	k a r i ly~ m 3
kenduar	k e n d u a r
keqbërës	k e k b e r e
keqinterpretuar	k e k i t E r p r e t u a r
kerkonin	k e r  q l
kirurgut	k i r u r g u t
kirurgë	k i r u r g 3
kishes	k i S
klandestinëve	k l a n d e s t i  v e
klientela	k l i e n t e l a
kofshën	k o f e n
kokulur	k o k u l u r
kokëçarje	k o k 3 a r e
kolonët	k o l o
komandohen	k o m a n d o h e n
komandoi	k o m a n d o i
komanduara	k e d u a r a
kombinat	k o mb~ i n a t
komentit	k o p i N t i
komisionere	k o m i s i o n e r e
komisionerja	k o m i s i o n e r j a
komitetet	k o m i e th~ e th~
kompjuterave	m i ph~ u t E r a v e
komplementare	m i p l E m E n t a r e
kompletuara	m i p l e t u a r a
kompozitorin	k o m p o z i t o r i n
komshiun	m i S i u n
komshiut	m i S i
koncentrim	q o n i k C E nt~ u z i m
konceptimin	q o n i k u p t i m i n
kondicioner	k o w C i w r o n 3 q
konfirmues	q o n i k f i E m 3 s
konfiskohen	q o n i k i S t i p 3 l 3 o h e n
konkludohet	k o nk ~ l u d o h e t
konkurrenti	k o nk ~ u r  t i
konsekuencë	q o n i k u h i n C i 3
konsistent	q o n i k s i s t e n t
konsolidohen	q o n i k s o l i d o h e n
konsolidojnë	q o n i k s o l i d o x n E
konstituohet	q o n i k s t i t u o h e t
konsulenca	q o n i k r e p e n  C a
konsumim	q o n i k s u m i m
konsumoi	q o n i k s u m o i
konsumosh	q o n i k s u m o S
kontestojë	k o nt~ e s t o h 3
kontigjenti	k o nt~ i gy~ l e v e n t i
kontrabanda	k o nt~ r a b a n d a
kontrabandën	k o nt~ r a b a nd~ 3 n
kontraktimin	k o nt~ r a k t m i n
kontraktori	k o nt~ r a k t o r i
kontrasti	k o nt~ r a s t i
kontributdhënës	k o nt~ b u t 8 3 n 3
kontributpagues	k o nt~ b u t p a g e
kontrolluam	q o n i k tr~ u L u a m
koordinatorja	k o r d i n a t o r j a
kope	k o p e
kordon	k o r d o n
koreografi	k o r e o g r a f i
koronavirusëve	k o r o n a b i r u o v e
korpusin	k o r p u s i n
korpusit	k o r p u s i t
korrektesë	k o r Nw~ t e s 3
kosin	k o s i n
kr	k r
kraharorit	k r a h a r e o r i t
kravatë	k r a v a t 3
kreditet	k r E d i t e
krejtesisht	k r E t e s i sC~ t i
kremtojmë	k r E m o 7 t o h m 3
krevate	k r E f a t e
kriminalizimin	k r i m i n a l i  m i n
krishterimit	k r i S t E r i m i t
kronologji	k r o n o l o gy~ i
kryefamiljarë	k r i f o m e L m a x 3
kryejne	k r e h n e
kryelartë	k r y e l e r t 3
kryenegociatorit	k r i n i g o k a t o r i t
kryesoret	k r e s o r e t
kthesat	k th~ 3 s a t
kthjellet	k th~
kthyet	k th~ e t
kufizonin	k u f i z o n i n
kufizua	k u f i z i
kufomash	k u h S
kujdeshëm	k u h b e m
kujtohemi	k u h t o h e m i
kukullave	k u k u y a b e
kultivohen	k u l t i v o h e n
kulumbrisë	k u l u f n mb~ r i s 3
kumulative	k u m u l a t i v E
kundërpërgjigja	k u nd~ 3 r a p i r gy~ i j a
kupave	k u p a b e
kuponët	k u p o n E
kuponëve	k u p o n E v e
kuptove	k u p t o w e
kuptu	k u p t u
kurbet	k u r b e t
kurdis	k u r d i s
kurrgjë	k u r gy~ 3
kurrën	k u r a n
kurrës	k u r 3
kut	k u t
kutia	k u t i a
kuvendeve	k u b e n d e v e
kuvertë	k u e r t 3
kući	k u C u i
kyce	ky~ j e
kyçja	ky~ j a
kyçje	ky~ e
këmbyen	k b by~ e n
këmbësoren	k b b e s o r e n
këmishën	k b i S a n
kënaqem	k 3 n a q o m
kënaqi	k 3 n a q
këndim	k 3 n d i m a
këpucës	k 3 p u k 3
kërcenim	k 3 r m
kërkuarve	k 3 r a kw~ a r i v e
lagen	l a g 3 n
lajmeruar	l a * a r
lakorja	l a k o r j a
lakrën	l a k r e n
lante	l a n t e
lançimit	l a n i m i t
lapidare	l a p i d a r e
laptopin	l a p t o p i n
larget	l a r k
larguarve	l a r g u a r v e
lavazh	l a v a z
lavdërueshme	l a v d 3 r u e S m e
legjende	l E gy~ e n d e
lejosh	j o S
letërnjoftimeve	l E y r nj~ o f t i * v e
lexojme	l e S o h m e
lexueshme	l E m i  m e
liberalizohen	b e r a l i z o h e n
librezën	b r e z a n
lice	l i k e
ligamentet	l i g a m e n t e
ligjërimi	l i g T a l i m i
ligjëron	l i g T a r o n
ligësia	l i g e s i a
lije	l i j e
likuiduar	l i  d 3 r
linde	l i n d e
lisa	l i s a
llogaris	l l o g a r i s
llogariste	l l o g a r i s t e
lobi	l o b i
lodhem	l o d a m
lodhemi	l o d a m i
logoja	l o g o h a
lokalitete	l o  t e t e
lokomotiva	l o k o m o t i v a
luajtuar	l u a h t u a r
luftohen	l u f t o h e n
lulëzimi	l u l 3 z i m i
lulëzonte	l u l 3  b u* d a k
lypur	l i p u r
lëvizshmërisë	l 3 p i t e  S k i S r i s 3
magjishëm	m a gy~ i S b
magjistrale	m a gy~ i s t r a l e
makiazh	k i a z d
makinerinë	k i n e r i
malo	m a l o
malësisë	m a l e s i s 3
manipuluese	n i C u m b u g s e
manovrime	n o w l i m e
manovrën	n o w r e n
mantelbardhëve	m a n t e l bh~ a r d e v e
maratonike	r a t q l o i
mareveshje	m a r e e S e
marksiste	m a* r k s i s t e
marrëd	m a* r 3 d
marshi	m 3 y s i
martes	m a* r t e
masakrua	s m a s k r u a
mashtruesve	m a Ch~ tr~ u e s v e
maturanti	m a t u r a n t i
maturia	m a t u r i a
matën	m a t e n
mbaroni	b a r o n i
mbarëvajtja	b a r e v a ty~ a
mbathjet	b a th~
mbijetosh	b i j E t o S
mbikqyrës	b i k qy~ r e
mbikëqyri	b i k 3 qy~ r i
mbikëqyrësi	b i k 3 qy~ r e s i
mbingarkimin	b i N a r u m i n
mbisundojë	b i s u nd~ o h 3
mbivendosura	b i v e n d o s e r e
mbrojten	mb~ r o h t e n
mbronim	mb~ r o n i m
mbrëmjeje	mb~ r b o x e h e
mburojën	m b u r o T a n
mbusheni	 S e n i
mbusheshin	 S  i n
mbërrini	b e r i n i
mbështeteshin	b e s t e t e s i n
mbështetësi	b e s t e s i
mbështetësja	b e s t e s a q
mbështjella	b e s th~ i L a
medet	m e d e t
medicinal	m e d i k i n a l
mediokriteti	m e d i o k r i t e t i
meditimin	m e d i t i m i n
menaxhoj	m E n a h o x
menaxhosh	m E n a h o S
menaxhuara	m E n a h o a r a
mendimtarë	m e n d i m n a p a 3
mendove	m e n d o v e
mengjesin	e n g o x e s i n
meparshemÇfarë	m e p 3 y s a m f a r 3
merrini	m e r i n i
mesdite	m e s d i t e
mesojme	m e s o h m e
meson	m e s o n
metabolik	m e t a b o l i k
metabolizmi	m e t a b o l i z m i
metaforik	m e t a h i
metërsh	m e y r S
migrim	m i g r i m a
mijëvjeçarit	m i T a v  a r i t
mikrogramë	7 r o g r a m 3
minimalist	m i n i m a l i s
minoritetin	m i n o r i t e t i n
minuti	m i n u t i
miratuam	m i r a t u a m
mirel	m i r e l
mirenjohur	m i r E nj~ o h u r
mirëfilli	m i r e f i l l i
mirëpaguar	m i r 3 p a x 3 r
miun	m i u n
mizorive	m i z o r i v E
mjegullt	m h 3 r u
mjegullën	m h 3 r u a n
mjeken	m h k e n
mjerane	m E n a n e
mjeseca	m h e n i n
mjeshtra	m h S t r a
mobilë	m o b i l 3
mocioneve	m o k i o n e v e
modelingut	m o d e l i N u t
modulare	m o d u l a r e
mohues	m o w m 3 s
mollën	m o L a n
moralshme	m o r a l S m e
moratoriumi	m o r a t o r m i f a l a
moret	m o r e t
mosbindja	n o S m e j a
mosfunksionim	n o S u Ng~ o th~ k S i o n i m
moshuarën	n o S w a r e n
mosplotësimit	n o S p l o t e s i m i t
mosrealizim	n o S r e a l i s i m a
mosrealizimit	n o S r e a l i  m i t
motivimit	m o t i v i m i t
motmoteve	l i l m o t e r i v e
motorrët	m u t u r 3
motoçikletën	t o  i k l e t e n
mrekullisë	m r e k u l l i s 3
muhabete	m u h a b e t e
muj	m u x
mujtë	m u h t 3
mullinjtë	l l i n j t 3
mulliri	l l i r i
mundesha	m u n d e s a
mundja	m u n d h a
mundtë	nd~ t 3
mungeses	m u N e s m 3 s
mëdhej	m E d a x
mënjëherë	m E T a i* 3
mëparshmet	m E a d a n S e
mërgimtar	m E r s i k e h t a r
mërzi	m E r
mërzita	m E L n e n
mërzitem	m E L t e u k a m
mëshirshëm	m E S i r e m
mësonim	m E s o n i m
mësymje	m E s i m e
mësynë	m E s 3 n E
napada	n a p a d a
napoletanët	a pw~ o l e t a
nastaviti	n a s t a b i t i
ndahem	d a h e m
ndalnin	nd~ a r n i n
ndalonim	nd~ a r o n i m
ndasive	nd~ a s i v E
nderkohë	d i n b o e
ndertoje	d e r t o x e
ndihmova	n t i 7 m o v a
ndikoje	n t i k o x e
ndonji	d o nj~ i
ndonjërin	d o T a n i n
ndotës	d o y
ndriçuara	n d r i u a r a
ndërlidhës	nd~ 3 l i d e
ndërprerjeje	nd~ 3 p r e r o x e h e
ndërqeveritar	nd~ 3 r E e r i t a r
ndërrimet	nd~ 3 r m e t
ndërsjellta	nd~ 3 s i L t a
neglizhojmë	n e g l i Z o h m 3
negociuara	n e g o i u a r a
nejse	n e h s e
nenkupton	n e n k u p t o n
neutralizon	n e u tr~ a l i z o n
ngadalësoni	N a d a l e s o n i
ngarë	ng~ a d 3
ngasin	g a s i n
ngatërroi	g a t 3 r o i
ngjeshje	N h S e
ngjita	N g i w a
ngjiteshin	N j i t e s i n
ngjiz	N b
ngopen	N o p e n
ngopin	N o p i n
ngrihesh	N X i q h i
ngrijnë	N X i q
ngrin	N r i n
ngulte	g u l t e
ngurrim	N u r i m
ngushticës	N u S 7 o t i k 3
ngushëllimit	N u e ly~ i m i t
nikada	n i k a d a
nisjet	n i S
nitrati	n i t r a t
njereze	n o x e r e z e
njerz	n o x e r
njerës	n o x e r e
njerëzia	n o x e r e L a
njoftues	nj~ o f t u e
njohe	nj~ o h e
njëtrajtshme	T a a h i C m e
nominimeve	n o m i n i m e v e
nominimit	n o m i n i m i t
nostalgjikë	n o s t a l gy~ i k 3
nostalgjinë	n o s t a l gy~ i
noterisë	n o t t E r i s 3
noterit	n o t t e r i k
noterëve	n o t t E r e v e
novog	n o v o gw~
nusërie	n u o r i e
nxehtin	! e h t i n
nxitësit	! i t e s i t
nxjerri	! E r i
nxjerrje	! E r e
nxënësen	! 3 n 3 e n
nënkampionët	n 3 n k a m p i o k
nënkolonel	n 3 n k o l o n e l
nënkuptohej	 mkp$ u me p t o h e
nënshtetas	n 3 n C t o s
nënstacionit	n 3 n s t a k i o n i t
nëntëdhjeta	n 3 n y 8 o x e t a
nëntëmbëdhjetë	n 3 n y mb~ 3 8 E t 3
objektivë	o by~ E k t Ng~ e 3
oda	o d a
odluka	o d l u k a
odën	o d a n
ofrim	o f r i m a
operua	o p e r u w a
operës	o p e r e
opinionisti	o p i n i o n i S t i
oponentët	o p o y
opozitarit	L o k z i t a r i t
oqeanike	o E a n i k e
orbita	u r b i t a
origjinalit	u r i x j i n a l i t
orkestruan	u r X a* 7 u a n
ortodoksët	u r t o d o s k o
otomanët	k o t o m a n E
ovu	o v u
pH	p
padyshimtë	p a o S i m t 3
padëshirueshëm	p a d e s i k i k " e m
pagabueshme	p a x a b u e S m e
paisjet	p a i s
palarat	p a l a r a t
panjohurat	p a n j o h u r a t
pankartat	p a n f i r t a t
panoramike	p a n o r a m i k e
papastër	p a p a s y r
papushim	p a p u S i m
papërmbajtshme	p a p e r mb~ a i C m e
paragrafit	p a r a g r a f i t
parakalime	p a r a k a l i m e
parakrizës	p a r a k r i z 3
paralelizëm	p a r a l e l i z b
parandalueshme	p a r a nd~ a r u e S m e
paraqiteni	p a r a q i r e n i
parashikosh	p a r a s i k o S
parazitët	p a r a L y
pariparueshëm	p a r i p a r u e e m
parkingje	p i i N e
partizaneve	p e r t i r o n e v e
party	p e r t
pashait	p a S a i t
pashfrytëzuara	p a S f cy~ y z u a r a
pasiguruara	p a s i g a r a
pasojën	p a s o* T a n
pastor	p a s t o r
patrullave	p a t r u y a b e
pauza	p a u z a
pavioni	p a v i o n i
pavionin	p a v i o n i n
pavëmendshëm	p a v E n m e n d e m
pazaresh	p a z a r e S
paçmuar	p a a r
pedonalen	p E d o n a l e n
pedonales	p E d o n a l e
peizazhit	p e i z a z h i t
pelegrinazhit	p e l e g r i n a z h i t
pellazgët	p e y a z g 3
pendim	p e n d i m a
pengun	p e n g u n
perbejne	p e r G i h n e
perdorimin	p e r d o r i m i n
perfaqesuesit	p e r f a 7 e s u e s i t
perfiton	p e r f i t o n
pergjegjesine	p e r g h gy~ e s i n e
perhere	p e r i*
periferik	p e r i f e r i k
periferisë	p e r i f e r i s 3
perkates	p e a t e
permbysur	p e r mb~ u r
perndryshe	p e r ndr$ e
perona	p e r o n a
perpjete	p e r p o x e t e
perseritur	p e r e r i t u r
perëndive	p e r 3 n d i v E
peshonin	p e S k q l
pesticide	p e S t i k i d e
pikiatë	p i k i a t 3
piktoresk	p i k t o r e s k
piktorëve	p i k t o r e v e
pirun	p i r u n
pitanja	p i t a n j a
pizhame	p i Z a m e
pjekuria	ph~ e k u r i a
plakun	p l a y i k u n
plejofit	p j w a f i t
pleqte	p l e k t e
poenë	p o e n E
poete	p o e t e
policat	p o l i k a t
policitë	p o l i C y t 3
poliklinika	p o l i k l i n i k a
politikania	p o l i t i k a n i a
političkih	p o l i t i % C k i
poltike	p o l t i k e
poret	p o r e t
pornografike	p o r n o g r a f i k e
portave	p o r t a b e
portierë	p o r t a o r 3
poshtra	p o s t r a
poshtërimi	p o S y l i m i
poshtëron	p o S y r o n
posljednjih	p o s lx~ b nTy$ E
pozicionua	p o  i o n u a
prano	p r o
pranojme	p r a n o x m e
prapavepruese	p r a p a b e p r u e s e
preka	p r e k a
prekemi	p r E k E m E t i
prekësh	p r e k e s
premtova	p r e m t o w a
preparatet	p r e p a r a t e
prestigjiozja	p r e s t i gy~ i o z y a r m
preventivë	p b e b e n t i b 3
pri	p r i
prirjeve	p r k u s k
privatëve	p r e  y v e
privim	p ry~ i v i m a
proceduan	p r o k e d u a n
procesverbali	p r o k e s e r C i C i
producentit	p r o t l a n t i
profesionistësh	p r o f i S i o n i S y S
projeksione	p t o n o x e k S i o n e
promovues	p r o m o b u e
pronesi	p r o n e s i
prononcime	p r o n o n C i i m e
propozoni	p r o p o z o n i
propozuari	p r o p o z u a r i
prostitutat	p r o s t i t u t a t
protesten	p r o t e s t e i n
proverbiale	p r o e r b i E a l e
prošle	p S l e
pudër	p u d 3 r
pulë	p u l 3
puneve	p u n e v e
punëkërkuesve	p u n E k 3 r k u e s v e
pushkët	p u S k 3
pyetësori	py~ e t e s o r i
pëlhure	a p i L u r e
përballi	a p i r C i C l i
përballjeve	a p i r b a ly~ k u s k
përcollëm	a p i r o L b
përfaqësuan	a p i r f a 7 e s u a n
përfill	a p i r f i l
përfliten	a p i r f ty~
përforcojmë	a p i r h r o h m 3
përfund	a p i r f u nd~
përgaditur	a p i r g a d i t u r
përgjysmohet	a p i r gy~ o* h e t
përgëzimet	a p i rx~ 3  m e t
përhapim	a p i r a p i m
