va 	v a
urushini	u r u s i n i
urushni	u r u s n i
uslublar	u s l u b l a r
ustunli	u s t u n l i
usuldan	u s u l d a n
uyushtirib	u y u S t e m a Ch~ o
uzbek	u z k
uzunlikda	u z u n l i k d a
vagon	v a g o n
vagonsozlik	v a g o s o z b u C o
vakolatxonalari	v a k i  5 o n a l a r i
vaqtidan	v a q t i d a n
vaqtli	v a q L i
vazifasidir	v a z i f a s i d i r
vazirlar	v a z i r l a r
vaziyatdan	v a z i y a t d a n
vaziyatini	v a z i y a t i n i
versiyalari	e r s i y a l a r i
vohasidagi	v o h a s i d a g i
vositasiga	v o s i t a s i g a
xalqiga	S a q i g a
xalqlarga	S a q  g a
xaqida	S a q i d a
xarobalari	S a l o b a l a r i
xattotlik	S a t o t b u C o
xomaki	S o m a k i
xonaki	S o n a k i
xonlar	S o n l a r
xossa	S o s a
xotirasida	S o t i r a s i d a
xrllarda	S y a r d a
xromosomalarning	S o m o s o m a l a r n i N
xudoga	S u d o g a
xudolar	S u d o l a r
xush	S S
xususiylashtirish	S u s u s i y p i S t i m a i r i S
yadroli	y a d r o l i
yadroning	y a d r o n i N
yakkanavoz	y a k k a n a v o
yakunlanadi	y a k u n l a n a d i
yalligʻlanishga	a l l i g 7 l a n i S g a
yaralandi	y a r a l a n d i
yaramaydi	y a r a m a y d i
yarata	y a r a t a
yasama	y a s a m a
yashar	y a S a r
yashashgan	y a S a S g a n
yeki	y e k i
yelka	y e l
yerdamida	y e r d a m i d a
yetkazdi	y e t kh~ a z d i
yetmagan	y e t m a g a n
yodgorliklarda	y o d g o r l i k l o r d a
yonganda	y o N a n d a
yongʻogʻi	y o N 7 o g i
yopiladi	y o p i l a d i
yopishtirib	y o p i S t e m a Ch~ o
yoshlarga	y o s a nz~ i g a
yoshlik	y o S b u C o
yotqiziklari	y o t m u a z i k a r i
yotqizilgan	y o t m u a  l g a n
yotqizish	y o t m u a L
yoza	y o y a 7
yulduzning	y u l d u z n i N
yuqadigan	y b a d i g a n
yurtining	y u r t i n i N
yutishi	y u t i S i
zamburugʻ	z a m b u r u g u
zamonida	z a m o* i d a
zavodini	z a v o d i n i
zavq	z a b
zax	z a
zdi	z d i
ziddiyatli	z i d i y a L i
ziravorlar	z i r a v o r l a r
zoologiya	z o l o g i y a
zulmga	m a g a hwy$ a
AQShga	h g a
Abbosiylar	b w o s i y l a r
Afrikadan	f n i t i m a d a n
Alouddin	l o u d i n
Alyaska	ly~ l y u r
Amerikaga	m e r i k a g a
Angor	N o r
Anorganik	n o r g a n i k
Anqara	n q a r a
Apennin	p e n n i n
Asqarov	s q o m i 7 i m
Atomlar	t o m l a r
Axomaniylar	S o m a n i y l a r
Badaxshon	a d a x T u n
Bahodir	a h o d e s i r
Bahorgi	a h o r g i
Balxga	a i g a
Baykal	a y k a l
Bengaliya	g a l i y a
Benjamin	e n c a m i n
Boboyev	o b o i
Boltiqboʻyi	o l t i k b o 7 i
Britaniyaga	r i t a n i y a g a
Bryussel	cy~ u s e l
Budapesht	u d a p e S t i
Bularda	b e r d a
Byudjet	y u d h e t
Citroën	i t r o a n
Corporation	u r p o r a t i o n 3
Dam	a m
Dare	a r e
Daryolar	a r o l a r
Davlatga	a b l a t g a
Dekart	e k a r
Devonu	e v o n u
Differensial	i f e r a ns~ i a l
Dinamik	i n a m i k
Eduard	d u a r d
Eksport	k s p o r
Erkak	r m a k o u
Eyler	y l e r
Eynshteyn	y n C
Falsafiy	a l s a f i
Federativ	e d e r a t i
Filmda	i l m d a
Firdavsiyning	i r d a b s i y n i N
Frank	r a n
Gabon	a b o n
Gaiti	a y t i
Gajar	s u r
Gamburg	a m b u l
Gap	a p
Gavayi	a b a y i
Gavdasi	a b d a s i
Geometrik	e o m E t r i k
Google	o g l e
Gorkiy	u r q i
Goʻzal	o 7 z a l
Grenlandiya	r e n l a n d i y a
Gruziyadagi	r u z i y a d a g i
Gudzon	u c o n
Gʻallaorol	7 a ly~ a o r o l
Gʻaznaviylar	7 l n a v i y l a r
Hamzaning	a m u k a n i N
Hayotiy	a y o t i
Hayvonlarda	a y v o n l a r d a
Hirotni	i r o t n i
Honda	o n d a
Ideal	d e a l
Ikkita	k n e n
Ikromov	k r o m o N
Insoniyat	s o n i y a t
Isfana	s f a n a
Ishga	S g a
Islandiya	s l a n d i y a
Islomda	s l o m d a
Islomiy	s l o m i
Jomiyning	o m i y n i N
Kelib	e l i
Kengashiga	g a s i g a
Kibernetika	i b e r n e t i k a
Kir	i r
Koinot	o i n a t
Konda	o n d a
Konstitutsiyasiga	o s t i t u c i y a s i g a
Kosonsoy	o s o Th~ o y
Koʻproq	o 7 p r o q
Kumir	u m i*
Kurd	u r d
Kutubxonasi	u t u b S o n a s i
Leonardo	e o n a r d o
Ligasi	i g a s i
Lord	u r d
Madinaga	a d i n a g a
Mahmudov	a h m u d o N
Mahsulotlari	a 7 s u l o L a r i
Manbalarda	a n b a l a r d a
Mantiqiy	a n c t a m u a
Mari	a r i
Marko	a r X u
Marta	i t a
Maykl	a y k
Maysaraning	a y s a r a n i N
Mehmed	e h y m 3 d
Mobil	o b i l
Moddalar	o d d a l a r
Moldova	o l d o v a
Movarounnahrdagi	o w a r o S a h r d a g i
Movarounnahrga	o w a r o S a h r g a
Mozambik	o z a m b i k
Mulk	u l
Murodov	u r o d o N
Mushuk	u s u k
Musiqiy	u s t a m u a
Muzeyning	u z e y n i N
Ne	e
Neapol	y e g a p o l
Neolit	e o l i t
Nurash	u r a S
Nyutonning	y u t o n n i N
Olloyor	n E t o* 7 n i o z i
Ontario	nt~ a r i o
Otello	t e l o
Oyoq	y o q
Oʻsimliklarda	7 b u p l i k l o r d a
Panjob	a n j o b
Parfiya	a r f i y a
Pavlov	a b l o N
Photoshop	h o d o s o p
Piter	i t e r
Pnevmatik	n e b m a t i k
Pokistonda	o k i s t o n d a
Polshaning	o l S a n i N
Polyak	o l y a k
Praga	r a g a
Prezidiumi	r a  dy~ f a l a
Qahramon	a h r a m o n
Qaysi	a y s i
Qirgʻoq	i r g 7 a
Qoraqum	o r a q u m
Qoʻngʻir	o 7 N i r
Qoʻsh	o 7 S
Qrimda	l i m d a
Quba	u b a
Qumqoʻrgʻon	u m pw~ o 7 rx~ 7 o n
Quyidagi	u y i d a g i
Rahim	a h i m
Raketa	a k e t a
Rashidov	a s i d o N
Rassomlar	n i m l a r
Rizo	i r o
Rok	o k
Rose	o s e
Rost	o s
Rumiy	m i
Sahna	a h n a
Sardiniya	a r d i y a
Seleksiya	e l e k s i y a
Selina	e l i n a
Seysmik	b s m i k
Shahzoda	h a h z o d a
Sharipov	h a r i p o N
Sharqida	h a r q i d a
Shayboniylar	h a y p o l x l a r
Sherlok	h e r l u d
Sitsiliya	i t i l i y a
Soxta	o* r a
Soʻfi	o 7 f i
Soʻzning	o 7 z n i N
Stark	t a r
Sultonov	u l t o n o N
Tarkibidagi	a r k i b i d a g i
Tashrif	a s r i f
Temirbeton	e m i r t o*
Toʻxtamish	o 7 t a m i S
Tuproqning	u p r o q o n i N
Turfon	u r f o n
Turkistonni	u r k i s t o n i
Turkmanistonda	u r m a n i S th~ o n d a
Ultratovush	l tr~ a t o b u S
Umarov	m a* r o N
Umarxon	m a* r S o n
Umid	m i d
Urartu	r i t u
Urdu	r d u
Vakillar	a k i l l a r
Vali	a l i
Venesuela	e n e s u e l a
Viktor	i k t o r
Xlor	l o r
Xorazmiyning	o r a z m i y n i N
Xoʻjayli	o 7 5 a h 3 l i
Yagona	a g o n a
Yakka	a k
Yamayka	a m a y
Yanvar	a n v a r
Yaponiyaga	a p o n i y a g a
Yashirin	a s i r i n
Yenisey	e n z o y
Zafar	a f a r
Zangazur	a a z u r
Zangezur	a N d u r
Zokirov	o k i r o N
abraziv	a b " r a z i
absolyut	a b " s o r u t
adashgan	a d a S g a n
adiblari	a d i b l a r i
adirlar	a d i r l a r
afsonalari	a f s o n a l a r i
afsonasi	a f s o n a s i
afzalligi	a f z a ly~ i g i
ajrab	c r a b "
akustika	a k u s t i k a
alayhi	a l a y
alloma	a ly~ o m a
allomalar	o l  m a l a r
almashgan	a l S g a n
almashtirilishi	a l S t i r i l i S i
alomati	a l o m a t i
aloqasini	a l o x a s i n
anal	a n a l
aniklashga	a n i k l o S g a
aniqlaydigan	a n i k l a y d i g a n
anor	a n o r
ansamblida	s a m b l i d a
antitsikloni	a n t i i k o n i
arablarning	a r a b l a r n i N
arigʻi	a r i x i
armani	a r m a n i
armanilarning	a r m a n i l a r n i N
arxipelagi	a r S i p e l a g i
asalari	a s a l a r i
asariga	a s a r i g a
asboblarda	a s b o b l a n k r d a
asfalt	a s f a l t a s
asorati	a s o r a t
asrlarning	a s r  n i N
astrofizika	a s t r o f i z i k a
atalishi	a t a l i S i
ataylab	a t a y l a b "
atomlarining	a t u m l a r i n i N
atsetilen	a c  l e n
aviatsiyasi	a g o y a c i y a s i
ayiq	a y i
aynishi	a y n i S i
ayoli	a y o l i
bahsli	b a 7 s l i
bakalavr	b a k a l a v r
bakteriyalari	b a k t e r i y a l a r i
balandlikdan	b a l a nd~ l i k d a n
balandliklarda	b a l a nd~ l i k l o r d a
balandroq	b a l a ndr$ u
bankining	b a n k i n i N
baxt	b a r
baxtsiz	b a r c i t e
baynalmilal	b a  l m i l a l
bazasida	b a z a s i d a
baʻzi	b a 7
begi	b e g i
belgilaridan	b e l g i l a r i d a n
berar	b E r a r a
berardi	b E r a r d i
berilliy	b E r e l l i
berishiga	b e r i S i g a
bezlaridan	b e z l a r i d a n
bezlarining	b e z l a r i n i N
biladilar	b i l a d i l a r
bildirib	b i l d i r i
bilimi	b i l i m i
bilimlari	b i l i m l a r i
bilishadi	b i l i S a d i
bilmagan	b i l m a g a n
birgalikdagi	b 3 r g a l i k d a g i
birikish	b i r i g i S
birlashish	b 3 r l a s i S
birlashtirilib	b 3 r p i S t i m a i r i l i
birligida	b 3 r l i g i d a
bitirgan	b i t i r g a n
bizdan	b i z d a n
bizni	b i z n i
bogʻlanishni	b o N 7 l a n i S n i
bolaga	b o l a g a
bombardimon	b o mb~ a r d i m o n
boshidagi	s i d a g i
boshkarish	b o S k a r i S
boshlaridagi	s L a r i d a g i
boshlashdi	s L a S d i
boshqarishning	b o S k  a r i S n i N
boshqaruvida	b o S k  a r u b i d a
boshqaruvini	b o S k  a r u b i n i
bozordagi	b o z o r d a g i
boʻgʻimlar	b o 7 g i m l a r
boʻgʻini	b o 7 g i n i
boʻlgandagina	b o 7 l g a nd~ a g i n a
boʻlinmasi	b o 7 l i n m i s i
boʻlmasligini	b o 7 l m a l i g i n i
boʻlmoqda	b o 7 l m o x d a
boʻshab	b o 7 S a b
boʻyalgan	b o 7 a l g a n
boʻyli	b o 7 " a s a
bugun	b u g u n
buyumi	b u y u m i
buzilishlar	b u z i l i S l a r
dard	d a r d
daromadlar	d a r o m a d l a r
daryolarida	d a r o l a r i d a
daryosida	d a r o s i d a
dasturida	d a s t u r i d a
dasturlarini	d a s t u r l a r i n i
dasturxon	d a s t u r S o n
davolashning	d a v o l a S n i N
davolatish	d a v o l a t i S
dedveyt	d e d e 3 t
deformatsiyalar	d e f o r m a c i y a l a r
dek	d e k
dengizida	i s u r i z i d a
dengizidagi	i s u r t e  l o g i
dengizini	i s u r i 5
deraza	d e r a z a
diagnoz	d i a g Ng ~ o n s
diffuziya	d i f f u  y a
dispersion	d i 8 p e n e r S i o n
dodxoh	t o t S o
dominant	b i* a*
dostonini	d o s t o n i n i
dostonlarni	d o s t o n l a r n i
dotsenti	d o c e n t i
dozasini	d o z a s i n
doʻkoni	d o 7 k o n i
dramaturgiyasi	d r a m a t u r g i y a s i
dramaturgiyasining	d r a m a t u r g i y a s i n i N
duragaylash	d u r a g a y p i S
egalarining	g a l a r i n i N
ekipaj	r
elastiklik	e l a s t i k l i k
elektronlarni	e l e k tr~ u  n i
elementlarga	l E l E m E n a r g a
elliptik	e l l i p t i k
emish	e m i S
erkagi	e r  g i
eroziya	e r o  y a
esda	e s d a 7
etganligi	e t g a n l i g i
etishlari	e t i S l a r i
evolyutsion	e v o r u c i o n
fakultetiga	f a k u l t e t i g a
falsafani	f a l s a f a n i
falsafaning	f a l s a f a n i N
falsafasiga	f a l s a f a s i g a
fanlarining	f a n l a r i n i N
faoliyatlari	f a o l i y a L a r i
farz	f a r
fath	f a t
fazalari	f a z a l a r i
fazosi	f a z o s i
fermenti	f e s a y m 3 n t i
filmini	b i l m i n i
florasi	f l o r a s i
foizni	f o i z n i
fojia	f o x i a
fondining	f o n d i n i N
fonida	f o n i d a
formatsiya	f o r m a c i y a
fotonlar	f o t o n l a r
ft	f
gan	g a n
gapiradi	g a p i r a d i
gaplashadi	g a p u l a S a d i
gapning	g a p u n i N
garmoniya	g a r m o* y a
geofizik	g e o f u
geografiya	g e o g r a f i y a
geologiya	g e o l o g i y a
geomorfologik	g e o m o r f o l o g i k
german	g e r m a n
gersin	g e r s i n
gidroksid	g i d r o k s i d
gidrostatik	g i s t a t i k
gigiyenik	g i g i y e n i k
gimnastika	g i m n 3 s o t i k a
gʻayriqonuniy	g 7 a 3 r i k o n u n i
haftasiga	a f t a s i g a
hammasini	h a m u s i n i
haqining	h a q i n i N
harakterdagi	h a r a k t E r d a g i
harita	h a r i t a
harobasi	h a l o b a s i
haroratda	h a r o r a t d a
haroratini	h a r o r a t i n i
hayvonning	h a y v o n n i N
hindu	h i n d u
hit	h i t
hofizlar	h o f i r L a r
hokimlik	h o k i a b u C o
holatlarini	h o l a L a r i n i
hududlaridagi	h u d u d l a r i d a g i
hududlariga	h u d u d  x a
hujayralaridan	h u y a 3 r a l a r i d a n
hujayralariga	h u y a 3 r a l a r i g a
hujjatlariga	h u h gy~ L a r i g a
hujjatlarini	h u h gy~ L a r i n i
huquqlarga	h u k q  g a
huquqqa	h u k q o
huquqshunoslik	h u k k S u n o s b u C o
ibodatxonalari	i b o d a 5 o n a l a r i
iborasi	i b o r a s i
iboratki	i b o r a t k i
idishlarga	d i S  g a
ifodalanadigan	f o d a l a n a d i g a n
ifodali	f o d a l i
ijodkorning	g i y b k o r n i N
ikkisi	i k i s i
ildizlar	i l 7 i r L a r
ildizlarini	i l 7 i z l a r i n i
ilhom	i L o m
ilhomlangan	i L o m l a N a n
imperiyasida	i m p e r i y a s i d a
imperiyasini	i m p e r i y a s i n
individning	i n d i v i d n i N
indonez	i d o n e z
informatsion	i n f o r m a c i o n
inqirozi	i n g w i r o z i
institutiga	s t i t u t i g a
inti	i n t i
investitsiyalar	i n v e s t i i y a l a r
ionlash	i o n l a S
iqlimiy	i k l i m i
ishlanishi	i s a nz~ i i S i
ishlardan	i S  d a n
ishlatilmoqda	i S l a t i l m o x d a
ishonadi	i S o n a d i
isyoni	i s o n i
italiyalik	i t a r i a L7~
iyulning	g a n i N
izlanish	i r L a n i S
jangni	y a Ng~ n i
janrdagi	h a n r d a g i
janubdan	h a n u b d a n
jarliklar	h a r l i k a r
jasorati	y a s o r a t
jazolanadi	y a z o r a n a d i
jezdan	y e z d a
jihatlarini	h i h a L a r i n i
jilvir	h i l k w 3 L i
jinslariga	h i s l a r i g a
kabilarni	k a b i l a r n i
kalamush	k a l a m u s
kalinligi	k a l i n l i g i
kamaygan	k a m a y g a n
kambar	k a m b a r
kamolot	k a m o l o t
kamon	k a m o n
kamondan	k a m o* d a n
kanalli	k a n a l l i
kanalning	k a n a l n i N
kapalaklar	k a p a l a q
karantin	k a r a n t i n
karvonsaroy	k a r v o s e r o y
kashtadoʻzlik	k a s k i a d o 7 3 z l i k
kaskadi	k a s k a d i
kategoriya	k a t e g o r i y a
kattaligini	k a t t a l i g i n i
kattalikda	k a t t a l i k d a
kavlab	k a b l a b "
kayfiyat	k a y f i l i y a t
kayfiyati	k a y f i l i y a t i
kelinayotgan	k e l i n a y o t g a n
kelindi	k e l i n d i
kelishuvi	k e l i S g a n i
keltirishga	k e l t i r i S g a
kenglikda	k e N l i k d a
kesishadi	k e s i S a d i
kesma	k e s m a
ketganligi	k e t g a n l i g i
kigiz	k i k i z
kinostudiyasi	k i n a o s t u d i y a s i
kiritadilar	k i r i t a d i l a r
kiritilib	k i r i t i l i
kislotada	k i s l o t a d a
kollektor	q u L Nw~ t o r
komediyalar	m i e d i y a l a r
komplekslar	m i p l e k w a r
kompozitori	k o m p o z i t o r i
kompozitsiyasi	k o m p o  c i y a s i
konglomerat	k o N l o m e r a t
konservatoriyasini	q o n i k e r v a t o r i y a s i n
konstruksion	q o n i k s t r u k s i o n
konstruktorlik	q o n i k s t r u k t o r b u C o
konunga	q o n u N a
konvensiya	q o n i k e ns~ i y a
korporatsiyalar	k o r p o r a c i y a l a r
korpusi	k o r p u s i
koʻkragi	k o 7 k r a g i
koʻngli	k o 7 N l i
koʻringan	k o 7 r i N a n
koʻrsatayotgan	k o 7 s a t a y o t g a n
koʻylak	k o 7 y l a k
kremniyli	k r E m n i y l i
kristallarning	k r i s t a l l a r n i N
kumushdan	k u m u S d a n
kurs	k u r
kursatgan	k u r s a t g a n
kuzatildi	k u z a t i l d i
lalmikor	l a l m i k o r
latta	l a t t a
lavozimni	l a v o  m n i
litologik	t o l o g i k
litsenziya	t e n z i y a
madad	d a d
madaniyatga	d a n i y a t g a
madaniyatni	d a n i y a t n i
madhiyasi	d i y a s i
madrasada	d r a s a d a
madrasalarda	d r a s a l a r d a
magʻzi	m a h 7
mahsuldor	m a 7 s u l d o r
mahsulidir	m a 7 s l i d i r
majburan	C b u r a
maktablarining	k t a b l a r i n i N
malika	m a l i k a
malikasi	m a l k a s i
mamlakatlarini	m a m l a k a L a r i n i
manbalariga	n b a l a r i g a
manzaralarini	n z a r a l a r i n i
maosh	m a o S
maqsadlariga	m a q s a d  x a
maqsadli	m a q s a d l i
markazlashtirilgan	m a* r kh~ a z l a S t i r i l g a n
marketing	m a* r k e t i N
masalalaridan	m a s a l a l a r i d a n
masjidlari	s j i d l a r i
masnaviy	s n a v i
masofasi	s o f a s i
massalar	s s a l a r
mavjudligiga	m a b b u d l i g i g a
mavzuni	m a b a f o n i
maydondagi	m a y d o n d a g i
mazmunan	m a z m u n a n
mehmonxonasi	m e h m o* S o n a s i
mehnatkashlari	m e h n a t k a s L a r i
memorial	m e m o r i a l
menejment	m E n e h m E n t
meridiandan	m e r dy~ a nd~ a n
metodini	m e t o d i n i
metrajli	l u a h l i
mezoni	m e z o n i
migratsiyasi	m i g r a c i y a s i
mikroorganizmlarning	7 o r g a n i z m  n i N
millatiga	m i l l a t i g a
minerallashgan	m i n e r a ly~ a  g a n
minglik	m i N l i k
misralar	m i s r a l a r
miyadan	m i y a d a n
moddada	m o d d a d a
moddaga	m o d d a g a
modellarni	m o d "  n i
mohirlik	o* h i r b u C o
moment	m o p i N
momentining	m o p i N t i n i N
moslashish	n o S l a s i S
motivlari	m o t i b l a r i
moʻljal	m o 7 l q
moʻrt	m o 7 r
moʻtadil	m o 7 a d i l
muhandisi	m u a nd~ i s i
muhandislari	m u a nd~ i w a r i
mumkinki	m u m k i n k i
murda	r d a
mushohada	s o h a d a
mustahkamlanadi	s t a k a m l a n a d i
muvaffaqiyatsizlikka	m u b a f a q i y a c i z l i k
muvozanatni	m u b o y a n a t n i
muzlar	m u z l a r
nafardan	n a f a r d a n
nafosat	n a f o s a t
nafrat	n a f n a
naqd	n a q d
narxlarda	n a r S  d a
nazariyaga	n a z a r i y a g a
nazmda	n a z m d a
nazoratni	n a z o r a t n i
neyron	n e y r o n
nikohdan	n i k o h d a n
nomigagina	n o m i g a g i n a
nomzodlar	n o m z o d l a r
noorganik	n o r g a n i k
norveg	n o r p e m u a
nuqsonlarni	n u k s o n l a r n i
nuqtasiga	n u k t a s i g a
nuqtasini	n u k t a s i n
nurashi	n u r a S i
nurlanishlar	n u r l a n i S l a r
nurlarini	n u r l a r i n i
nutqda	n u t k d a
nutqning	n u t q o n i N
obhavo	o b a b o
odil	o d i l
ogʻishi	o g i 7 i S i
ohaktoshlar	o h a k t o s L a r
ohanglar	o h a N l a r
oilalar	o i l a l a r
ojiz	o h i z
oksidlab	o k s i d l a b "
oktabrda	o o* d a
oktyabrda	o k T a b r d a
oldinroq	o l d i n r o q
oldirish	o l d i r i S
olganidan	o l g a n i d a n
olimning	o l i m n i N
olimpiya	o l i m p i y a
olinganidan	o l i N a n i d a n
olovbardosh	o l o v bh~ a r d o S
ombor	c o r
oqimidagi	o m g w i m i d a g i
oqimli	o m g w i z d a
oqlash	o q  s o
oralari	o r a l a r i
orasini	o r a s i n
organizmlarga	u r g a n i z m l a r g a
organlarning	u r g a  n i N
orollarida	o r o l l a r i d a
orollarini	o r o l l a r i n i
ortopediya	u r t o p e d i y a
oshirishni	o s i r i S n i
osilgan	o s i l g a n
oti	o t i
otilgan	o t i l g a n
otning	o t n i N
ovqatni	o w q a t n i
oziqlanishi	o z i k l a n i S i
ozodlikka	o z o d l i k
oʻgʻuz	o 7 g 7 u
oʻldirdi	o 7 l d i r d i
oʻlkada	o 7 l k a d a
oʻlkalar	o 7 l k a l a r
oʻndan	o 7 nd~ a n
oʻnta	o 7 nt~ a
oʻqilgan	o 7 m u a l g a n
oʻqitilgan	o 7 g w i t i l g a n
oʻqiydi	o 7 g w i y d i
oʻrash	o 7 r a S
oʻrdak	o 7 r d a k
oʻrganila	o 7 r g a n i l a
oʻrganilib	o 7 r g a n i l i
oʻrinlar	o 7 r i n l a r
oʻrnatib	o 7 r n a t i
oʻsimlikshunoslik	o 7 b u p l i k S u n o s b u C o
oʻsishini	o 7 s i S i n i
oʻtishgan	o 7 t i S g a n
oʻxshagan	o 7 S a k a n
oʻyilgan	o 7 i l g a n
oʻynab	o 7  a b "
oʻzagini	o 7 c a G i n i
oʻzgarishlarini	o 7 z N a r i S l a r i n i
oʻzgarishsiz	o 7 z N a r i S i t e
oʻzlashtirishda	o 7 z l a S t i r i S d a
paleontologiya	p a l e o n t o l o g i y a
pasttekisligida	p a s t r s l i g i d a
patologiyasi	p a t o l o g i y a s i
paygʻambarning	p a y g 7 a m b a r n i N
paytlarida	p a y L a r i d a
personajlar	p e r s o n a x a l a r
poliklinikasi	p o l i k l i n i k a s i
polvon	p o l v o n
polyaklar	p o r a q
portlashi	p o r L a S i
portretlari	p o r t r e
professori	p r o f i S s o r i
profilaktik	p r o f i l a k t i k
protein	p r o t a i n
proyeksiyalash	p r o y e k k u  p i S
publitsist	p u b ty~ i s
pullarning	p u y a r n i N
pulning	p u l n i N
punktlarida	p u n k L a r i d a
qabilalardan	q a b i l a l a r d a n
qabristoni	q a b r i s t o n i
qahramonona	kp~ a h r a m o n o n a
qandli	q a nd~ l i
qaratgan	q a r a t g a n
qaratish	q a r a t i S
qarindoshi	q a r i d o S
qarindoshlar	q a r i d o s L a r
qarorga	q a ph~ g a
qatlamdan	q a t l a m d a n
qatlamlarda	q a t l a m l a r d a
qavatda	q a b a t d a
qaysidir	q a y i d i r
qaytariladi	q a i t a r i l a d i
qildirgan	q i l d i r g a n
qilmasligi	q i l m a l i g i
qirqish	q i r q i S
qishloqlarga	q i S l o q  g a
qishloqning	q i S l o x n i N
qismlarni	g w i h s m  n i
qismning	g w i h s m n i N
qisoblanadi	g w i h s o b l a n k o a d i
qisqaradi	g w i h s q a r a d i
qogʻozi	q o g 7 o z i
qoldiqlar	q o l d i k l a r
qoldiqlarini	q o l d i k l a r i n i
qolishiga	q o l i S i g a
qondagi	q o n d a g i
qonunida	q o n u n i d a
qonunlarga	q o n u l i  g a
qonunlarning	q o n u l i  n i N
qoplama	q o p l a m a
qopqogʻi	q o p pw~ o g i
qopqoq	q o p pw~ o q
qoraqalpoqlar	q o r a q a l p o q
qoʻllanildi	q o 7 y a n i l d i
qoʻllanilmoqda	q o 7 y a n i l m o x d a
qoʻllanish	q o 7 y a n i S
qoʻllar	q o 7 y a r
qoʻllaydi	q o 7 y a y d i
qoʻlyozmalari	q o 7 ly~ o z b e r m a l a r i
qoʻrgʻonlar	q o 7 rx~ 7 o n l a r
qoʻshilmalar	q o 7 S i l m o l a r
qoʻshilsa	q o 7 S i l s a
qoʻshiqni	q o 7 S i k n i
qudrati	k dr~ a t i
quruklik	q u r u k l i k
quruklikda	q u r u k l i k d a
qutbiy	k t b i
qutblangan	k t bl~ a N a n
